"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBOCT27VI","GB","06-Nov-2019","       3876.73","       3602.00","       3770.00","       3602.00","       3610.03","       3610.03","       3636.67","         21","               76370.08","         13","         17","         80.95"
"SGBOCT27VI","GB","07-Nov-2019","       3610.03","       3600.00","       3780.00","       3600.00","       3636.10","       3637.86","       3651.71","         29","              105899.45","         14","         29","        100.00"
"SGBOCT27VI","GB","08-Nov-2019","       3637.86","       3600.00","       3775.00","       3600.00","       3775.00","       3775.00","       3701.22","          9","               33311.00","          6","          9","        100.00"
"SGBOCT27VI","GB","11-Nov-2019","       3775.00","       3610.00","       3799.00","       3610.00","       3650.00","       3650.00","       3691.13","         16","               59058.00","         10","         16","        100.00"
"SGBOCT27VI","GB","13-Nov-2019","       3650.00","       3621.00","       3799.00","       3621.00","       3770.00","       3770.00","       3776.51","        149","              562700.00","         24","        147","         98.66"
"SGBOCT27VI","GB","14-Nov-2019","       3770.00","       3605.00","       3820.00","       3605.00","       3713.00","       3713.00","       3719.07","         14","               52067.00","          8","         14","        100.00"
"SGBOCT27VI","GB","15-Nov-2019","       3713.00","       3700.00","       3800.00","       3652.00","       3714.00","       3714.00","       3730.80","         54","              201463.00","         18","         48","         88.89"
"SGBOCT27VI","GB","18-Nov-2019","       3714.00","       3344.95","       3870.00","       3344.95","       3657.00","       3797.88","       3703.16","         22","               81469.50","         15","         19","         86.36"
"SGBOCT27VI","GB","19-Nov-2019","       3797.88","       3660.00","       3665.00","       3660.00","       3665.00","       3665.00","       3662.00","          9","               32958.00","          4","          7","         77.78"
"SGBOCT27VI","GB","20-Nov-2019","       3665.00","       3700.00","       3785.00","       3665.00","       3675.00","       3675.00","       3753.04","         23","               86320.00","          6","         23","        100.00"
"SGBOCT27VI","GB","21-Nov-2019","       3675.00","       3665.00","       3780.00","       3662.00","       3780.00","       3780.00","       3760.58","         12","               45127.00","          9","         12","        100.00"
"SGBOCT27VI","GB","22-Nov-2019","       3780.00","       3602.00","       3660.00","       3602.00","       3660.00","       3660.00","       3642.00","         20","               72840.00","          6","         20","        100.00"
"SGBOCT27VI","GB","25-Nov-2019","       3660.00","       3659.00","       4025.00","       3610.00","       3700.00","       3840.76","       3865.45","        219","              846534.00","         31","        197","         89.95"
"SGBOCT27VI","GB","26-Nov-2019","       3840.76","       3611.00","       3795.00","       3611.00","       3656.00","       3673.72","       3664.32","         22","               80615.00","         12","         13","         59.09"
"SGBOCT27VI","GB","28-Nov-2019","       3673.72","       3990.00","       3990.00","       3656.00","       3700.00","       3700.00","       3701.69","         26","               96244.00","         11","         23","         88.46"
"SGBOCT27VI","GB","29-Nov-2019","       3700.00","       3615.00","       3800.00","       3615.00","       3750.00","       3734.36","       3688.43","         49","              180733.10","         17","         28","         57.14"
"SGBOCT27VI","GB","02-Dec-2019","       3734.36","       3670.00","       3680.00","       3661.10","       3680.00","       3680.00","       3670.28","          8","               29362.20","          4","          6","         75.00"
"SGBOCT27VI","GB","04-Dec-2019","       3680.00","       3663.00","       3785.00","       3663.00","       3682.00","       3761.30","       3718.89","         28","              104129.00","          9","         28","        100.00"
"SGBOCT27VI","GB","05-Dec-2019","       3761.30","       3750.00","       3750.00","       3740.00","       3740.00","       3740.00","       3742.50","          4","               14970.00","          2","          4","        100.00"
"SGBOCT27VI","GB","06-Dec-2019","       3740.00","       3990.00","       3990.00","       3682.00","       3682.00","       3682.00","       3784.67","          3","               11354.00","          3","          3","        100.00"
"SGBOCT27VI","GB","09-Dec-2019","       3682.00","       3800.00","       3950.00","       3661.00","       3675.00","       3677.00","       3743.15","         26","               97322.00","         17","         21","         80.77"
"SGBOCT27VI","GB","10-Dec-2019","       3677.00","       3651.00","       3677.00","       3651.00","       3655.00","       3655.00","       3670.14","          7","               25691.00","          4","          7","        100.00"
"SGBOCT27VI","GB","12-Dec-2019","       3655.00","       3661.00","       3745.00","       3661.00","       3745.00","       3745.00","       3703.00","          2","                7406.00","          2","          2","        100.00"
"SGBOCT27VI","GB","13-Dec-2019","       3745.00","       3676.00","       3690.00","       3675.00","       3675.00","       3675.00","       3681.19","         26","               95711.00","          4","         26","        100.00"
"SGBOCT27VI","GB","17-Dec-2019","       3675.00","       3799.00","       3799.00","       3780.00","       3792.00","       3789.90","       3791.91","         34","              128925.00","          7","         34","        100.00"
"SGBOCT27VI","GB","20-Dec-2019","       3789.90","       3661.10","       3750.00","       3661.10","       3681.00","       3681.00","       3681.57","         14","               51542.00","          3","         14","        100.00"
"SGBOCT27VI","GB","23-Dec-2019","       3681.00","       3660.00","       3700.00","       3621.00","       3700.00","       3700.00","       3660.96","         24","               87863.00","          7","         24","        100.00"
"SGBOCT27VI","GB","24-Dec-2019","       3700.00","       3691.00","       3691.00","       3660.00","       3660.00","       3660.00","       3678.20","          5","               18391.00","          3","          5","        100.00"
"SGBOCT27VI","GB","26-Dec-2019","       3660.00","       3750.00","       3750.00","       3686.00","       3686.00","       3686.00","       3722.40","          5","               18612.00","          4","          5","        100.00"
"SGBOCT27VI","GB","27-Dec-2019","       3686.00","       3700.00","       3750.00","       3700.00","       3750.00","       3749.93","       3747.41","         79","              296045.00","         17","         79","        100.00"
"SGBOCT27VI","GB","30-Dec-2019","       3749.93","       3749.00","       3750.00","       3745.00","       3750.00","       3750.00","       3749.88","        137","              513734.00","         10","        137","        100.00"
"SGBOCT27VI","GB","31-Dec-2019","       3750.00","       3750.00","       3750.00","       3740.00","       3750.00","       3750.00","       3749.32","         44","              164970.00","          9","         44","        100.00"
"SGBOCT27VI","GB","01-Jan-2020","       3750.00","       3750.00","       3750.00","       3700.00","       3750.00","       3750.00","       3738.97","         72","              269205.50","          9","         72","        100.00"
"SGBOCT27VI","GB","02-Jan-2020","       3750.00","       3680.00","       3680.00","       3680.00","       3680.00","       3680.00","       3680.00","          2","                7360.00","          1","          2","        100.00"
"SGBOCT27VI","GB","03-Jan-2020","       3680.00","       3748.00","       3750.00","       3700.00","       3750.00","       3750.00","       3746.75","         16","               59948.00","          5","         16","        100.00"
"SGBOCT27VI","GB","06-Jan-2020","       3750.00","       3785.00","       3850.00","       3735.00","       3735.00","       3735.00","       3829.73","         33","              126381.00","         15","         33","        100.00"
"SGBOCT27VI","GB","07-Jan-2020","       3735.00","       3770.00","       3800.00","       3756.00","       3756.00","       3756.00","       3772.24","         25","               94306.00","         11","         24","         96.00"
"SGBOCT27VI","GB","08-Jan-2020","       3756.00","       3812.00","       3850.00","       3755.10","       3780.10","       3812.03","       3840.51","        413","             1586130.60","         24","        409","         99.03"
"SGBOCT27VI","GB","09-Jan-2020","       3812.03","       3790.00","       3810.00","       3790.00","       3810.00","       3810.00","       3798.00","          5","               18990.00","          4","          5","        100.00"
"SGBOCT27VI","GB","10-Jan-2020","       3810.00","       3702.00","       3752.00","       3702.00","       3752.00","       3752.00","       3727.00","          4","               14908.00","          2","          2","         50.00"
"SGBOCT27VI","GB","13-Jan-2020","       3752.00","       3740.00","       3790.00","       3740.00","       3740.00","       3748.46","       3757.36","         73","              274287.00","         21","         57","         78.08"
"SGBOCT27VI","GB","14-Jan-2020","       3748.46","       3800.00","       3800.00","       3776.00","       3776.00","       3778.66","       3794.60","         25","               94865.00","          9","         25","        100.00"
"SGBOCT27VI","GB","15-Jan-2020","       3778.66","       3780.00","       3800.00","       3775.00","       3778.00","       3781.50","       3786.22","         27","              102228.00","          8","         27","        100.00"
"SGBOCT27VI","GB","16-Jan-2020","       3781.50","       3800.00","       3800.00","       3800.00","       3800.00","       3800.00","       3800.00","         18","               68400.00","          5","         18","        100.00"
"SGBOCT27VI","GB","17-Jan-2020","       3800.00","       3800.00","       3820.00","       3778.00","       3800.00","       3800.00","       3798.81","         21","               79775.00","         10","         21","        100.00"
"SGBOCT27VI","GB","20-Jan-2020","       3800.00","       3800.00","       3800.00","       3785.00","       3785.00","       3785.00","       3798.42","         19","               72170.00","          5","         19","        100.00"
"SGBOCT27VI","GB","21-Jan-2020","       3785.00","       3785.00","       3835.00","       3785.00","       3835.00","       3835.00","       3807.83","         69","              262740.00","         14","         69","        100.00"
"SGBOCT27VI","GB","22-Jan-2020","       3835.00","       3835.00","       3849.00","       3835.00","       3835.00","       3835.00","       3841.83","         41","              157515.00","         11","         41","        100.00"
"SGBOCT27VI","GB","23-Jan-2020","       3835.00","       3800.00","       3800.00","       3785.00","       3800.00","       3800.00","       3799.17","         18","               68385.00","          6","         18","        100.00"
"SGBOCT27VI","GB","24-Jan-2020","       3800.00","       3651.00","       3850.00","       3651.00","       3850.00","       3846.83","       3824.00","         18","               68832.00","         12","         18","        100.00"
"SGBOCT27VI","GB","27-Jan-2020","       3846.83","       3840.00","       3846.00","       3822.00","       3822.00","       3822.00","       3844.15","         74","              284467.00","          4","         74","        100.00"
"SGBOCT27VI","GB","28-Jan-2020","       3822.00","       3848.90","       3850.00","       3821.00","       3821.00","       3821.00","       3839.46","         96","              368588.10","         11","         96","        100.00"
"SGBOCT27VI","GB","29-Jan-2020","       3821.00","       3615.00","       3845.00","       3611.00","       3845.00","       3788.71","       3697.62","         21","               77650.00","          9","         11","         52.38"
