"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBSEP27","GB","23-Sep-2019","       3757.06","       3401.00","       3789.00","       3401.00","       3650.00","       3650.00","       3632.95","         39","              141685.00","         13","         22","         56.41"
"SGBSEP27","GB","24-Sep-2019","       3650.00","       3700.00","       3744.00","       3401.00","       3611.00","       3611.00","       3613.10","        234","              845466.01","         20","        180","         76.92"
"SGBSEP27","GB","25-Sep-2019","       3611.00","       3611.00","       3777.00","       3611.00","       3640.00","       3640.00","       3694.98","         63","              232784.00","         10","         62","         98.41"
"SGBSEP27","GB","26-Sep-2019","       3640.00","       3650.00","       3655.00","       3650.00","       3655.00","       3655.00","       3650.56","          9","               32855.00","          3","          9","        100.00"
"SGBSEP27","GB","27-Sep-2019","       3655.00","       3601.00","       3601.00","       3601.00","       3601.00","       3601.00","       3601.00","          1","                3601.00","          1","          1","        100.00"
"SGBSEP27","GB","30-Sep-2019","       3601.00","       3855.00","       3855.00","       3557.00","       3557.00","       3557.00","       3647.07","         74","              269883.00","         12","         72","         97.30"
"SGBSEP27","GB","01-Oct-2019","       3557.00","       3500.00","       3645.00","       3400.00","       3512.00","       3512.00","       3530.26","         29","              102377.50","         10","         27","         93.10"
"SGBSEP27","GB","03-Oct-2019","       3512.00","       3512.00","       3777.00","       3512.00","       3600.00","       3600.75","       3524.74","         50","              176237.00","          8","         45","         90.00"
"SGBSEP27","GB","07-Oct-2019","       3600.75","       3611.00","       3750.00","       3605.00","       3605.00","       3605.00","       3682.04","        122","              449209.00","         13","        111","         90.98"
"SGBSEP27","GB","09-Oct-2019","       3605.00","       3641.00","       3750.00","       3640.00","       3750.00","       3710.00","       3728.02","        205","              764244.00","         16","        205","        100.00"
"SGBSEP27","GB","10-Oct-2019","       3710.00","       3641.00","       3700.00","       3640.00","       3700.00","       3700.00","       3648.86","          7","               25542.00","          4","          7","        100.00"
"SGBSEP27","GB","11-Oct-2019","       3700.00","       3651.00","       3750.00","       3640.00","       3700.00","       3700.00","       3663.43","         14","               51288.00","          6","         14","        100.00"
"SGBSEP27","GB","14-Oct-2019","       3700.00","       3700.00","       3748.00","       3650.00","       3650.00","       3650.00","       3744.29","        277","             1037168.00","          3","        277","        100.00"
"SGBSEP27","GB","15-Oct-2019","       3650.00","       3640.00","       3750.00","       3640.00","       3750.00","       3750.00","       3749.59","        270","             1012390.00","          2","        270","        100.00"
"SGBSEP27","GB","16-Oct-2019","       3750.00","       3670.00","       3670.00","       3670.00","       3670.00","       3670.00","       3670.00","          3","               11010.00","          1","          3","        100.00"
"SGBSEP27","GB","17-Oct-2019","       3670.00","       3670.00","       3670.00","       3670.00","       3670.00","       3670.00","       3670.00","          5","               18350.00","          2","          5","        100.00"
"SGBSEP27","GB","18-Oct-2019","       3670.00","       3555.00","       3650.00","       3555.00","       3650.00","       3650.00","       3639.44","          9","               32755.00","          6","          9","        100.00"
"SGBSEP27","GB","22-Oct-2019","       3650.00","       3560.00","       3890.00","       3555.00","       3660.00","       3660.00","       3725.12","         34","              126654.00","         14","         27","         79.41"
"SGBSEP27","GB","23-Oct-2019","       3660.00","       3670.10","       3700.00","       3640.00","       3700.00","       3700.00","       3661.52","         71","              259968.05","          9","         66","         92.96"
"SGBSEP27","GB","24-Oct-2019","       3700.00","       3650.00","       3650.00","       3650.00","       3650.00","       3650.00","       3650.00","          1","                3650.00","          1","          1","        100.00"
"SGBSEP27","GB","25-Oct-2019","       3650.00","       3890.00","       3950.00","       3701.00","       3889.00","       3876.10","       3840.68","         44","              168989.95","         16","         41","         93.18"
"SGBSEP27","GB","27-Oct-2019","       3876.10","       3876.00","       3876.00","       3876.00","       3876.00","       3876.00","       3876.00","          2","                7752.00","          1","          2","        100.00"
"SGBSEP27","GB","29-Oct-2019","       3876.00","       3601.00","       3800.00","       3601.00","       3800.00","       3800.00","       3686.00","         35","              129009.95","         11","         20","         57.14"
"SGBSEP27","GB","30-Oct-2019","       3800.00","       3800.00","       3800.00","       3601.00","       3651.00","       3651.00","       3677.42","         43","              158129.00","         10","         41","         95.35"
"SGBSEP27","GB","31-Oct-2019","       3651.00","       3651.00","       3700.00","       3651.00","       3700.00","       3700.00","       3691.83","         24","               88604.00","          5","         24","        100.00"
"SGBSEP27","GB","01-Nov-2019","       3700.00","       3700.00","       3849.00","       3700.00","       3701.00","       3701.00","       3746.63","         16","               59946.00","          6","         11","         68.75"
"SGBSEP27","GB","05-Nov-2019","       3701.00","       3661.00","       3661.00","       3661.00","       3661.00","       3661.00","       3661.00","         10","               36610.00","          1","         10","        100.00"
"SGBSEP27","GB","06-Nov-2019","       3661.00","       3651.00","       3776.00","       3641.00","       3776.00","       3776.00","       3666.00","         12","               43992.00","          4","         12","        100.00"
"SGBSEP27","GB","07-Nov-2019","       3776.00","       3779.00","       3779.00","       3640.01","       3700.00","       3700.00","       3683.65","         17","               62622.04","          6","         17","        100.00"
"SGBSEP27","GB","08-Nov-2019","       3700.00","       3640.00","       3779.00","       3640.00","       3670.00","       3670.00","       3673.50","         14","               51429.00","          5","         14","        100.00"
"SGBSEP27","GB","11-Nov-2019","       3670.00","       3671.01","       3750.00","       3671.01","       3750.00","       3750.00","       3710.51","          2","                7421.01","          2","          2","        100.00"
"SGBSEP27","GB","13-Nov-2019","       3750.00","       3640.00","       3640.20","       3640.00","       3640.20","       3640.20","       3640.03","         12","               43680.40","          3","         12","        100.00"
"SGBSEP27","GB","14-Nov-2019","       3640.20","       3651.00","       3652.05","       3651.00","       3652.05","       3652.05","       3651.70","          3","               10955.10","          2","          3","        100.00"
"SGBSEP27","GB","15-Nov-2019","       3652.05","       3650.01","       3650.01","       3650.01","       3650.01","       3650.01","       3650.01","          1","                3650.01","          1","          1","        100.00"
"SGBSEP27","GB","18-Nov-2019","       3650.01","       3660.00","       3660.00","       3660.00","       3660.00","       3660.00","       3660.00","          6","               21960.00","          1","          6","        100.00"
"SGBSEP27","GB","19-Nov-2019","       3660.00","       3640.00","       3671.00","       3640.00","       3652.01","       3652.01","       3663.00","          9","               32967.02","          4","          9","        100.00"
"SGBSEP27","GB","20-Nov-2019","       3652.01","       3641.10","       3643.10","       3640.00","       3643.05","       3643.05","       3641.33","         55","              200273.05","          7","         55","        100.00"
"SGBSEP27","GB","21-Nov-2019","       3643.05","       3651.10","       3651.10","       3644.01","       3644.01","       3644.01","       3649.33","          4","               14597.31","          3","          4","        100.00"
"SGBSEP27","GB","26-Nov-2019","       3644.01","       3662.00","       3662.10","       3662.00","       3662.10","       3662.10","       3662.08","          5","               18310.40","          3","          5","        100.00"
"SGBSEP27","GB","28-Nov-2019","       3662.10","       3644.01","       3649.12","       3296.90","       3605.00","       3611.81","       3512.87","        104","              365338.50","         19","         68","         65.38"
"SGBSEP27","GB","29-Nov-2019","       3611.81","       3603.00","       3603.00","       3603.00","       3603.00","       3603.00","       3603.00","          1","                3603.00","          1","          1","        100.00"
"SGBSEP27","GB","02-Dec-2019","       3603.00","       3632.00","       3700.00","       3632.00","       3641.00","       3641.00","       3653.30","         20","               73066.00","         11","         20","        100.00"
"SGBSEP27","GB","04-Dec-2019","       3641.00","       3845.00","       3845.00","       3615.01","       3615.01","       3615.01","       3664.63","         21","               76957.25","          5","         21","        100.00"
"SGBSEP27","GB","05-Dec-2019","       3615.01","       3605.01","       3700.00","       3605.01","       3700.00","       3700.00","       3682.37","         19","               69965.01","          4","         18","         94.74"
"SGBSEP27","GB","06-Dec-2019","       3700.00","       3600.00","       3750.00","       3332.90","       3681.00","       3681.00","       3652.30","         17","               62089.16","          6","         14","         82.35"
"SGBSEP27","GB","09-Dec-2019","       3681.00","       3840.00","       3899.00","       3705.00","       3720.00","       3720.00","       3729.64","         56","              208860.00","          9","         55","         98.21"
"SGBSEP27","GB","11-Dec-2019","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","         15","               55800.00","          1","         15","        100.00"
"SGBSEP27","GB","12-Dec-2019","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","          2","                7440.00","          1","          2","        100.00"
"SGBSEP27","GB","13-Dec-2019","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","          1","                3720.00","          1","          1","        100.00"
"SGBSEP27","GB","16-Dec-2019","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","       3720.00","          1","                3720.00","          1","          1","        100.00"
"SGBSEP27","GB","17-Dec-2019","       3720.00","       3700.00","       3700.00","       3621.00","       3621.00","       3631.40","       3663.89","         19","               69614.00","          4","         19","        100.00"
"SGBSEP27","GB","18-Dec-2019","       3631.40","       3640.10","       3640.10","       3640.10","       3640.10","       3640.10","       3640.10","          1","                3640.10","          1","          1","        100.00"
"SGBSEP27","GB","19-Dec-2019","       3640.10","       3651.01","       3651.01","       3651.01","       3651.01","       3651.01","       3651.01","          1","                3651.01","          1","          1","        100.00"
"SGBSEP27","GB","23-Dec-2019","       3651.01","       3666.00","       3666.00","       3665.10","       3666.00","       3666.00","       3665.40","          9","               32988.60","          3","          9","        100.00"
"SGBSEP27","GB","24-Dec-2019","       3666.00","       3650.11","       3650.11","       3650.11","       3650.11","       3650.11","       3650.11","         13","               47451.43","          1","         13","        100.00"
"SGBSEP27","GB","26-Dec-2019","       3650.11","       3670.01","       3705.00","       3670.01","       3705.00","       3705.00","       3694.22","         18","               66496.03","          7","         18","        100.00"
