"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SKIPPER","EQ","30-Aug-2018","        129.40","        130.35","        131.80","        128.55","        131.25","        129.85","        129.83","     265770","            34504894.75","       4347","     173246","         65.19"
"SKIPPER","EQ","31-Aug-2018","        129.85","        130.00","        131.00","        127.50","        129.00","        129.15","        129.26","     243271","            31445346.35","       7770","     145378","         59.76"
"SKIPPER","EQ","03-Sep-2018","        129.15","        130.00","        130.80","        126.00","        126.65","        127.45","        128.32","     134598","            17271192.80","       3059","      90961","         67.58"
"SKIPPER","EQ","04-Sep-2018","        127.45","        128.20","        128.20","        122.70","        123.80","        123.60","        124.82","     178527","            22283019.70","       8820","     103101","         57.75"
"SKIPPER","EQ","05-Sep-2018","        123.60","        123.00","        127.95","        121.05","        127.80","        127.40","        124.85","      89833","            11215564.65","       1999","      45166","         50.28"
"SKIPPER","EQ","06-Sep-2018","        127.40","        129.50","        129.50","        125.15","        129.00","        128.50","        126.76","      54746","             6939785.75","       1298","      25340","         46.29"
"SKIPPER","EQ","07-Sep-2018","        128.50","        129.85","        129.85","        126.00","        127.00","        126.90","        127.08","      50956","             6475687.85","        750","      25895","         50.82"
"SKIPPER","EQ","10-Sep-2018","        126.90","        127.30","        127.90","        123.25","        125.10","        124.30","        125.09","      67850","             8487082.45","       1343","      42782","         63.05"
"SKIPPER","EQ","11-Sep-2018","        124.30","        124.20","        126.50","        122.00","        122.40","        122.25","        123.54","      66166","             8174251.10","       1114","      35823","         54.14"
"SKIPPER","EQ","12-Sep-2018","        122.25","        122.55","        125.00","        118.40","        123.45","        122.90","        121.58","      67703","             8231328.50","       1131","      47469","         70.11"
"SKIPPER","EQ","14-Sep-2018","        122.90","        125.00","        125.05","        122.10","        123.05","        123.05","        123.43","      47041","             5806312.90","        969","      22312","         47.43"
"SKIPPER","EQ","17-Sep-2018","        123.05","        122.00","        124.15","        121.00","        121.55","        121.60","        121.64","      54198","             6592386.55","       1977","      34175","         63.06"
"SKIPPER","EQ","18-Sep-2018","        121.60","        121.00","        122.20","        119.55","        120.20","        119.95","        120.45","      36117","             4350446.70","        996","      21015","         58.19"
