"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SKMEGGPROD","EQ","30-Aug-2018","         73.40","         73.45","         74.50","         73.10","         74.00","         73.70","         73.56","      17558","             1291553.60","        227","      11649","         66.35"
"SKMEGGPROD","EQ","31-Aug-2018","         73.70","         73.75","         76.50","         72.10","         73.95","         73.30","         73.75","      23170","             1708813.75","        239","      17631","         76.09"
"SKMEGGPROD","EQ","03-Sep-2018","         73.30","         74.00","         75.00","         73.15","         74.40","         74.30","         74.25","      22734","             1687896.05","        214","      16496","         72.56"
"SKMEGGPROD","EQ","04-Sep-2018","         74.30","         74.35","         77.00","         73.45","         74.40","         74.55","         74.94","      46730","             3501960.55","        343","      33758","         72.24"
"SKMEGGPROD","EQ","05-Sep-2018","         74.55","         74.00","         75.00","         73.05","         73.95","         73.60","         73.69","      28785","             2121305.95","        240","      23019","         79.97"
"SKMEGGPROD","EQ","06-Sep-2018","         73.60","         74.75","         75.45","         73.05","         74.85","         74.50","         74.14","      29904","             2217137.60","        202","      21876","         73.15"
"SKMEGGPROD","EQ","07-Sep-2018","         74.50","         74.00","         76.00","         74.00","         76.00","         75.80","         75.40","      24624","             1856663.05","        217","      20804","         84.49"
"SKMEGGPROD","EQ","10-Sep-2018","         75.80","         76.90","         76.90","         75.10","         76.45","         75.75","         75.94","      21756","             1652082.85","        241","      16994","         78.11"
"SKMEGGPROD","EQ","11-Sep-2018","         75.75","         75.80","         75.85","         73.30","         73.50","         73.50","         74.56","      21999","             1640241.05","        173","      18823","         85.56"
"SKMEGGPROD","EQ","12-Sep-2018","         73.50","         74.00","         74.50","         73.60","         74.50","         74.40","         74.09","      14829","             1098657.60","        158","      13057","         88.05"
"SKMEGGPROD","EQ","14-Sep-2018","         74.40","         74.15","         76.75","         74.10","         76.00","         76.05","         75.11","      15613","             1172666.90","        170","      12239","         78.39"
"SKMEGGPROD","EQ","17-Sep-2018","         76.05","         76.85","         83.65","         76.80","         83.35","         83.30","         81.97","     173179","            14195375.70","       1666","      83401","         48.16"
"SKMEGGPROD","EQ","18-Sep-2018","         83.30","         85.85","         86.90","         81.15","         81.20","         82.00","         84.06","      94606","             7952584.05","       1195","      40798","         43.12"
"SKMEGGPROD","EQ","19-Sep-2018","         82.00","         81.30","         84.00","         79.10","         79.50","         79.55","         81.58","      26218","             2138933.95","        365","      16432","         62.67"
"SKMEGGPROD","EQ","21-Sep-2018","         79.55","         79.55","         81.50","         73.00","         76.00","         76.30","         76.62","      46700","             3578058.65","        543","      32002","         68.53"
"SKMEGGPROD","EQ","24-Sep-2018","         76.30","         75.35","         75.35","         68.75","         72.20","         72.30","         72.11","      50703","             3656187.25","        561","      34810","         68.65"
"SKMEGGPROD","EQ","25-Sep-2018","         72.30","         74.90","         74.90","         70.50","         74.60","         73.90","         72.98","      33593","             2451458.35","        421","      21002","         62.52"
"SKMEGGPROD","EQ","26-Sep-2018","         73.90","         72.60","         76.05","         72.60","         74.70","         74.80","         74.79","      26136","             1954828.10","        231","      17168","         65.69"
"SKMEGGPROD","EQ","27-Sep-2018","         74.80","         73.70","         74.85","         67.35","         67.35","         67.35","         68.39","     104947","             7177752.60","        785","      88157","         84.00"
"SKMEGGPROD","EQ","28-Sep-2018","         67.35","         68.25","         68.25","         60.65","         60.65","         60.65","         61.08","     111993","             6840906.05","        790","      85513","         76.36"
"SKMEGGPROD","EQ","01-Oct-2018","         60.65","         54.75","         57.00","         54.60","         54.60","         54.60","         54.73","     125087","             6845975.00","        717","      98937","         79.09"
"SKMEGGPROD","EQ","03-Oct-2018","         54.60","         56.80","         57.30","         52.10","         54.00","         53.55","         55.95","     154306","             8633623.40","       1285","     104416","         67.67"
"SKMEGGPROD","EQ","04-Oct-2018","         53.55","         53.55","         55.70","         51.10","         53.30","         53.00","         53.12","      83841","             4453816.25","       1068","      49759","         59.35"
"SKMEGGPROD","EQ","05-Oct-2018","         53.00","         53.50","         55.65","         52.70","         54.00","         54.60","         54.58","     106908","             5834640.35","        826","      67718","         63.34"
"SKMEGGPROD","EQ","08-Oct-2018","         54.60","         55.50","         57.30","         54.00","         54.55","         54.75","         55.88","      46919","             2621872.95","        597","      24921","         53.11"
"SKMEGGPROD","EQ","09-Oct-2018","         54.75","         54.15","         57.45","         53.70","         57.45","         57.45","         56.79","     104210","             5918322.40","        548","      64076","         61.49"
"SKMEGGPROD","EQ","10-Oct-2018","         57.45","         58.95","         60.30","         58.05","         60.30","         60.30","         59.69","      36569","             2182727.45","        336","      21897","         59.88"
"SKMEGGPROD","EQ","11-Oct-2018","         60.30","         60.00","         63.25","         57.30","         61.55","         61.65","         59.94","      58830","             3526055.05","        635","      25318","         43.04"
"SKMEGGPROD","EQ","12-Oct-2018","         61.65","         63.50","         64.70","         62.25","         64.35","         64.65","         64.08","      37888","             2428006.00","        415","      19975","         52.72"
"SKMEGGPROD","EQ","15-Oct-2018","         64.65","         67.80","         67.85","         64.80","         67.85","         67.85","         67.38","      28387","             1912735.85","        310","      17373","         61.20"
"SKMEGGPROD","EQ","16-Oct-2018","         67.85","         71.15","         71.20","         68.55","         71.20","         70.85","         70.56","      67886","             4789827.75","        751","      39267","         57.84"
"SKMEGGPROD","EQ","17-Oct-2018","         70.85","         73.35","         73.35","         68.00","         68.70","         68.60","         69.56","      37423","             2603074.30","        507","      18282","         48.85"
"SKMEGGPROD","EQ","19-Oct-2018","         68.60","         68.60","         70.55","         65.20","         65.60","         65.95","         67.29","      42912","             2887465.90","        687","      20438","         47.63"
"SKMEGGPROD","EQ","22-Oct-2018","         65.95","         66.90","         66.90","         63.00","         63.55","         63.50","         64.68","      22136","             1431802.00","        402","      12080","         54.57"
"SKMEGGPROD","EQ","23-Oct-2018","         63.50","         62.10","         63.90","         61.10","         61.70","         62.10","         62.37","      31102","             1939831.30","        416","      16774","         53.93"
"SKMEGGPROD","EQ","24-Oct-2018","         62.10","         64.00","         64.70","         62.35","         63.95","         63.70","         63.67","      15943","             1015015.25","        282","       8552","         53.64"
"SKMEGGPROD","EQ","25-Oct-2018","         63.70","         63.90","         66.85","         62.50","         66.85","         65.35","         64.74","      21784","             1410248.70","        354","      13892","         63.77"
"SKMEGGPROD","EQ","26-Oct-2018","         65.35","         67.50","         67.85","         65.25","         66.50","         65.90","         66.36","      23344","             1549144.70","        246","      16080","         68.88"
"SKMEGGPROD","EQ","29-Oct-2018","         65.90","         68.10","         68.10","         66.05","         67.40","         67.25","         67.12","      14452","              970071.65","        248","       9871","         68.30"
"SKMEGGPROD","EQ","30-Oct-2018","         67.25","         67.40","         69.35","         63.90","         65.55","         65.35","         67.03","      31523","             2112961.00","        542","      14839","         47.07"
"SKMEGGPROD","EQ","31-Oct-2018","         65.35","         65.95","         66.05","         64.75","         65.75","         65.80","         65.49","      13853","              907169.45","        289","       7549","         54.49"
"SKMEGGPROD","EQ","01-Nov-2018","         65.80","         66.05","         67.35","         65.60","         65.60","         66.10","         66.51","      16572","             1102202.35","        230","      11116","         67.08"
"SKMEGGPROD","EQ","02-Nov-2018","         66.10","         66.05","         69.40","         65.50","         69.40","         69.10","         68.14","      99345","             6769566.80","        861","      32950","         33.17"
"SKMEGGPROD","EQ","05-Nov-2018","         69.10","         70.00","         72.55","         68.00","         71.00","         70.10","         70.29","      60895","             4280591.50","        580","      32447","         53.28"
"SKMEGGPROD","EQ","06-Nov-2018","         70.10","         70.55","         71.90","         68.50","         69.50","         69.50","         70.11","      16985","             1190883.65","        286","       9943","         58.54"
"SKMEGGPROD","EQ","07-Nov-2018","         69.50","         70.05","         71.05","         69.55","         69.75","         70.35","         70.27","       2744","              192833.05","         66","       1685","         61.41"
"SKMEGGPROD","EQ","09-Nov-2018","         70.35","         70.35","         72.90","         69.55","         72.00","         72.30","         71.78","      31430","             2256044.30","        354","      23503","         74.78"
"SKMEGGPROD","EQ","12-Nov-2018","         72.30","         71.45","         75.90","         70.10","         75.90","         74.50","         73.71","      70998","             5233383.05","        514","      42522","         59.89"
"SKMEGGPROD","EQ","13-Nov-2018","         74.50","         77.25","         77.25","         71.35","         72.25","         72.75","         73.96","     121632","             8995510.90","       1559","      67577","         55.56"
"SKMEGGPROD","EQ","14-Nov-2018","         72.75","         74.00","         74.00","         70.45","         70.90","         70.95","         71.79","      30916","             2219364.80","        454","      22986","         74.35"
"SKMEGGPROD","EQ","15-Nov-2018","         70.95","         70.20","         71.40","         67.50","         68.00","         68.25","         69.08","      65675","             4536991.45","        771","      43318","         65.96"
"SKMEGGPROD","EQ","16-Nov-2018","         68.25","         70.05","         71.65","         70.05","         71.65","         71.65","         71.54","      68186","             4878304.95","        327","      45985","         67.44"
"SKMEGGPROD","EQ","19-Nov-2018","         71.65","         73.00","         75.10","         73.00","         74.50","         74.20","         74.34","      93089","             6920355.20","       1211","      44439","         47.74"
"SKMEGGPROD","EQ","20-Nov-2018","         74.20","         74.00","         74.00","         70.60","         71.30","         71.10","         71.95","      43730","             3146323.85","        635","      28826","         65.92"
"SKMEGGPROD","EQ","21-Nov-2018","         71.10","         70.30","         72.10","         70.30","         71.05","         71.05","         71.18","      18378","             1308166.95","        280","      13651","         74.28"
"SKMEGGPROD","EQ","22-Nov-2018","         71.05","         71.45","         72.05","         70.00","         70.00","         70.45","         70.96","      26791","             1901109.70","        409","      11396","         42.54"
"SKMEGGPROD","EQ","26-Nov-2018","         70.45","         72.80","         72.80","         70.75","         70.85","         70.90","         71.36","      16377","             1168703.15","        227","      12003","         73.29"
"SKMEGGPROD","EQ","27-Nov-2018","         70.90","         70.65","         71.40","         69.15","         70.30","         69.70","         70.32","      13972","              982501.65","        226","      10999","         78.72"
"SKMEGGPROD","EQ","28-Nov-2018","         69.70","         69.65","         70.40","         67.70","         67.70","         67.95","         68.68","      31256","             2146608.95","        475","      16723","         53.50"
"SKMEGGPROD","EQ","29-Nov-2018","         67.95","         69.85","         69.85","         67.20","         68.25","         67.95","         68.12","      14078","              958978.05","        243","       7280","         51.71"
"SKMEGGPROD","EQ","30-Nov-2018","         67.95","         67.40","         70.60","         67.40","         69.85","         69.80","         69.44","      28991","             2013168.55","        441","      21444","         73.97"
"SKMEGGPROD","EQ","03-Dec-2018","         69.80","         70.05","         71.15","         69.40","         70.65","         70.70","         70.49","      14360","             1012303.70","        201","       9669","         67.33"
"SKMEGGPROD","EQ","04-Dec-2018","         70.70","         70.05","         70.30","         68.20","         69.00","         69.35","         69.64","      18767","             1306992.85","        282","      14774","         78.72"
"SKMEGGPROD","EQ","05-Dec-2018","         69.35","         69.05","         69.05","         68.30","         69.00","         68.60","         68.77","       5428","              373294.85","        152","       4101","         75.55"
"SKMEGGPROD","EQ","06-Dec-2018","         68.60","         69.20","         70.00","         66.00","         67.70","         67.60","         68.31","      28161","             1923672.65","        472","      17330","         61.54"
"SKMEGGPROD","EQ","07-Dec-2018","         67.60","         69.95","         69.95","         66.05","         66.05","         66.30","         67.09","      11065","              742387.30","        221","       7460","         67.42"
"SKMEGGPROD","EQ","10-Dec-2018","         66.30","         66.00","         66.05","         63.10","         66.00","         65.70","         64.79","      13024","              843879.40","        275","       9432","         72.42"
"SKMEGGPROD","EQ","11-Dec-2018","         65.70","         65.05","         66.70","         62.50","         65.00","         66.10","         65.41","      13824","              904262.00","        300","       8168","         59.09"
"SKMEGGPROD","EQ","12-Dec-2018","         66.10","         67.70","         67.85","         66.00","         66.35","         66.85","         66.99","      10354","              693636.20","        239","       7334","         70.83"
"SKMEGGPROD","EQ","13-Dec-2018","         66.85","         66.80","         69.05","         66.70","         67.20","         67.30","         67.88","      13875","              941786.80","        361","       7474","         53.87"
"SKMEGGPROD","EQ","14-Dec-2018","         67.30","         66.10","         68.00","         66.10","         66.60","         66.35","         66.80","      17873","             1193828.05","        350","      12169","         68.09"
"SKMEGGPROD","EQ","17-Dec-2018","         66.35","         66.50","         68.70","         66.50","         67.10","         67.35","         67.57","      18555","             1253730.35","        337","      10602","         57.14"
"SKMEGGPROD","EQ","18-Dec-2018","         67.35","         69.60","         71.45","         68.00","         68.60","         68.45","         69.30","      82424","             5712264.55","       1219","      18807","         22.82"
"SKMEGGPROD","EQ","19-Dec-2018","         68.45","         69.50","         70.35","         69.00","         69.00","         69.00","         69.41","      24612","             1708404.05","        418","      12743","         51.78"
"SKMEGGPROD","EQ","20-Dec-2018","         69.00","         68.55","         69.50","         67.50","         67.55","         67.75","         68.17","      15376","             1048192.10","        383","      10108","         65.74"
"SKMEGGPROD","EQ","21-Dec-2018","         67.75","         68.80","         69.35","         66.50","         67.00","         66.85","         67.47","      19251","             1298834.35","        318","      14263","         74.09"
"SKMEGGPROD","EQ","24-Dec-2018","         66.85","         67.05","         68.25","         66.00","         66.40","         66.65","         66.81","      10664","              712413.35","        183","       6910","         64.80"
"SKMEGGPROD","EQ","26-Dec-2018","         66.65","         66.35","         66.75","         64.95","         65.00","         65.40","         65.36","      21459","             1402652.20","        357","      14436","         67.27"
