"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SMSLIFE","EQ","30-Aug-2018","        417.00","        412.05","        454.80","        412.00","        444.00","        444.50","        440.14","       4454","             1960403.60","        200","       2831","         63.56"
"SMSLIFE","EQ","31-Aug-2018","        444.50","        459.80","        459.80","        431.00","        447.00","        449.15","        442.16","       3620","             1600605.45","        156","       3089","         85.33"
"SMSLIFE","EQ","03-Sep-2018","        449.15","        474.00","        478.00","        450.15","        458.10","        458.25","        467.14","       7277","             3399397.95","        384","       4450","         61.15"
"SMSLIFE","EQ","04-Sep-2018","        458.25","        458.00","        468.00","        451.65","        456.00","        459.55","        458.70","       3150","             1444918.75","        161","       2368","         75.17"
"SMSLIFE","EQ","05-Sep-2018","        459.55","        456.05","        465.00","        451.00","        465.00","        458.35","        456.18","       3242","             1478922.65","        110","       2255","         69.56"
"SMSLIFE","EQ","06-Sep-2018","        458.35","        457.05","        469.90","        452.25","        458.95","        460.75","        460.44","       1889","              869768.50","         77","       1135","         60.08"
"SMSLIFE","EQ","07-Sep-2018","        460.75","        450.10","        462.70","        450.05","        456.50","        456.60","        457.41","       2651","             1212591.85","        130","       1681","         63.41"
"SMSLIFE","EQ","10-Sep-2018","        456.60","        452.10","        473.90","        450.05","        457.20","        460.25","        460.20","        832","              382883.15","         76","        529","         63.58"
"SMSLIFE","EQ","11-Sep-2018","        460.25","        466.60","        468.00","        450.00","        454.00","        454.00","        459.46","        503","              231108.60","         61","        369","         73.36"
"SMSLIFE","EQ","12-Sep-2018","        454.00","        445.00","        453.60","        415.00","        445.00","        445.20","        440.61","       1011","              445452.20","         63","        729","         72.11"
"SMSLIFE","EQ","14-Sep-2018","        445.20","        449.40","        460.00","        441.05","        441.05","        443.80","        447.08","        261","              116688.15","         51","        147","         56.32"
"SMSLIFE","EQ","17-Sep-2018","        443.80","        425.05","        450.00","        425.05","        435.40","        441.25","        438.51","        667","              292487.00","         87","        325","         48.73"
"SMSLIFE","EQ","18-Sep-2018","        441.25","        463.95","        464.00","        436.00","        445.00","        449.00","        448.58","       4023","             1804646.15","        101","       3587","         89.16"
"SMSLIFE","EQ","19-Sep-2018","        449.00","        449.00","        456.75","        434.10","        434.10","        441.60","        447.20","        302","              135054.40","         39","        161","         53.31"
"SMSLIFE","EQ","21-Sep-2018","        441.60","        435.85","        447.10","        416.00","        435.00","        440.15","        436.55","        570","              248833.45","         50","        378","         66.32"
"SMSLIFE","EQ","24-Sep-2018","        440.15","        440.00","        440.00","        405.00","        429.00","        422.90","        423.41","       2204","              933202.90","        124","       1650","         74.86"
"SMSLIFE","EQ","25-Sep-2018","        422.90","        408.65","        435.35","        408.60","        410.00","        411.65","        414.18","        920","              381041.75","         64","        494","         53.70"
"SMSLIFE","EQ","26-Sep-2018","        411.65","        411.00","        417.60","        399.00","        408.00","        406.00","        404.05","       4124","             1666288.30","        196","       2950","         71.53"
"SMSLIFE","EQ","27-Sep-2018","        406.00","        419.00","        419.00","        400.60","        402.00","        402.10","        404.30","        463","              187191.50","         57","        235","         50.76"
"SMSLIFE","EQ","28-Sep-2018","        402.10","        391.75","        408.70","        377.50","        381.00","        382.45","        387.34","        703","              272300.05","         63","        391","         55.62"
"SMSLIFE","EQ","01-Oct-2018","        382.45","        381.00","        390.00","        365.10","        383.00","        385.20","        375.66","       3847","             1445166.95","        196","       2352","         61.14"
"SMSLIFE","EQ","03-Oct-2018","        385.20","        377.30","        387.05","        374.55","        385.00","        385.30","        382.96","        277","              106081.15","         39","        183","         66.06"
"SMSLIFE","EQ","04-Oct-2018","        385.30","        385.00","        397.95","        350.10","        375.00","        372.65","        379.87","       2709","             1029065.15","        105","       2249","         83.02"
"SMSLIFE","EQ","05-Oct-2018","        372.65","        368.90","        385.80","        361.00","        361.00","        365.75","        372.95","       1178","              439333.90","         47","       1008","         85.57"
"SMSLIFE","EQ","08-Oct-2018","        365.75","        355.00","        373.50","        347.60","        348.50","        352.05","        361.51","       7404","             2676642.20","        153","       6892","         93.08"
"SMSLIFE","EQ","09-Oct-2018","        352.05","        347.05","        380.00","        347.00","        358.00","        367.55","        360.54","        876","              315832.20","         92","        590","         67.35"
"SMSLIFE","EQ","10-Oct-2018","        367.55","        355.15","        393.35","        355.15","        366.30","        368.30","        368.38","        244","               89885.50","         51","        112","         45.90"
"SMSLIFE","EQ","11-Oct-2018","        368.30","        360.90","        437.70","        360.90","        400.00","        400.35","        392.41","       1128","              442641.45","         97","        456","         40.43"
"SMSLIFE","EQ","12-Oct-2018","        400.35","        406.60","        418.80","        390.00","        395.00","        395.85","        396.31","        393","              155749.80","         65","        298","         75.83"
"SMSLIFE","EQ","15-Oct-2018","        395.85","        360.00","        414.95","        360.00","        395.15","        398.40","        392.76","       1170","              459527.20","         63","        753","         64.36"
