"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SOLARA","EQ","30-Aug-2018","        366.40","        362.70","        382.00","        350.25","        369.00","        370.50","        370.03","     162787","            60235929.70","       4353","      73180","         44.95"
"SOLARA","EQ","31-Aug-2018","        370.50","        352.00","        372.90","        352.00","        352.00","        352.05","        356.36","     229410","            81751714.55","       4247","     129735","         56.55"
"SOLARA","EQ","03-Sep-2018","        352.05","        337.55","        352.05","        337.55","        349.90","        349.85","        343.96","     114834","            39497826.50","       2671","      81776","         71.21"
"SOLARA","EQ","04-Sep-2018","        349.85","        349.95","        360.95","        340.15","        347.00","        346.40","        349.00","      69077","            24107823.45","       3570","      51874","         75.10"
"SOLARA","EQ","05-Sep-2018","        346.40","        347.05","        348.30","        329.10","        330.00","        330.85","        331.36","      94770","            31403229.40","       3514","      65482","         69.10"
"SOLARA","EQ","06-Sep-2018","        330.85","        330.20","        337.00","        317.65","        323.50","        322.00","        325.65","      61032","            19875093.45","       2453","      26982","         44.21"
"SOLARA","EQ","07-Sep-2018","        322.00","        312.60","        338.10","        307.10","        338.10","        338.10","        335.45","     422291","           141658858.95","       5310","     189855","         44.96"
"SOLARA","EQ","10-Sep-2018","        338.10","        354.90","        355.00","        321.20","        321.20","        322.60","        343.57","     260330","            89441242.30","       5677","     116446","         44.73"
"SOLARA","EQ","11-Sep-2018","        322.60","        306.50","        315.00","        306.50","        306.50","        306.50","        308.54","     227416","            70166970.55","       3011","     127432","         56.03"
"SOLARA","EQ","12-Sep-2018","        306.50","        300.00","        321.80","        293.70","        321.80","        321.80","        311.38","     136090","            42376278.55","       3607","      83918","         61.66"
"SOLARA","EQ","14-Sep-2018","        321.80","        328.00","        329.50","        306.25","        319.00","        323.10","        320.23","      89396","            28627722.90","       3870","      47569","         53.21"
"SOLARA","EQ","17-Sep-2018","        323.10","        319.00","        322.90","        306.95","        313.50","        314.10","        314.50","      63214","            19880773.85","       2909","      34086","         53.92"
"SOLARA","EQ","18-Sep-2018","        314.10","        314.00","        318.40","        298.40","        299.50","        299.25","        306.36","      51070","            15645999.80","       2342","      35366","         69.25"
"SOLARA","EQ","19-Sep-2018","        299.25","        303.05","        314.20","        284.30","        299.35","        299.85","        295.21","     582555","           171977736.60","       8658","     369744","         63.47"
"SOLARA","EQ","21-Sep-2018","        299.85","        303.40","        309.80","        284.90","        284.90","        285.35","        291.54","     184047","            53657315.95","       3388","     150142","         81.58"
"SOLARA","EQ","24-Sep-2018","        285.35","        290.00","        290.00","        271.10","        271.10","        271.30","        272.78","      88179","            24053529.70","       1268","      67657","         76.73"
"SOLARA","EQ","25-Sep-2018","        271.30","        271.10","        278.00","        257.75","        261.40","        262.50","        262.50","      78442","            20591168.95","       2527","      49354","         62.92"
"SOLARA","EQ","26-Sep-2018","        262.50","        265.25","        275.60","        262.55","        275.60","        275.60","        271.40","      41892","            11369475.85","       1226","      28918","         69.03"
"SOLARA","EQ","27-Sep-2018","        275.60","        280.00","        289.35","        276.00","        289.35","        287.00","        287.90","      70782","            20378212.35","       1767","      32131","         45.39"
"SOLARA","EQ","28-Sep-2018","        287.00","        292.00","        297.95","        272.65","        272.65","        272.65","        279.80","     105948","            29644334.00","       1667","      83650","         78.95"
"SOLARA","EQ","01-Oct-2018","        272.65","        265.05","        277.00","        259.05","        270.95","        272.05","        265.97","      30459","             8101265.65","        971","      15176","         49.82"
"SOLARA","EQ","03-Oct-2018","        272.05","        271.05","        285.65","        271.05","        285.65","        285.65","        283.06","      49276","            13947952.60","        885","      38161","         77.44"
"SOLARA","EQ","04-Oct-2018","        285.65","        275.00","        299.30","        275.00","        290.20","        294.60","        288.13","      64611","            18616064.05","       1436","      45244","         70.03"
"SOLARA","EQ","05-Oct-2018","        294.60","        287.05","        294.05","        279.90","        279.90","        279.95","        283.75","      31846","             9036328.85","        921","      22163","         69.59"
"SOLARA","EQ","08-Oct-2018","        279.95","        278.05","        288.00","        266.00","        267.00","        268.30","        275.88","      38992","            10757276.05","        867","      23599","         60.52"
"SOLARA","EQ","09-Oct-2018","        268.30","        274.00","        274.05","        255.00","        264.70","        265.75","        262.76","      23869","             6271760.20","        921","      11955","         50.09"
"SOLARA","EQ","10-Oct-2018","        265.75","        263.60","        279.00","        263.60","        279.00","        279.00","        277.88","      40030","            11123658.30","        515","      27503","         68.71"
"SOLARA","EQ","11-Oct-2018","        279.00","        265.05","        292.95","        265.05","        292.95","        292.95","        284.28","     105970","            30125429.70","       2034","      50037","         47.22"
"SOLARA","EQ","12-Oct-2018","        292.95","        305.95","        307.55","        302.15","        307.55","        307.55","        307.24","      23987","             7369658.10","        460","      15281","         63.71"
"SOLARA","EQ","15-Oct-2018","        307.55","        319.00","        322.90","        312.75","        322.90","        322.80","        322.27","     131336","            42326167.30","       1167","      73355","         55.85"
"SOLARA","EQ","16-Oct-2018","        322.80","        338.90","        338.90","        319.00","        325.00","        322.30","        330.20","      48698","            16079891.35","       1470","      27438","         56.34"
"SOLARA","EQ","17-Oct-2018","        322.30","        318.35","        335.00","        306.20","        306.20","        306.70","        314.47","      45110","            14185849.25","       1419","      27812","         61.65"
"SOLARA","EQ","19-Oct-2018","        306.70","        297.10","        307.10","        292.20","        297.10","        297.95","        296.34","      42811","            12686521.05","        956","      27033","         63.14"
"SOLARA","EQ","22-Oct-2018","        297.95","        308.80","        308.80","        295.00","        296.90","        296.00","        299.61","      89978","            26958514.50","        462","      85734","         95.28"
"SOLARA","EQ","23-Oct-2018","        296.00","        285.80","        310.80","        285.00","        310.00","        302.65","        303.57","      29769","             9037073.45","       1431","      16024","         53.83"
"SOLARA","EQ","24-Oct-2018","        302.65","        309.95","        314.85","        295.00","        305.00","        300.55","        301.74","      14459","             4362896.45","        799","       7126","         49.28"
"SOLARA","EQ","25-Oct-2018","        300.55","        308.00","        308.00","        295.00","        299.00","        297.70","        297.84","      92969","            27690166.20","        681","      89118","         95.86"
"SOLARA","EQ","26-Oct-2018","        297.70","        290.00","        301.50","        290.00","        295.00","        294.85","        294.75","      22798","             6719750.15","        822","      14174","         62.17"
"SOLARA","EQ","29-Oct-2018","        294.85","        309.55","        309.55","        301.05","        309.55","        309.55","        308.97","      48665","            15036135.55","       1006","      33092","         68.00"
"SOLARA","EQ","30-Oct-2018","        309.55","        310.10","        325.00","        303.00","        317.60","        312.30","        317.84","     154439","            49086428.25","       2596","      89779","         58.13"
"SOLARA","EQ","31-Oct-2018","        312.30","        313.10","        327.90","        305.00","        320.00","        324.50","        321.29","     156000","            50121938.10","       3824","      52075","         33.38"
"SOLARA","EQ","01-Nov-2018","        324.50","        324.45","        324.45","        313.15","        318.00","        315.40","        317.80","      71334","            22670010.60","       1031","      64997","         91.12"
"SOLARA","EQ","02-Nov-2018","        315.40","        318.25","        322.00","        303.00","        305.95","        304.60","        309.94","      98272","            30458756.65","       1025","      91409","         93.02"
"SOLARA","EQ","05-Nov-2018","        304.60","        310.00","        310.00","        298.00","        298.00","        299.50","        302.35","      15169","             4586336.00","        632","      11522","         75.96"
"SOLARA","EQ","06-Nov-2018","        299.50","        304.90","        307.05","        294.00","        296.80","        297.05","        300.30","      19974","             5998253.45","       1234","      12243","         61.29"
"SOLARA","EQ","07-Nov-2018","        297.05","        303.95","        307.95","        298.10","        303.00","        302.30","        302.80","      11185","             3386796.90","        236","       9134","         81.66"
"SOLARA","EQ","09-Nov-2018","        302.30","        304.00","        317.40","        296.75","        315.50","        315.70","        314.39","     150623","            47354702.35","       3909","      71651","         47.57"
"SOLARA","EQ","12-Nov-2018","        315.70","        316.00","        319.80","        299.95","        300.00","        300.80","        307.20","      52197","            16034759.20","       1110","      35253","         67.54"
"SOLARA","EQ","13-Nov-2018","        300.80","        300.85","        306.85","        290.00","        301.25","        302.40","        299.57","      29721","             8903632.70","       1013","      21571","         72.58"
"SOLARA","EQ","14-Nov-2018","        302.40","        304.85","        307.00","        299.65","        302.60","        302.85","        303.10","       9177","             2781560.25","        379","       6943","         75.66"
"SOLARA","EQ","15-Nov-2018","        302.85","        300.05","        305.10","        298.40","        298.40","        299.60","        300.65","       8051","             2420562.05","        359","       5835","         72.48"
"SOLARA","EQ","16-Nov-2018","        299.60","        302.75","        305.80","        299.00","        300.10","        301.00","        299.49","     115888","            34706892.90","       1488","     107646","         92.89"
"SOLARA","EQ","19-Nov-2018","        301.00","        295.00","        304.85","        295.00","        300.00","        301.35","        302.13","       7305","             2207061.75","        728","       5263","         72.05"
"SOLARA","EQ","20-Nov-2018","        301.35","        299.00","        301.95","        297.10","        300.00","        299.35","        299.29","       6214","             1859783.25","        813","       4546","         73.16"
"SOLARA","EQ","21-Nov-2018","        299.35","        295.00","        301.95","        295.00","        298.50","        298.15","        298.02","      17029","             5074955.25","        998","      13902","         81.64"
"SOLARA","EQ","22-Nov-2018","        298.15","        302.85","        302.90","        292.10","        296.00","        296.05","        296.24","      34268","            10151677.45","        744","      33122","         96.66"
"SOLARA","EQ","26-Nov-2018","        296.05","        301.85","        302.05","        293.00","        293.00","        293.40","        294.48","      14437","             4251363.00","        693","      11972","         82.93"
"SOLARA","EQ","27-Nov-2018","        293.40","        292.10","        305.95","        290.90","        296.15","        298.25","        298.36","      22623","             6749852.75","       1123","      15835","         70.00"
"SOLARA","EQ","28-Nov-2018","        298.25","        299.60","        303.00","        297.00","        298.00","        299.65","        298.55","       8080","             2412254.65","        560","       5980","         74.01"
"SOLARA","EQ","29-Nov-2018","        299.65","        300.25","        302.35","        290.55","        292.95","        293.60","        295.34","      39957","            11800976.40","       1130","      23352","         58.44"
"SOLARA","EQ","30-Nov-2018","        293.60","        293.60","        305.00","        293.30","        300.00","        299.05","        297.86","      74973","            22331479.70","       8526","      62750","         83.70"
"SOLARA","EQ","03-Dec-2018","        299.05","        299.05","        303.60","        297.00","        298.05","        300.05","        300.12","      23494","             7050966.85","       1553","      21471","         91.39"
"SOLARA","EQ","04-Dec-2018","        300.05","        298.95","        301.30","        292.15","        292.20","        294.70","        297.22","      12241","             3638287.85","        780","       8583","         70.12"
"SOLARA","EQ","05-Dec-2018","        294.70","        292.00","        293.95","        280.00","        281.60","        281.55","        285.34","      32904","             9388723.80","       1264","      28592","         86.90"
"SOLARA","EQ","06-Dec-2018","        281.55","        281.15","        283.65","        270.50","        271.05","        273.20","        278.61","      13839","             3855653.95","       1061","       9203","         66.50"
"SOLARA","EQ","07-Dec-2018","        273.20","        284.35","        284.35","        266.00","        266.70","        267.35","        271.40","      12050","             3270392.65","        840","       9187","         76.24"
"SOLARA","EQ","10-Dec-2018","        267.35","        276.35","        278.00","        259.20","        264.00","        265.00","        263.93","      21988","             5803269.90","       1770","      15719","         71.49"
"SOLARA","EQ","11-Dec-2018","        265.00","        256.00","        269.05","        256.00","        265.20","        264.35","        262.68","      46630","            12248836.10","       8193","      36499","         78.27"
"SOLARA","EQ","12-Dec-2018","        264.35","        262.30","        269.95","        262.30","        265.05","        265.05","        265.96","      33347","             8869089.35","       2124","      27505","         82.48"
"SOLARA","EQ","13-Dec-2018","        265.05","        270.00","        285.00","        270.00","        284.00","        281.80","        278.13","      60049","            16701637.05","       2674","      40843","         68.02"
"SOLARA","EQ","14-Dec-2018","        281.80","        284.00","        290.00","        271.50","        271.50","        273.35","        281.58","      71345","            20089426.55","       2831","      26232","         36.77"
"SOLARA","EQ","17-Dec-2018","        273.35","        287.75","        300.65","        276.25","        289.20","        289.65","        297.44","     249232","            74130832.30","       5646","      87993","         35.31"
"SOLARA","EQ","18-Dec-2018","        289.65","        287.30","        294.40","        284.00","        285.00","        285.80","        289.31","      43729","            12651170.05","       1764","      24036","         54.97"
"SOLARA","EQ","19-Dec-2018","        285.80","        287.80","        292.40","        285.10","        290.10","        290.35","        288.71","      32680","             9435096.10","       1597","      16713","         51.14"
"SOLARA","EQ","20-Dec-2018","        290.35","        290.20","        297.20","        288.00","        297.20","        295.60","        290.56","     147608","            42888658.85","       1776","     138661","         93.94"
"SOLARA","EQ","21-Dec-2018","        295.60","        293.05","        315.90","        289.50","        315.00","        304.50","        300.40","      94916","            28512392.00","       2235","      83026","         87.47"
"SOLARA","EQ","24-Dec-2018","        304.50","        314.40","        314.40","        295.35","        297.25","        299.60","        305.12","      28000","             8543424.35","       1276","      18607","         66.45"
"SOLARA","EQ","26-Dec-2018","        299.60","        301.80","        308.35","        292.00","        305.10","        301.25","        298.99","      31385","             9383681.50","       1330","      24442","         77.88"
"SOLARA","EQ","27-Dec-2018","        301.25","        304.95","        308.00","        299.25","        301.00","        301.70","        303.74","      14200","             4313155.90","        701","      11171","         78.67"
"SOLARA","EQ","28-Dec-2018","        301.70","        301.95","        305.25","        300.20","        305.00","        303.70","        302.54","      25033","             7573557.35","        915","      21236","         84.83"
"SOLARA","EQ","31-Dec-2018","        303.70","        302.95","        313.00","        301.75","        311.00","        310.20","        307.07","      26368","             8096902.35","       1475","      20131","         76.35"
"SOLARA","EQ","01-Jan-2019","        310.20","        310.00","        312.70","        304.00","        310.00","        309.30","        307.76","      10196","             3137870.95","        605","       6837","         67.06"
"SOLARA","EQ","02-Jan-2019","        309.30","        308.00","        309.50","        304.50","        305.00","        305.30","        306.88","       6453","             1980267.65","        251","       4980","         77.17"
"SOLARA","EQ","03-Jan-2019","        305.30","        304.00","        312.95","        301.55","        303.00","        303.60","        305.74","       5923","             1810880.65","        319","       2755","         46.51"
"SOLARA","EQ","04-Jan-2019","        303.60","        303.15","        312.90","        298.10","        307.00","        307.70","        305.80","      18269","             5586645.45","        549","      13655","         74.74"
"SOLARA","EQ","07-Jan-2019","        307.70","        303.50","        322.95","        303.50","        313.00","        313.85","        314.95","      46296","            14580911.50","       1145","      33660","         72.71"
"SOLARA","EQ","08-Jan-2019","        313.85","        315.00","        318.00","        309.00","        310.00","        310.95","        312.74","      20803","             6505891.90","        872","      15617","         75.07"
"SOLARA","EQ","09-Jan-2019","        310.95","        310.10","        315.90","        310.00","        312.00","        310.60","        311.42","      24862","             7742509.35","        804","      18976","         76.33"
"SOLARA","EQ","10-Jan-2019","        310.60","        310.00","        323.00","        309.00","        319.10","        319.40","        318.48","      44236","            14088440.10","       1401","      31344","         70.86"
"SOLARA","EQ","11-Jan-2019","        319.40","        320.95","        321.00","        314.75","        314.80","        316.50","        316.75","      21336","             6758091.65","       1187","      17622","         82.59"
