"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SONATSOFTW","EQ","30-Aug-2018","        349.30","        348.90","        349.95","        344.10","        349.00","        348.45","        347.07","      59523","            20658885.05","       6585","      31483","         52.89"
"SONATSOFTW","EQ","31-Aug-2018","        348.45","        350.00","        361.00","        335.05","        352.05","        353.60","        348.40","     424484","           147889391.35","      17014","     164188","         38.68"
"SONATSOFTW","EQ","03-Sep-2018","        353.60","        356.00","        356.90","        345.00","        346.35","        345.75","        348.59","      97414","            33957076.05","       4320","      46981","         48.23"
"SONATSOFTW","EQ","04-Sep-2018","        345.75","        348.40","        360.50","        345.50","        356.50","        353.25","        356.76","     620720","           221448885.15","      14399","     322984","         52.03"
"SONATSOFTW","EQ","05-Sep-2018","        353.25","        356.75","        368.45","        356.05","        359.00","        360.15","        362.71","     471114","           170876424.00","      15789","     152529","         32.38"
"SONATSOFTW","EQ","06-Sep-2018","        360.15","        364.35","        374.00","        359.00","        372.00","        372.80","        368.45","     471600","           173760030.05","      14375","     155912","         33.06"
"SONATSOFTW","EQ","07-Sep-2018","        372.80","        374.95","        375.00","        362.00","        368.00","        367.25","        367.66","     380771","           139993193.75","       8939","     216707","         56.91"
"SONATSOFTW","EQ","10-Sep-2018","        367.25","        370.80","        370.80","        356.00","        363.25","        361.80","        362.36","     317648","           115101446.10","      15085","     145143","         45.69"
"SONATSOFTW","EQ","11-Sep-2018","        361.80","        363.70","        379.75","        357.60","        366.95","        367.95","        371.17","     716320","           265877058.30","      20926","     237419","         33.14"
"SONATSOFTW","EQ","12-Sep-2018","        367.95","        370.00","        375.00","        362.10","        370.25","        372.15","        370.35","     328809","           121772808.85","      11380","      95795","         29.13"
"SONATSOFTW","EQ","14-Sep-2018","        372.15","        371.50","        396.00","        364.90","        394.50","        394.40","        386.79","    1368589","           529350196.25","      27441","     491635","         35.92"
"SONATSOFTW","EQ","17-Sep-2018","        394.40","        395.00","        416.50","        395.00","        415.20","        409.80","        408.14","    1565915","           639114370.60","      32672","     564679","         36.06"
"SONATSOFTW","EQ","18-Sep-2018","        409.80","        413.05","        419.00","        402.10","        405.50","        405.50","        408.45","     388692","           158760452.15","      15233","     152769","         39.30"
"SONATSOFTW","EQ","19-Sep-2018","        405.50","        408.80","        428.60","        406.00","        418.00","        413.40","        416.88","     789431","           329095810.55","      33040","     235273","         29.80"
"SONATSOFTW","EQ","21-Sep-2018","        413.40","        419.00","        421.30","        335.60","        385.00","        388.50","        388.15","    1139161","           442160631.30","      33878","     418659","         36.75"
"SONATSOFTW","EQ","24-Sep-2018","        388.50","        388.55","        391.00","        368.95","        380.00","        380.10","        381.31","     313178","           119418726.85","      10963","     138825","         44.33"
"SONATSOFTW","EQ","25-Sep-2018","        380.10","        375.20","        394.75","        375.20","        381.00","        382.25","        387.10","     356797","           138116061.25","      13899","     124916","         35.01"
"SONATSOFTW","EQ","26-Sep-2018","        382.25","        381.10","        390.00","        362.75","        389.00","        382.65","        378.54","     530477","           200808742.45","      16260","     283323","         53.41"
"SONATSOFTW","EQ","27-Sep-2018","        382.65","        387.00","        389.00","        369.00","        372.00","        371.10","        375.88","     390169","           146657058.55","      24533","     219619","         56.29"
"SONATSOFTW","EQ","28-Sep-2018","        371.10","        372.00","        384.45","        366.45","        367.00","        369.55","        374.01","     473866","           177229487.35","      14102","     293114","         61.86"
"SONATSOFTW","EQ","01-Oct-2018","        369.55","        360.40","        365.10","        353.25","        356.50","        359.50","        357.78","     214187","            76632024.45","      11327","     105469","         49.24"
"SONATSOFTW","EQ","03-Oct-2018","        359.50","        359.00","        367.45","        351.05","        351.35","        353.85","        360.84","     113795","            41061574.10","       7890","      59150","         51.98"
"SONATSOFTW","EQ","04-Oct-2018","        353.85","        347.90","        349.90","        325.00","        325.00","        329.80","        333.59","     328600","           109619011.95","      10047","     105635","         32.15"
"SONATSOFTW","EQ","05-Oct-2018","        329.80","        325.15","        351.80","        307.00","        310.00","        316.05","        334.77","     353905","           118476503.30","      16814","     118509","         33.49"
"SONATSOFTW","EQ","08-Oct-2018","        316.05","        313.60","        328.20","        310.00","        315.20","        319.00","        315.08","     418046","           131718061.05","      10312","     288757","         69.07"
"SONATSOFTW","EQ","09-Oct-2018","        319.00","        318.00","        324.00","        312.25","        320.00","        318.95","        318.34","     125903","            40079766.20","       6271","      42663","         33.89"
"SONATSOFTW","EQ","10-Oct-2018","        318.95","        323.00","        339.40","        321.50","        337.15","        334.45","        330.51","     162949","            53856654.60","       6671","      62921","         38.61"
"SONATSOFTW","EQ","11-Oct-2018","        334.45","        325.20","        329.80","        317.00","        321.35","        321.85","        323.71","     119262","            38606639.15","       4880","      47262","         39.63"
"SONATSOFTW","EQ","12-Oct-2018","        321.85","        325.00","        334.50","        316.25","        319.95","        321.10","        325.46","     116916","            38051407.00","       5356","      58756","         50.25"
"SONATSOFTW","EQ","15-Oct-2018","        321.10","        321.00","        340.00","        321.00","        337.95","        337.90","        333.89","     279162","            93209039.00","       6384","     149156","         53.43"
"SONATSOFTW","EQ","16-Oct-2018","        337.90","        340.40","        349.90","        337.00","        341.00","        342.55","        343.87","     129949","            44685206.00","       3894","      34031","         26.19"
"SONATSOFTW","EQ","17-Oct-2018","        342.55","        343.00","        347.30","        339.40","        344.70","        344.20","        343.99","      80417","            27662664.65","       2096","      37953","         47.20"
"SONATSOFTW","EQ","19-Oct-2018","        344.20","        339.95","        340.90","        313.45","        314.85","        316.20","        319.54","     321087","           102601728.65","      12441","     244712","         76.21"
"SONATSOFTW","EQ","22-Oct-2018","        316.20","        318.75","        324.70","        304.05","        305.20","        306.45","        311.59","     157367","            49034575.80","       7625","      73039","         46.41"
"SONATSOFTW","EQ","23-Oct-2018","        306.45","        302.05","        309.55","        285.90","        290.50","        289.50","        296.12","     166687","            49358565.90","       9611","      87850","         52.70"
"SONATSOFTW","EQ","24-Oct-2018","        289.50","        295.00","        295.25","        270.40","        275.80","        275.30","        277.49","     302666","            83986154.00","       9735","     129145","         42.67"
"SONATSOFTW","EQ","25-Oct-2018","        275.30","        277.00","        279.00","        265.00","        268.10","        269.65","        270.77","     138376","            37467651.10","       7343","      65489","         47.33"
"SONATSOFTW","EQ","26-Oct-2018","        269.65","        275.00","        285.75","        269.65","        272.05","        274.65","        278.82","     247415","            68983301.45","       9077","      98929","         39.99"
"SONATSOFTW","EQ","29-Oct-2018","        274.65","        277.00","        288.90","        275.25","        282.15","        282.75","        283.55","     172253","            48842528.30","       4332","      58035","         33.69"
"SONATSOFTW","EQ","30-Oct-2018","        282.75","        283.00","        293.90","        283.00","        287.30","        286.50","        289.31","     106741","            30881629.10","       3376","      39239","         36.76"
"SONATSOFTW","EQ","31-Oct-2018","        286.50","        291.00","        313.00","        287.00","        309.10","        308.55","        302.12","     332690","           100512824.65","      10993","     110671","         33.27"
"SONATSOFTW","EQ","01-Nov-2018","        308.55","        310.00","        314.95","        305.75","        310.35","        310.75","        311.19","     108926","            33897109.05","       3866","      38076","         34.96"
"SONATSOFTW","EQ","02-Nov-2018","        310.75","        313.35","        313.35","        303.05","        309.15","        308.60","        308.90","     101948","            31491489.85","       5941","      39191","         38.44"
"SONATSOFTW","EQ","05-Nov-2018","        308.60","        313.00","        322.00","        309.35","        310.30","        312.50","        316.24","     204550","            64687902.60","       6641","      78214","         38.24"
"SONATSOFTW","EQ","06-Nov-2018","        312.50","        312.80","        326.00","        312.45","        321.90","        320.40","        320.47","     161274","            51683056.45","       4830","      59457","         36.87"
"SONATSOFTW","EQ","07-Nov-2018","        320.40","        323.20","        331.40","        323.00","        330.70","        329.75","        329.02","     113478","            37336713.95","       2706","      65709","         57.90"
"SONATSOFTW","EQ","09-Nov-2018","        329.75","        333.00","        338.85","        330.10","        337.50","        335.00","        334.55","     102302","            34225256.15","       4191","      41076","         40.15"
"SONATSOFTW","EQ","12-Nov-2018","        335.00","        337.00","        343.80","        328.25","        338.15","        338.10","        339.71","     106782","            36274478.80","       3887","      47432","         44.42"
"SONATSOFTW","EQ","13-Nov-2018","        338.10","        333.75","        337.50","        329.10","        334.80","        335.05","        334.19","      73495","            24561570.25","       2852","      34290","         46.66"
"SONATSOFTW","EQ","14-Nov-2018","        335.05","        335.05","        340.85","        334.50","        335.00","        335.25","        335.20","     131563","            44100139.10","       2494","     102792","         78.13"
"SONATSOFTW","EQ","15-Nov-2018","        335.25","        331.20","        342.00","        329.10","        334.90","        335.15","        336.49","     146141","            49175225.75","      13796","      46330","         31.70"
"SONATSOFTW","EQ","16-Nov-2018","        335.15","        331.45","        344.00","        329.00","        329.35","        331.45","        335.75","     100721","            33817250.10","       3992","      30276","         30.06"
"SONATSOFTW","EQ","19-Nov-2018","        331.45","        332.30","        334.65","        322.20","        322.55","        324.65","        325.76","      84187","            27424851.05","       4120","      40798","         48.46"
"SONATSOFTW","EQ","20-Nov-2018","        324.65","        324.65","        325.00","        315.00","        318.85","        318.85","        320.87","      60459","            19399326.00","       5651","      30787","         50.92"
"SONATSOFTW","EQ","21-Nov-2018","        318.85","        318.85","        322.15","        303.15","        307.80","        308.65","        308.57","     102701","            31690572.30","       3823","      42306","         41.19"
"SONATSOFTW","EQ","22-Nov-2018","        308.65","        309.00","        319.50","        309.00","        315.05","        315.30","        315.95","     108258","            34204602.45","       3004","      41496","         38.33"
"SONATSOFTW","EQ","26-Nov-2018","        315.30","        316.00","        322.00","        309.20","        317.75","        317.80","        315.48","     272623","            86006246.35","       6699","     165258","         60.62"
"SONATSOFTW","EQ","27-Nov-2018","        317.80","        318.00","        320.00","        309.65","        311.40","        310.85","        312.89","      70194","            21962777.50","       4878","      37322","         53.17"
"SONATSOFTW","EQ","28-Nov-2018","        310.85","        313.35","        314.70","        304.20","        304.40","        306.75","        310.61","      61535","            19113616.85","       3161","      30606","         49.74"
"SONATSOFTW","EQ","29-Nov-2018","        306.75","        309.45","        318.00","        304.00","        305.35","        305.95","        313.05","     454250","           142203291.50","       6868","     311561","         68.59"
"SONATSOFTW","EQ","30-Nov-2018","        305.95","        308.40","        312.00","        305.45","        306.45","        306.40","        308.47","      68789","            21219482.20","       2879","      39205","         56.99"
"SONATSOFTW","EQ","03-Dec-2018","        306.40","        306.50","        309.75","        300.95","        301.00","        301.50","        303.32","      92885","            28173702.90","       5086","      54525","         58.70"
"SONATSOFTW","EQ","04-Dec-2018","        301.50","        304.65","        308.60","        301.00","        301.00","        302.90","        305.94","     126395","            38669765.50","       4585","      46141","         36.51"
"SONATSOFTW","EQ","05-Dec-2018","        302.90","        302.40","        302.40","        295.00","        300.90","        298.50","        298.29","     124686","            37192408.50","       3809","      80532","         64.59"
"SONATSOFTW","EQ","06-Dec-2018","        298.50","        300.00","        314.90","        300.00","        310.70","        311.45","        309.43","     470758","           145666104.90","       9636","     227623","         48.35"
"SONATSOFTW","EQ","07-Dec-2018","        311.45","        311.50","        317.95","        307.25","        310.05","        312.10","        312.89","     135716","            42463615.40","       4514","      52609","         38.76"
"SONATSOFTW","EQ","10-Dec-2018","        312.10","        300.00","        307.00","        295.00","        305.00","        305.10","        303.62","     113727","            34529515.20","       4257","      71235","         62.64"
"SONATSOFTW","EQ","11-Dec-2018","        305.10","        297.70","        316.40","        297.65","        314.15","        315.40","        310.41","     182101","            56526388.35","       6586","     107858","         59.23"
"SONATSOFTW","EQ","12-Dec-2018","        315.40","        315.50","        320.80","        313.40","        319.00","        318.00","        317.36","     131986","            41886781.50","       7354","      80130","         60.71"
"SONATSOFTW","EQ","13-Dec-2018","        318.00","        320.00","        321.90","        315.20","        315.60","        318.05","        318.54","     135172","            43057685.60","       5146","      67081","         49.63"
"SONATSOFTW","EQ","14-Dec-2018","        318.05","        318.05","        322.00","        315.20","        317.25","        317.85","        318.95","     130735","            41698555.10","       5443","      59317","         45.37"
"SONATSOFTW","EQ","17-Dec-2018","        317.85","        318.15","        321.95","        314.10","        315.75","        315.30","        318.51","      65965","            21010286.80","       2721","      41573","         63.02"
"SONATSOFTW","EQ","18-Dec-2018","        315.30","        315.50","        316.35","        310.70","        310.75","        311.50","        312.15","      80188","            25030675.90","       3969","      45885","         57.22"
"SONATSOFTW","EQ","19-Dec-2018","        311.50","        313.00","        316.00","        306.00","        309.25","        308.95","        309.45","      99213","            30701571.55","       4290","      53581","         54.01"
"SONATSOFTW","EQ","20-Dec-2018","        308.95","        309.00","        312.55","        305.00","        305.55","        305.50","        307.16","      70551","            21670776.60","       3082","      41516","         58.85"
"SONATSOFTW","EQ","21-Dec-2018","        305.50","        306.90","        308.65","        301.00","        301.95","        301.60","        303.33","      67109","            20356496.95","       2771","      40872","         60.90"
"SONATSOFTW","EQ","24-Dec-2018","        301.60","        302.20","        304.45","        300.05","        302.00","        301.75","        301.64","      57077","            17216915.50","       3381","      34649","         60.71"
"SONATSOFTW","EQ","26-Dec-2018","        301.75","        298.85","        300.40","        295.95","        298.65","        298.15","        297.73","      44218","            13164811.20","       2067","      27476","         62.14"
"SONATSOFTW","EQ","27-Dec-2018","        298.15","        302.00","        306.30","        300.00","        300.00","        301.10","        301.57","      98539","            29716063.55","       2640","      63972","         64.92"
"SONATSOFTW","EQ","28-Dec-2018","        301.10","        301.10","        304.45","        299.05","        300.10","        300.10","        300.24","      90808","            27264607.40","       5213","      59333","         65.34"
"SONATSOFTW","EQ","31-Dec-2018","        300.10","        302.00","        305.00","        301.05","        303.00","        302.65","        302.59","      42897","            12980010.05","       3500","      21747","         50.70"
"SONATSOFTW","EQ","01-Jan-2019","        302.65","        303.30","        304.00","        300.20","        302.50","        302.45","        301.94","      36231","            10939639.75","       1081","      19084","         52.67"
"SONATSOFTW","EQ","02-Jan-2019","        302.45","        302.85","        307.80","        300.35","        300.40","        301.55","        303.30","      74736","            22667657.75","       3043","      31798","         42.55"
"SONATSOFTW","EQ","03-Jan-2019","        301.55","        301.55","        303.00","        295.00","        295.55","        295.25","        298.38","     111409","            33242664.05","       6622","      78551","         70.51"
"SONATSOFTW","EQ","04-Jan-2019","        295.25","        296.00","        299.00","        294.00","        295.00","        295.55","        295.28","      80326","            23718817.45","       4685","      56872","         70.80"
"SONATSOFTW","EQ","07-Jan-2019","        295.55","        299.00","        301.40","        295.00","        295.00","        295.75","        297.27","      35909","            10674498.25","       2335","      15464","         43.06"
"SONATSOFTW","EQ","08-Jan-2019","        295.75","        295.00","        310.50","        294.30","        309.50","        308.35","        303.76","     262166","            79634349.05","      12225","     134045","         51.13"
"SONATSOFTW","EQ","09-Jan-2019","        308.35","        310.00","        311.50","        301.20","        304.05","        305.10","        305.08","      92901","            28342055.95","       8010","      49830","         53.64"
"SONATSOFTW","EQ","10-Jan-2019","        305.10","        306.70","        306.70","        296.25","        298.00","        298.15","        301.04","      77409","            23303119.20","       8843","      47544","         61.42"
"SONATSOFTW","EQ","11-Jan-2019","        298.15","        299.00","        303.00","        295.50","        297.05","        297.55","        297.46","     105576","            31404142.00","       5412","      82731","         78.36"
"SONATSOFTW","EQ","14-Jan-2019","        297.55","        296.10","        300.00","        295.10","        298.00","        297.20","        297.42","      62894","            18705996.15","       2506","      40690","         64.70"
"SONATSOFTW","EQ","15-Jan-2019","        297.20","        297.00","        306.45","        297.00","        304.45","        305.05","        303.84","     106024","            32213977.20","       6038","      48239","         45.50"
