"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SSWL","EQ","30-Aug-2018","       1187.75","       1186.45","       1190.00","       1168.80","       1175.00","       1172.15","       1177.48","       5302","             6242995.95","        384","       4259","         80.33"
"SSWL","EQ","31-Aug-2018","       1172.15","       1170.00","       1187.95","       1170.00","       1173.00","       1176.00","       1180.92","       4878","             5760549.60","        488","       3242","         66.46"
"SSWL","EQ","03-Sep-2018","       1176.00","       1176.00","       1194.70","       1166.45","       1194.00","       1185.60","       1182.99","       5495","             6500506.70","        471","       3776","         68.72"
"SSWL","EQ","04-Sep-2018","       1185.60","       1180.10","       1202.00","       1175.00","       1186.05","       1190.05","       1188.40","       8519","            10123977.55","       1074","       5503","         64.60"
"SSWL","EQ","05-Sep-2018","       1190.05","       1185.05","       1185.05","       1126.20","       1140.00","       1147.75","       1151.36","       8069","             9290302.55","       1186","       5143","         63.74"
"SSWL","EQ","06-Sep-2018","       1147.75","       1150.00","       1168.95","       1137.60","       1163.00","       1161.30","       1157.14","       2175","             2516786.10","        322","       1204","         55.36"
"SSWL","EQ","07-Sep-2018","       1161.30","       1162.00","       1173.00","       1156.15","       1165.30","       1168.25","       1167.19","       1973","             2302859.20","        222","       1589","         80.54"
"SSWL","EQ","10-Sep-2018","       1168.25","       1179.45","       1179.80","       1150.15","       1152.30","       1157.45","       1169.49","       4351","             5088442.45","        414","       2666","         61.27"
"SSWL","EQ","11-Sep-2018","       1157.45","       1150.00","       1163.95","       1120.00","       1127.00","       1124.75","       1140.43","       5588","             6372698.95","        672","       4150","         74.27"
"SSWL","EQ","12-Sep-2018","       1124.75","       1127.00","       1142.05","       1065.15","       1105.00","       1102.95","       1094.60","      10472","            11462627.90","       1196","       6850","         65.41"
"SSWL","EQ","14-Sep-2018","       1102.95","       1124.75","       1148.85","       1102.00","       1130.95","       1135.20","       1126.28","       6166","             6944629.80","        616","       4348","         70.52"
"SSWL","EQ","17-Sep-2018","       1135.20","       1125.00","       1136.05","       1110.00","       1114.80","       1117.90","       1119.14","       2222","             2486727.25","        293","       1507","         67.82"
"SSWL","EQ","18-Sep-2018","       1117.90","       1116.55","       1147.00","       1112.00","       1130.00","       1118.30","       1129.98","       3003","             3393320.55","        605","       1323","         44.06"
"SSWL","EQ","19-Sep-2018","       1118.30","       1111.15","       1125.85","       1082.00","       1095.85","       1094.20","       1104.05","       4200","             4637000.55","        401","       2918","         69.48"
"SSWL","EQ","21-Sep-2018","       1094.20","       1097.00","       1126.60","       1050.40","       1073.50","       1066.00","       1086.75","      11681","            12694275.50","       1783","       6302","         53.95"
"SSWL","EQ","24-Sep-2018","       1066.00","       1066.00","       1095.00","       1036.05","       1046.95","       1052.55","       1070.66","      13615","            14576978.50","       1416","       7586","         55.72"
"SSWL","EQ","25-Sep-2018","       1052.55","       1056.90","       1083.85","       1027.65","       1050.00","       1048.10","       1050.36","      13912","            14612583.75","       1084","       8759","         62.96"
"SSWL","EQ","26-Sep-2018","       1048.10","       1054.95","       1070.00","       1044.95","       1068.05","       1058.25","       1054.95","       4682","             4939259.45","        698","       2943","         62.86"
"SSWL","EQ","27-Sep-2018","       1058.25","       1050.00","       1064.65","       1045.15","       1058.90","       1052.45","       1053.77","       5770","             6080271.45","        363","       5083","         88.09"
"SSWL","EQ","28-Sep-2018","       1052.45","       1049.95","       1088.00","       1015.00","       1042.80","       1046.70","       1054.91","      19936","            21030673.70","       1999","      12027","         60.33"
"SSWL","EQ","01-Oct-2018","       1046.70","       1047.00","       1190.00","        952.50","       1090.00","       1073.80","       1023.73","      21816","            22333699.90","       2958","      11111","         50.93"
"SSWL","EQ","03-Oct-2018","       1073.80","       1080.00","       1107.80","       1042.00","       1070.00","       1059.55","       1066.10","       9046","             9643917.40","       1127","       3161","         34.94"
"SSWL","EQ","04-Oct-2018","       1059.55","       1059.60","       1059.60","       1014.80","       1033.00","       1020.85","       1026.47","       4473","             4591400.15","        628","       2706","         60.50"
"SSWL","EQ","05-Oct-2018","       1020.85","       1026.90","       1040.00","       1004.95","       1007.10","       1012.50","       1027.71","       3693","             3795328.20","        727","       1641","         44.44"
"SSWL","EQ","08-Oct-2018","       1012.50","       1002.15","       1046.00","       1000.00","       1011.05","       1011.15","       1018.15","       5891","             5997937.70","        887","       2592","         44.00"
"SSWL","EQ","09-Oct-2018","       1011.15","       1030.00","       1030.00","        990.00","       1000.00","       1007.15","       1014.81","       3882","             3939482.05","        519","       2281","         58.76"
"SSWL","EQ","10-Oct-2018","       1007.15","       1014.55","       1028.00","       1004.95","       1019.00","       1019.45","       1018.43","       3998","             4071678.50","        596","       2148","         53.73"
"SSWL","EQ","11-Oct-2018","       1019.45","        950.00","       1026.40","        950.00","       1026.40","       1023.30","       1017.52","       2839","             2888747.10","        467","       1467","         51.67"
"SSWL","EQ","12-Oct-2018","       1023.30","       1022.00","       1036.20","       1022.00","       1032.00","       1032.25","       1031.42","       3050","             3145842.15","        348","       1961","         64.30"
"SSWL","EQ","15-Oct-2018","       1032.25","       1049.40","       1082.15","       1035.05","       1080.00","       1075.55","       1055.59","       3701","             3906755.20","        569","       1809","         48.88"
"SSWL","EQ","16-Oct-2018","       1075.55","       1080.00","       1109.00","       1065.10","       1067.00","       1066.60","       1078.92","       2232","             2408156.60","        429","       1402","         62.81"
"SSWL","EQ","17-Oct-2018","       1066.60","       1064.10","       1099.00","       1015.50","       1039.80","       1025.50","       1047.19","       3242","             3394991.95","        604","       2021","         62.34"
"SSWL","EQ","19-Oct-2018","       1025.50","       1025.50","       1030.00","       1001.40","       1020.00","       1022.40","       1015.49","       1662","             1687736.20","        294","        999","         60.11"
"SSWL","EQ","22-Oct-2018","       1022.40","       1014.90","       1040.00","       1010.00","       1018.00","       1015.65","       1025.30","       1086","             1113472.90","        263","        724","         66.67"
"SSWL","EQ","23-Oct-2018","       1015.65","       1000.00","       1015.05","        981.00","        981.80","        990.10","        994.74","       2703","             2688775.05","        431","       1901","         70.33"
"SSWL","EQ","24-Oct-2018","        990.10","        992.65","       1009.90","        985.00","        999.00","        991.60","        995.42","       2027","             2017713.20","        350","        959","         47.31"
"SSWL","EQ","25-Oct-2018","        991.60","        980.00","       1004.85","        980.00","        991.00","        991.00","        994.52","       1355","             1347576.00","        265","        744","         54.91"
"SSWL","EQ","26-Oct-2018","        991.00","        999.95","        999.95","        963.60","        979.00","        979.55","        978.52","       2597","             2541209.35","        489","       1411","         54.33"
"SSWL","EQ","29-Oct-2018","        979.55","        980.00","       1000.00","        959.50","        961.25","        966.05","        969.47","      17961","            17412680.05","       1078","       6872","         38.26"
"SSWL","EQ","30-Oct-2018","        966.05","        970.00","        970.05","        944.05","        955.00","        954.70","        953.33","      52275","            49835120.90","       1320","      30667","         58.66"
"SSWL","EQ","31-Oct-2018","        954.70","        965.00","        968.65","        948.10","        950.00","        950.45","        952.75","      10936","            10419328.65","        724","       7893","         72.17"
"SSWL","EQ","01-Nov-2018","        950.45","        970.00","        973.90","        948.25","        951.90","        953.50","        961.87","      20248","            19475910.20","       1127","       9424","         46.54"
