"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STARCEMENT","EQ","30-Aug-2018","        108.10","        109.75","        109.95","        107.60","        108.00","        107.95","        108.57","      42615","             4626623.70","       3270","      30647","         71.92"
"STARCEMENT","EQ","31-Aug-2018","        107.95","        108.00","        109.35","        103.95","        105.60","        105.50","        105.47","     177605","            18732842.80","       4217","     124165","         69.91"
"STARCEMENT","EQ","03-Sep-2018","        105.50","        106.00","        108.30","        102.80","        105.00","        104.85","        104.50","     165469","            17291169.65","       1587","     119482","         72.21"
"STARCEMENT","EQ","04-Sep-2018","        104.85","        104.20","        106.25","        102.80","        104.00","        103.50","        104.32","      68890","             7186323.15","       1439","      48793","         70.83"
"STARCEMENT","EQ","05-Sep-2018","        103.50","        104.05","        104.95","        100.00","        104.60","        104.10","        103.40","      60883","             6295303.65","       1179","      38565","         63.34"
"STARCEMENT","EQ","06-Sep-2018","        104.10","        104.75","        106.25","        103.60","        105.00","        105.05","        103.99","     398031","            41390592.35","       1085","      24688","          6.20"
"STARCEMENT","EQ","07-Sep-2018","        105.05","        106.05","        107.90","        104.60","        105.00","        105.50","        106.20","      49261","             5231275.85","       1067","      31747","         64.45"
"STARCEMENT","EQ","10-Sep-2018","        105.50","        106.85","        107.85","        104.00","        107.80","        106.55","        105.31","      97038","            10219245.85","       1340","      47312","         48.76"
"STARCEMENT","EQ","11-Sep-2018","        106.55","        105.50","        106.85","        103.80","        105.00","        104.35","        104.42","     110347","            11522652.15","       1356","      79068","         71.65"
"STARCEMENT","EQ","12-Sep-2018","        104.35","        105.00","        107.40","        103.95","        107.40","        106.75","        104.08","    1117581","           116319762.05","       1443","    1090043","         97.54"
"STARCEMENT","EQ","14-Sep-2018","        106.75","        107.00","        107.05","        104.55","        104.70","        104.85","        105.48","      32458","             3423607.00","        748","      20988","         64.66"
"STARCEMENT","BL","17-Sep-2018","        119.00","        103.85","        103.85","        103.85","        103.85","        103.85","        103.85","    1000000","           103850000.00","          1","    1000000","        100.00"
"STARCEMENT","EQ","17-Sep-2018","        104.85","        103.70","        105.30","        103.10","        103.85","        104.00","        103.86","     668211","            69401251.85","       1345","     654375","         97.93"
"STARCEMENT","EQ","18-Sep-2018","        104.00","        105.85","        106.00","        103.05","        103.05","        103.15","        103.82","     360607","            37439696.35","        909","      33573","          9.31"
"STARCEMENT","EQ","19-Sep-2018","        103.15","        103.55","        105.90","        102.45","        102.75","        102.75","        102.75","    1378245","           141611270.35","        921","    1340070","         97.23"
"STARCEMENT","EQ","21-Sep-2018","        102.75","        103.50","        104.00","         97.75","         98.50","        100.90","        100.72","      77360","             7791646.15","       1076","      41108","         53.14"
