"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"STERTOOLS","EQ","30-Aug-2018","        349.80","        358.45","        358.45","        345.65","        352.00","        349.75","        348.94","       1604","              559695.60","        128","        895","         55.80"
"STERTOOLS","EQ","31-Aug-2018","        349.75","        349.80","        354.70","        346.65","        354.70","        351.80","        350.78","       3170","             1111981.15","        145","       2188","         69.02"
"STERTOOLS","EQ","03-Sep-2018","        351.80","        357.00","        368.10","        355.15","        361.00","        361.10","        360.76","      10244","             3695674.35","        251","       5001","         48.82"
"STERTOOLS","EQ","04-Sep-2018","        361.10","        361.00","        364.95","        355.00","        359.00","        359.00","        360.27","       2992","             1077923.20","        127","       2369","         79.18"
"STERTOOLS","EQ","05-Sep-2018","        359.00","        363.95","        363.95","        350.20","        350.35","        352.60","        353.39","       4725","             1669765.55","        259","       3566","         75.47"
"STERTOOLS","EQ","06-Sep-2018","        352.60","        355.05","        355.05","        338.20","        339.90","        339.70","        341.86","       9737","             3328659.45","        302","       6572","         67.50"
"STERTOOLS","EQ","07-Sep-2018","        339.70","        342.00","        344.85","        336.00","        339.00","        339.70","        339.50","       3523","             1196067.70","        184","       2573","         73.03"
"STERTOOLS","EQ","10-Sep-2018","        339.70","        340.70","        347.00","        336.20","        340.00","        339.65","        339.98","       5893","             2003494.75","        186","       2957","         50.18"
"STERTOOLS","EQ","11-Sep-2018","        339.65","        339.50","        349.80","        333.10","        349.80","        346.80","        342.12","      58791","            20113354.70","        267","      41038","         69.80"
"STERTOOLS","EQ","12-Sep-2018","        346.80","        346.80","        354.00","        337.15","        340.00","        341.85","        342.76","       2795","              958023.15","        189","       1337","         47.84"
"STERTOOLS","EQ","14-Sep-2018","        341.85","        342.00","        350.35","        332.00","        338.10","        339.70","        338.49","      10825","             3664147.85","        296","       6220","         57.46"
"STERTOOLS","EQ","17-Sep-2018","        339.70","        340.00","        368.90","        336.25","        360.65","        363.25","        354.94","      18991","             6740717.75","       1527","      10523","         55.41"
"STERTOOLS","EQ","18-Sep-2018","        363.25","        356.00","        372.00","        355.20","        366.00","        361.80","        360.14","       5983","             2154713.90","        982","       3140","         52.48"
"STERTOOLS","EQ","19-Sep-2018","        361.80","        364.90","        378.95","        355.25","        365.20","        369.75","        369.75","      18920","             6995587.60","       2286","      13761","         72.73"
"STERTOOLS","EQ","21-Sep-2018","        369.75","        370.00","        373.25","        350.20","        370.00","        369.40","        366.27","      33385","            12227819.60","       2539","      21198","         63.50"
"STERTOOLS","EQ","24-Sep-2018","        369.40","        365.00","        369.75","        340.60","        355.00","        346.15","        355.44","      23892","             8492276.35","       1553","      13693","         57.31"
"STERTOOLS","EQ","25-Sep-2018","        346.15","        356.30","        356.30","        340.20","        341.05","        340.90","        343.29","       3239","             1111904.00","        245","       1994","         61.56"
"STERTOOLS","EQ","26-Sep-2018","        340.90","        340.90","        350.00","        330.20","        345.00","        339.90","        336.35","      11555","             3886518.65","        690","       5202","         45.02"
"STERTOOLS","EQ","27-Sep-2018","        339.90","        340.55","        349.90","        334.00","        342.00","        339.85","        338.85","       2477","              839333.75","        284","       1151","         46.47"
"STERTOOLS","EQ","28-Sep-2018","        339.85","        334.95","        349.00","        330.30","        340.00","        340.05","        338.56","      22167","             7504955.75","        398","      10863","         49.01"
"STERTOOLS","EQ","01-Oct-2018","        340.05","        338.05","        341.85","        330.00","        330.00","        330.70","        331.64","      12817","             4250568.40","        426","       8751","         68.28"
"STERTOOLS","EQ","03-Oct-2018","        330.70","        331.95","        338.00","        330.45","        335.00","        334.40","        333.24","       7904","             2633913.70","        388","       4825","         61.05"
"STERTOOLS","EQ","04-Oct-2018","        334.40","        335.05","        335.05","        320.20","        325.00","        325.15","        326.54","      25550","             8343045.80","        914","      18018","         70.52"
"STERTOOLS","EQ","05-Oct-2018","        325.15","        326.05","        332.00","        323.60","        326.00","        327.50","        325.58","      18646","             6070806.35","       1180","      10583","         56.76"
"STERTOOLS","EQ","08-Oct-2018","        327.50","        324.00","        327.25","        321.00","        321.15","        323.25","        324.26","      28175","             9135891.05","       2477","      17409","         61.79"
"STERTOOLS","EQ","09-Oct-2018","        323.25","        322.00","        324.80","        320.00","        320.00","        320.05","        320.18","      14210","             4549763.30","        762","      10053","         70.75"
"STERTOOLS","EQ","10-Oct-2018","        320.05","        320.00","        323.95","        318.45","        321.00","        321.30","        320.77","      10027","             3216380.60","        517","       5038","         50.24"
"STERTOOLS","EQ","11-Oct-2018","        321.30","        315.00","        329.80","        306.85","        325.00","        324.75","        318.15","      17798","             5662393.65","        879","       8812","         49.51"
"STERTOOLS","EQ","12-Oct-2018","        324.75","        327.75","        347.65","        321.90","        340.00","        340.90","        334.75","      17909","             5994978.65","        985","      14701","         82.09"
"STERTOOLS","EQ","15-Oct-2018","        340.90","        332.00","        349.95","        332.00","        340.00","        341.95","        341.87","       5575","             1905906.50","        463","       2383","         42.74"
"STERTOOLS","EQ","16-Oct-2018","        341.95","        345.05","        347.10","        340.00","        340.00","        340.00","        340.41","       4468","             1520939.45","        458","       3739","         83.68"
"STERTOOLS","EQ","17-Oct-2018","        340.00","        340.05","        350.50","        340.00","        340.00","        340.15","        342.18","       7859","             2689163.40","        349","       3556","         45.25"
"STERTOOLS","EQ","19-Oct-2018","        340.15","        347.00","        347.00","        332.60","        340.00","        340.20","        338.99","      10125","             3432273.25","        401","       5990","         59.16"
"STERTOOLS","EQ","22-Oct-2018","        340.20","        337.00","        343.30","        330.35","        340.00","        337.60","        337.33","       1709","              576498.70","        182","        973","         56.93"
"STERTOOLS","EQ","23-Oct-2018","        337.60","        337.05","        344.20","        330.00","        340.00","        340.00","        335.95","      11048","             3711604.80","        671","       9335","         84.49"
"STERTOOLS","EQ","24-Oct-2018","        340.00","        336.45","        339.95","        330.00","        334.00","        337.45","        334.96","      11590","             3882220.25","        611","       5068","         43.73"
"STERTOOLS","EQ","25-Oct-2018","        337.45","        331.75","        349.55","        324.95","        347.00","        345.05","        335.84","      18903","             6348470.70","        973","       9743","         51.54"
"STERTOOLS","EQ","26-Oct-2018","        345.05","        343.25","        349.70","        330.10","        340.15","        339.15","        337.54","      15093","             5094454.55","        544","       7474","         49.52"
"STERTOOLS","EQ","29-Oct-2018","        339.15","        340.30","        346.00","        330.50","        340.00","        340.10","        336.56","       7234","             2434650.40","        450","       3486","         48.19"
"STERTOOLS","EQ","30-Oct-2018","        340.10","        340.00","        344.65","        330.20","        342.00","        339.25","        335.67","       8653","             2904583.15","        446","       4027","         46.54"
"STERTOOLS","EQ","31-Oct-2018","        339.25","        335.80","        349.80","        330.60","        345.00","        341.00","        337.64","      10463","             3532774.20","        409","       4994","         47.73"
"STERTOOLS","EQ","01-Nov-2018","        341.00","        341.20","        344.80","        332.25","        339.50","        341.15","        339.19","       8864","             3006542.05","        360","       4904","         55.32"
"STERTOOLS","EQ","02-Nov-2018","        341.15","        337.25","        345.95","        334.35","        340.00","        342.90","        341.47","      13277","             4533632.05","        533","       7232","         54.47"
"STERTOOLS","EQ","05-Nov-2018","        342.90","        338.95","        356.35","        336.00","        350.00","        350.25","        344.65","       8179","             2818859.95","        489","       3417","         41.78"
"STERTOOLS","EQ","06-Nov-2018","        350.25","        350.55","        364.90","        341.60","        364.80","        358.75","        353.45","       4921","             1739319.95","        380","       2589","         52.61"
"STERTOOLS","EQ","07-Nov-2018","        358.75","        364.75","        365.00","        346.55","        365.00","        363.25","        361.53","       3199","             1156524.10","        166","       1971","         61.61"
"STERTOOLS","EQ","09-Nov-2018","        363.25","        365.00","        365.00","        355.05","        360.10","        361.85","        360.33","       2268","              817223.90","        187","       1109","         48.90"
"STERTOOLS","EQ","12-Nov-2018","        361.85","        353.10","        369.75","        353.10","        359.00","        364.00","        360.39","       4139","             1491645.20","        415","       2148","         51.90"
"STERTOOLS","EQ","13-Nov-2018","        364.00","        357.90","        364.00","        334.10","        336.00","        336.45","        343.15","      23010","             7895909.25","       1961","      14569","         63.32"
"STERTOOLS","EQ","14-Nov-2018","        336.45","        337.50","        342.80","        321.00","        340.10","        335.00","        328.41","      15860","             5208590.10","       1764","       8946","         56.41"
"STERTOOLS","EQ","15-Nov-2018","        335.00","        333.00","        339.50","        324.00","        329.00","        334.10","        329.69","      18450","             6082714.65","       1271","       8980","         48.67"
"STERTOOLS","EQ","16-Nov-2018","        334.10","        333.00","        354.85","        326.65","        350.00","        350.05","        346.01","      28805","             9966947.80","       1592","      12064","         41.88"
"STERTOOLS","EQ","19-Nov-2018","        350.05","        357.00","        367.00","        342.25","        366.75","        362.80","        355.28","      12103","             4299973.25","        706","       6264","         51.76"
"STERTOOLS","EQ","20-Nov-2018","        362.80","        358.30","        364.00","        350.50","        363.80","        360.00","        358.57","       8121","             2911928.55","        513","       3987","         49.09"
"STERTOOLS","EQ","21-Nov-2018","        360.00","        357.05","        371.85","        351.00","        365.10","        369.60","        364.79","      16012","             5840968.90","        714","       6810","         42.53"
"STERTOOLS","EQ","22-Nov-2018","        369.60","        369.95","        370.50","        356.80","        367.00","        364.55","        363.01","      11427","             4148089.10","        549","       4716","         41.27"
"STERTOOLS","EQ","26-Nov-2018","        364.55","        372.95","        373.65","        320.25","        365.00","        349.05","        339.44","     113003","            38357474.00","       4342","      38513","         34.08"
"STERTOOLS","EQ","27-Nov-2018","        349.05","        345.10","        358.70","        341.55","        355.00","        353.30","        349.21","      15290","             5339485.85","        654","       6826","         44.64"
"STERTOOLS","EQ","28-Nov-2018","        353.30","        347.05","        359.70","        339.20","        344.15","        353.35","        348.67","      31114","            10848663.55","       1623","      13743","         44.17"
"STERTOOLS","EQ","29-Nov-2018","        353.35","        346.35","        357.75","        341.75","        355.00","        354.70","        349.20","      24054","             8399599.45","       1103","      10524","         43.75"
"STERTOOLS","EQ","30-Nov-2018","        354.70","        350.00","        364.90","        346.00","        364.90","        359.70","        354.78","      14882","             5279905.35","        605","       5579","         37.49"
"STERTOOLS","EQ","03-Dec-2018","        359.70","        351.35","        363.70","        347.00","        359.15","        359.90","        355.81","      12193","             4338417.75","        723","       3509","         28.78"
"STERTOOLS","EQ","04-Dec-2018","        359.90","        355.10","        375.00","        351.95","        371.50","        371.55","        365.51","      22559","             8245513.40","        730","      12678","         56.20"
"STERTOOLS","EQ","05-Dec-2018","        371.55","        375.00","        375.00","        361.55","        367.35","        369.20","        367.61","      12214","             4490023.50","        566","       4814","         39.41"
"STERTOOLS","EQ","06-Dec-2018","        369.20","        364.10","        368.25","        357.00","        357.00","        361.60","        363.21","       4757","             1727783.05","        340","       1971","         41.43"
"STERTOOLS","EQ","07-Dec-2018","        361.60","        364.90","        364.90","        340.00","        343.25","        346.75","        348.73","      24012","             8373796.40","       2534","      12223","         50.90"
