"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNDARMHLD","EQ","30-Aug-2018","        127.90","        127.00","        131.00","        126.00","        127.60","        127.85","        127.95","      23022","             2945594.40","        576","      18323","         79.59"
"SUNDARMHLD","EQ","31-Aug-2018","        127.85","        129.60","        129.60","        120.50","        121.40","        121.25","        122.39","      77333","             9464457.45","       5535","      61568","         79.61"
"SUNDARMHLD","EQ","03-Sep-2018","        121.25","        121.25","        124.50","        121.25","        122.00","        122.15","        122.77","      32016","             3930587.35","        375","      26550","         82.93"
"SUNDARMHLD","EQ","04-Sep-2018","        122.15","        123.00","        124.00","        120.05","        120.75","        121.30","        122.23","      46592","             5695048.95","        408","      39138","         84.00"
"SUNDARMHLD","EQ","05-Sep-2018","        121.30","        122.80","        123.00","        119.45","        119.80","        119.85","        120.20","      25309","             3042255.15","        385","      19788","         78.19"
"SUNDARMHLD","EQ","06-Sep-2018","        119.85","        120.00","        123.00","        120.00","        121.80","        120.90","        121.11","      17622","             2134181.20","        253","      13864","         78.67"
"SUNDARMHLD","EQ","07-Sep-2018","        120.90","        121.00","        124.00","        117.35","        123.00","        122.90","        121.50","      23760","             2886945.45","        417","      17051","         71.76"
"SUNDARMHLD","EQ","10-Sep-2018","        122.90","        123.95","        123.95","        120.05","        120.10","        120.30","        121.15","      20931","             2535689.00","        406","      13161","         62.88"
"SUNDARMHLD","EQ","11-Sep-2018","        120.30","        121.05","        124.90","        119.30","        122.75","        123.00","        122.12","       8830","             1078300.60","        155","       6445","         72.99"
"SUNDARMHLD","EQ","12-Sep-2018","        123.00","        122.50","        122.50","        116.60","        120.70","        120.00","        119.43","      22541","             2691987.20","        434","      16716","         74.16"
"SUNDARMHLD","EQ","14-Sep-2018","        120.00","        121.90","        123.10","        120.10","        121.95","        122.05","        122.16","      10856","             1326131.45","        383","       7806","         71.90"
"SUNDARMHLD","EQ","17-Sep-2018","        122.05","        122.00","        122.00","        116.80","        119.70","        118.15","        118.14","      34851","             4117134.10","        734","      29277","         84.01"
"SUNDARMHLD","EQ","18-Sep-2018","        118.15","        116.35","        120.45","        116.25","        117.20","        118.40","        118.71","      13213","             1568567.35","        241","      10837","         82.02"
"SUNDARMHLD","EQ","19-Sep-2018","        118.40","        120.00","        120.00","        114.60","        114.90","        115.60","        115.90","      25330","             2935654.90","        453","      20825","         82.21"
"SUNDARMHLD","EQ","21-Sep-2018","        115.60","        119.00","        119.00","        105.80","        108.80","        109.35","        111.13","      71834","             7982555.00","       1057","      59589","         82.95"
"SUNDARMHLD","EQ","24-Sep-2018","        109.35","        112.70","        112.90","        106.10","        108.00","        108.05","        107.94","      16942","             1828639.05","        301","      13165","         77.71"
"SUNDARMHLD","EQ","25-Sep-2018","        108.05","        107.00","        110.05","        106.00","        108.30","        109.10","        108.91","      22357","             2434926.95","        321","      16374","         73.24"
"SUNDARMHLD","EQ","26-Sep-2018","        109.10","        109.00","        112.00","        107.90","        109.50","        109.05","        109.20","      16938","             1849638.40","        222","      13785","         81.39"
"SUNDARMHLD","EQ","27-Sep-2018","        109.05","        107.05","        114.00","        102.55","        103.45","        103.25","        105.10","      34129","             3586914.50","        642","      30163","         88.38"
"SUNDARMHLD","EQ","28-Sep-2018","        103.25","        104.60","        104.70","         99.30","        100.10","        100.85","        101.82","      49474","             5037565.85","        867","      37577","         75.95"
"SUNDARMHLD","EQ","01-Oct-2018","        100.85","        104.50","        105.00","         98.00","        102.00","        102.00","        100.97","      28680","             2895749.15","        646","      21280","         74.20"
"SUNDARMHLD","EQ","03-Oct-2018","        102.00","        102.10","        105.50","        100.80","        100.90","        100.95","        102.80","      13013","             1337671.50","        481","       9756","         74.97"
"SUNDARMHLD","EQ","04-Oct-2018","        100.95","        103.70","        104.00","         98.60","        100.50","        100.95","        100.31","      43527","             4366180.30","        566","      34935","         80.26"
"SUNDARMHLD","EQ","05-Oct-2018","        100.95","        100.00","        103.00","         99.05","        103.00","        100.90","        100.41","      20923","             2100947.20","        215","      18413","         88.00"
"SUNDARMHLD","EQ","08-Oct-2018","        100.90","        100.90","        103.00","         98.50","         99.75","         99.60","        100.22","      16725","             1676225.10","        403","      14643","         87.55"
"SUNDARMHLD","EQ","09-Oct-2018","         99.60","         99.80","        102.50","         98.50","         99.50","         99.85","         99.53","      12167","             1210984.95","        144","       8812","         72.43"
"SUNDARMHLD","EQ","10-Oct-2018","         99.85","        103.00","        103.00","         97.00","        100.50","        102.15","        101.85","      13008","             1324854.60","        232","       9616","         73.92"
"SUNDARMHLD","EQ","11-Oct-2018","        102.15","         99.00","        102.00","         96.00","         98.10","         97.80","         98.94","      38115","             3771225.45","        443","      31260","         82.01"
"SUNDARMHLD","EQ","12-Oct-2018","         97.80","         98.10","        102.75","         98.10","         99.25","         99.55","        100.39","      27132","             2723748.25","        273","      21906","         80.74"
"SUNDARMHLD","EQ","15-Oct-2018","         99.55","         99.25","        100.45","         97.90","         99.10","         99.40","         98.96","      22119","             2188849.25","        232","      19585","         88.54"
"SUNDARMHLD","EQ","16-Oct-2018","         99.40","         99.95","        100.00","         98.10","         99.80","         99.65","         99.71","      14921","             1487791.35","        209","      10862","         72.80"
"SUNDARMHLD","EQ","17-Oct-2018","         99.65","        102.30","        102.30","         98.30","         99.80","         99.65","         99.73","      17393","             1734526.50","        187","      14398","         82.78"
"SUNDARMHLD","EQ","19-Oct-2018","         99.65","        101.40","        101.40","         94.00","         97.80","         96.60","         97.27","      30363","             2953407.35","        428","      25110","         82.70"
"SUNDARMHLD","EQ","22-Oct-2018","         96.60","         99.00","         99.10","         95.10","         95.25","         95.55","         96.92","      12567","             1217986.40","        239","      10785","         85.82"
"SUNDARMHLD","EQ","23-Oct-2018","         95.55","         96.00","         96.30","         94.00","         94.00","         95.35","         95.74","      54936","             5259604.25","        679","      52770","         96.06"
"SUNDARMHLD","EQ","24-Oct-2018","         95.35","         98.00","         98.00","         95.00","         96.20","         96.10","         96.11","      21725","             2088098.10","        295","      15195","         69.94"
"SUNDARMHLD","EQ","25-Oct-2018","         96.10","         96.00","        101.40","         95.05","         97.00","         97.00","         97.62","      40710","             3974134.65","        342","      35728","         87.76"
"SUNDARMHLD","EQ","26-Oct-2018","         97.00","         98.00","         98.00","         94.70","         94.70","         95.30","         95.77","      15031","             1439443.75","        180","       9421","         62.68"
"SUNDARMHLD","EQ","29-Oct-2018","         95.30","         96.00","         98.50","         95.50","         98.45","         97.90","         96.72","      12474","             1206506.25","        179","       9682","         77.62"
"SUNDARMHLD","EQ","30-Oct-2018","         97.90","         97.85","        101.25","         97.00","        101.00","        100.55","         99.40","      10126","             1006557.50","        181","       8823","         87.13"
"SUNDARMHLD","EQ","31-Oct-2018","        100.55","        100.55","        101.40","         99.00","        100.05","         99.95","        100.00","       7287","              728681.40","        107","       6781","         93.06"
"SUNDARMHLD","EQ","01-Nov-2018","         99.95","        100.10","        101.40","         99.25","        101.40","        101.40","        100.47","       9467","              951111.70","         96","       8767","         92.61"
"SUNDARMHLD","EQ","02-Nov-2018","        101.40","        101.00","        102.95","         98.85","        101.25","        101.45","        101.91","      19699","             2007488.10","        126","      10857","         55.11"
"SUNDARMHLD","EQ","05-Nov-2018","        101.45","        102.85","        103.50","        101.10","        101.25","        101.45","        102.04","       5267","              537466.15","        103","       4162","         79.02"
"SUNDARMHLD","EQ","06-Nov-2018","        101.45","        106.95","        106.95","        101.20","        101.50","        102.05","        102.18","      18090","             1848503.15","        165","      16860","         93.20"
"SUNDARMHLD","EQ","07-Nov-2018","        102.05","        104.15","        113.00","        104.15","        108.00","        107.60","        107.44","       7075","              760107.15","        147","       6255","         88.41"
"SUNDARMHLD","EQ","09-Nov-2018","        107.60","        111.00","        112.90","        106.30","        108.30","        108.90","        109.16","      12899","             1408038.60","        217","       8348","         64.72"
"SUNDARMHLD","EQ","12-Nov-2018","        108.90","        105.30","        110.55","        105.10","        107.75","        107.35","        108.40","       5548","              601412.95","        159","       4311","         77.70"
"SUNDARMHLD","EQ","13-Nov-2018","        107.35","        103.55","        111.00","        103.55","        108.50","        109.30","        107.31","       4773","              512185.50","        145","       3694","         77.39"
"SUNDARMHLD","EQ","14-Nov-2018","        109.30","        110.00","        114.00","        109.00","        113.00","        112.80","        111.84","      19515","             2182542.95","        323","      15840","         81.17"
"SUNDARMHLD","EQ","15-Nov-2018","        112.80","        113.95","        116.00","        112.00","        114.00","        112.90","        113.60","      17600","             1999316.45","        324","       8148","         46.30"
"SUNDARMHLD","EQ","16-Nov-2018","        112.90","        111.50","        114.00","        111.10","        112.85","        113.25","        113.44","       9202","             1043910.05","        167","       7225","         78.52"
"SUNDARMHLD","EQ","19-Nov-2018","        113.25","        113.95","        114.00","        112.00","        112.50","        112.95","        113.12","       8534","              965397.40","        193","       7758","         90.91"
"SUNDARMHLD","EQ","20-Nov-2018","        112.95","        113.00","        113.95","        105.40","        105.40","        105.90","        107.83","      16109","             1736982.85","        460","       8564","         53.16"
"SUNDARMHLD","EQ","21-Nov-2018","        105.90","        106.25","        107.85","        103.60","        105.50","        105.60","        105.76","       9153","              968027.30","        180","       7105","         77.62"
"SUNDARMHLD","EQ","22-Nov-2018","        105.60","        105.50","        109.00","        103.00","        104.50","        105.00","        106.40","      22431","             2386763.70","        216","      18987","         84.65"
"SUNDARMHLD","EQ","26-Nov-2018","        105.00","         99.10","        113.70","         99.10","        105.35","        106.80","        108.02","      26765","             2891271.90","        387","      12686","         47.40"
"SUNDARMHLD","EQ","27-Nov-2018","        106.80","        106.00","        106.00","        101.95","        102.70","        103.00","        103.98","      62461","             6494746.70","        471","      55116","         88.24"
"SUNDARMHLD","EQ","28-Nov-2018","        103.00","        105.00","        105.45","         99.55","        100.00","        100.00","        100.75","      33832","             3408702.35","        743","      30985","         91.58"
"SUNDARMHLD","EQ","29-Nov-2018","        100.00","        100.00","        102.40","         99.05","        101.50","        101.05","        100.56","      15520","             1560693.45","        644","      12924","         83.27"
"SUNDARMHLD","EQ","30-Nov-2018","        101.05","        103.60","        103.60","        101.00","        102.25","        101.20","        102.04","      28834","             2942235.30","        242","      26539","         92.04"
"SUNDARMHLD","EQ","03-Dec-2018","        101.20","        102.50","        103.00","         99.10","         99.65","         99.80","        101.31","       8121","              822702.45","        204","       6159","         75.84"
"SUNDARMHLD","EQ","04-Dec-2018","         99.80","        101.50","        101.75","         99.80","         99.85","         99.95","        100.22","      20441","             2048639.10","        471","      19247","         94.16"
"SUNDARMHLD","EQ","05-Dec-2018","         99.95","        102.85","        102.85","         98.00","         98.90","         98.35","         98.68","       6594","              650702.05","        149","       5713","         86.64"
"SUNDARMHLD","EQ","06-Dec-2018","         98.35","         98.00","         99.30","         96.00","         98.00","         97.95","         97.59","       7711","              752547.10","        206","       6116","         79.32"
"SUNDARMHLD","EQ","07-Dec-2018","         97.95","        102.75","        102.75","         95.60","         96.05","         96.60","         96.57","      24832","             2397943.85","        387","      21276","         85.68"
"SUNDARMHLD","EQ","10-Dec-2018","         96.60","         96.60","         97.50","         94.65","         95.00","         95.00","         95.60","      19674","             1880777.70","        585","      17526","         89.08"
"SUNDARMHLD","EQ","11-Dec-2018","         95.00","         95.00","         96.15","         94.40","         94.75","         95.05","         94.95","      21311","             2023505.70","        648","      20048","         94.07"
"SUNDARMHLD","EQ","12-Dec-2018","         95.05","         96.50","         99.00","         96.00","         97.20","         96.85","         97.01","      13479","             1307658.15","        221","      10995","         81.57"
"SUNDARMHLD","EQ","13-Dec-2018","         96.85","         95.35","        100.05","         95.35","         97.00","         96.85","         97.96","      49590","             4857618.40","        566","      29091","         58.66"
"SUNDARMHLD","EQ","14-Dec-2018","         96.85","         95.50","         99.00","         95.50","         97.50","         97.95","         97.62","      15116","             1475698.75","        478","       9508","         62.90"
"SUNDARMHLD","EQ","17-Dec-2018","         97.95","         96.60","         97.50","         94.80","         96.55","         96.30","         95.93","      42937","             4118839.95","        642","      35882","         83.57"
"SUNDARMHLD","EQ","18-Dec-2018","         96.30","         96.75","         96.95","         94.00","         95.00","         94.90","         94.96","      28535","             2709765.15","        612","      22421","         78.57"
"SUNDARMHLD","EQ","19-Dec-2018","         94.90","         94.25","         99.00","         94.25","         96.00","         95.90","         96.13","      28272","             2717836.05","        748","      20211","         71.49"
"SUNDARMHLD","EQ","20-Dec-2018","         95.90","         96.45","         97.75","         94.50","         95.75","         95.65","         95.93","      26838","             2574661.05","        815","      22229","         82.83"
"SUNDARMHLD","EQ","21-Dec-2018","         95.65","         96.80","         96.80","         94.50","         94.50","         95.00","         95.40","      13584","             1295889.45","        575","       9242","         68.04"
"SUNDARMHLD","EQ","24-Dec-2018","         95.00","         96.45","         96.45","         94.00","         94.05","         94.90","         94.88","      12277","             1164893.25","        204","      10202","         83.10"
"SUNDARMHLD","EQ","26-Dec-2018","         94.90","         93.00","         95.25","         93.00","         95.00","         95.00","         94.69","       2982","              282360.45","         87","       2167","         72.67"
"SUNDARMHLD","EQ","27-Dec-2018","         95.00","         97.65","         97.65","         92.55","         93.15","         93.55","         93.92","      20680","             1942335.70","        509","      16055","         77.64"
"SUNDARMHLD","EQ","28-Dec-2018","         93.55","         94.00","         94.50","         92.85","         93.40","         93.75","         93.61","      20953","             1961452.90","        547","      16447","         78.49"
"SUNDARMHLD","EQ","31-Dec-2018","         93.75","         93.55","         94.00","         93.50","         93.50","         94.00","         94.00","     572666","            53827792.25","        274","     569974","         99.53"
"SUNDARMHLD","EQ","01-Jan-2019","         94.00","         94.05","         94.05","         92.60","         92.60","         92.95","         93.38","      38246","             3571429.25","        492","      28735","         75.13"
"SUNDARMHLD","EQ","02-Jan-2019","         92.95","         92.55","         94.00","         92.10","         93.00","         93.10","         93.05","      16958","             1577944.20","        377","      14082","         83.04"
"SUNDARMHLD","EQ","03-Jan-2019","         93.10","         92.45","         94.25","         90.45","         92.90","         92.35","         92.43","      20912","             1932967.65","        465","      16437","         78.60"
"SUNDARMHLD","EQ","04-Jan-2019","         92.35","         92.05","         93.00","         91.35","         92.40","         92.30","         92.44","       7081","              654548.00","        151","       5686","         80.30"
"SUNDARMHLD","EQ","07-Jan-2019","         92.30","         92.05","         93.95","         91.50","         92.00","         91.65","         92.27","       8518","              785948.35","        178","       6946","         81.54"
"SUNDARMHLD","EQ","08-Jan-2019","         91.65","         93.00","         93.00","         91.70","         91.70","         92.20","         92.28","      15631","             1442392.30","        176","      14597","         93.38"
"SUNDARMHLD","EQ","09-Jan-2019","         92.20","         93.45","         94.00","         90.50","         90.90","         90.80","         91.28","      12072","             1101951.10","        356","      10807","         89.52"
"SUNDARMHLD","EQ","10-Jan-2019","         90.80","         91.95","         93.00","         90.50","         90.55","         90.90","         91.27","      13519","             1233866.65","        195","      10455","         77.34"
"SUNDARMHLD","EQ","11-Jan-2019","         90.90","         92.60","         92.60","         90.40","         90.40","         90.65","         90.89","      15785","             1434731.65","        243","      13098","         82.98"
"SUNDARMHLD","EQ","14-Jan-2019","         90.65","         90.00","         91.60","         86.50","         88.30","         88.60","         89.08","      50841","             4528862.00","        600","      45431","         89.36"
"SUNDARMHLD","EQ","15-Jan-2019","         88.60","         88.25","         89.10","         87.05","         87.95","         88.05","         88.23","      35499","             3132138.70","        496","      31382","         88.40"
"SUNDARMHLD","EQ","16-Jan-2019","         88.05","         88.95","        104.60","         88.20","         97.25","         96.80","         98.16","      83342","             8181033.75","       1490","      39167","         47.00"
"SUNDARMHLD","EQ","17-Jan-2019","         96.80","        103.00","        105.00","         99.50","        100.00","        100.00","        101.88","      69589","             7089629.40","       1136","      42379","         60.90"
"SUNDARMHLD","EQ","18-Jan-2019","        100.00","        100.20","        100.20","         96.40","         97.00","         97.45","         97.83","       8641","              845383.20","        284","       6153","         71.21"
"SUNDARMHLD","EQ","21-Jan-2019","         97.45","         99.80","         99.80","         91.65","         94.00","         94.20","         94.60","      12988","             1228658.95","        298","       7537","         58.03"
"SUNDARMHLD","EQ","22-Jan-2019","         94.20","         97.00","         99.80","         95.50","         95.50","         96.00","         96.88","      27734","             2686838.00","        390","      22030","         79.43"
"SUNDARMHLD","EQ","23-Jan-2019","         96.00","         95.55","         96.25","         93.00","         93.00","         93.95","         95.61","      27735","             2651818.55","        476","      27095","         97.69"
"SUNDARMHLD","EQ","24-Jan-2019","         93.95","         94.05","         94.40","         91.75","         91.75","         92.20","         92.62","      10531","              975355.10","        362","       9492","         90.13"
"SUNDARMHLD","EQ","25-Jan-2019","         92.20","         91.55","         93.75","         88.65","         89.15","         89.25","         90.12","      22088","             1990579.45","        259","      20568","         93.12"
"SUNDARMHLD","EQ","28-Jan-2019","         89.25","         89.15","         89.15","         85.10","         85.15","         85.80","         86.52","      28318","             2450067.20","        425","      25484","         89.99"
"SUNDARMHLD","EQ","29-Jan-2019","         85.80","         88.70","         88.80","         85.50","         86.85","         85.90","         86.90","      99830","             8675007.60","        415","      93774","         93.93"
"SUNDARMHLD","EQ","30-Jan-2019","         85.90","         86.95","         91.80","         85.40","         89.00","         90.65","         87.60","      78335","             6862015.80","        629","      57532","         73.44"
"SUNDARMHLD","EQ","31-Jan-2019","         90.65","         92.00","        104.20","         89.70","         90.55","         90.70","         92.89","      36840","             3422023.15","       1745","      27240","         73.94"
"SUNDARMHLD","EQ","01-Feb-2019","         90.70","         92.95","         92.95","         87.00","         88.25","         88.50","         88.97","      21229","             1888658.15","        919","      15698","         73.95"
"SUNDARMHLD","EQ","04-Feb-2019","         88.50","         90.15","         90.15","         86.00","         87.80","         88.05","         88.40","      12819","             1133150.05","        443","       9617","         75.02"
"SUNDARMHLD","EQ","05-Feb-2019","         88.05","         88.40","         89.50","         85.15","         85.25","         85.55","         86.85","      18091","             1571119.35","        399","      14833","         81.99"
"SUNDARMHLD","EQ","06-Feb-2019","         85.55","         86.65","         90.00","         82.80","         86.95","         86.65","         86.74","      25597","             2220252.30","        499","      19769","         77.23"
"SUNDARMHLD","EQ","07-Feb-2019","         86.65","         86.05","         87.70","         85.95","         86.20","         86.80","         87.20","       5164","              450295.60","        127","       4140","         80.17"
"SUNDARMHLD","EQ","08-Feb-2019","         86.80","         86.80","         87.40","         85.00","         87.00","         87.00","         86.89","      38780","             3369678.90","        186","      36462","         94.02"
"SUNDARMHLD","EQ","11-Feb-2019","         87.00","         86.55","         88.15","         83.05","         83.05","         84.40","         84.78","      28168","             2388214.00","        315","      24743","         87.84"
"SUNDARMHLD","EQ","12-Feb-2019","         84.40","         84.85","         87.00","         84.75","         84.90","         84.90","         85.14","       6926","              589713.30","        190","       5417","         78.21"
"SUNDARMHLD","EQ","13-Feb-2019","         84.90","         84.95","         85.75","         83.00","         83.80","         84.05","         84.28","      31185","             2628191.10","        231","      29162","         93.51"
"SUNDARMHLD","EQ","14-Feb-2019","         84.05","         85.25","         85.50","         82.80","         85.00","         85.15","         84.50","      13652","             1153590.80","        243","      11070","         81.09"
"SUNDARMHLD","EQ","15-Feb-2019","         85.15","         84.55","         84.55","         80.70","         81.35","         81.55","         81.84","      54723","             4478456.95","        606","      48151","         87.99"
"SUNDARMHLD","EQ","18-Feb-2019","         81.55","         84.65","         84.65","         78.50","         79.55","         79.85","         80.27","      52570","             4219998.15","        757","      46247","         87.97"
