"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNFLAG","EQ","30-Aug-2018","         69.80","         70.30","         71.70","         69.55","         70.00","         69.95","         70.49","     221488","            15611831.55","       1525","      92766","         41.88"
"SUNFLAG","EQ","31-Aug-2018","         69.95","         70.30","         70.90","         69.00","         69.20","         69.50","         69.82","     151734","            10594374.95","        982","      79262","         52.24"
"SUNFLAG","EQ","03-Sep-2018","         69.50","         70.60","         71.00","         68.25","         68.40","         68.70","         69.79","     321566","            22441268.35","       1878","     169987","         52.86"
"SUNFLAG","EQ","04-Sep-2018","         68.70","         69.00","         69.65","         66.00","         66.20","         66.45","         67.49","     219386","            14805867.40","       1389","     131583","         59.98"
"SUNFLAG","EQ","05-Sep-2018","         66.45","         66.80","         68.20","         65.15","         67.80","         67.75","         66.69","     267529","            17840881.30","       1967","     123403","         46.13"
"SUNFLAG","EQ","06-Sep-2018","         67.75","         69.00","         69.40","         67.50","         68.60","         68.70","         68.57","     165265","            11331515.40","       1276","      75141","         45.47"
"SUNFLAG","EQ","07-Sep-2018","         68.70","         68.25","         72.45","         68.25","         72.20","         72.15","         71.56","     770186","            55112877.20","       2499","     481977","         62.58"
"SUNFLAG","EQ","10-Sep-2018","         72.15","         74.70","         74.70","         70.15","         71.90","         72.10","         72.33","    1344303","            97232642.45","       5949","     571620","         42.52"
"SUNFLAG","EQ","11-Sep-2018","         72.10","         72.55","         72.55","         69.15","         69.55","         69.65","         71.07","     252489","            17944619.70","       1708","     147007","         58.22"
"SUNFLAG","EQ","12-Sep-2018","         69.65","         69.70","         69.80","         68.00","         69.25","         69.45","         69.38","     294084","            20402606.40","       1296","     169340","         57.58"
"SUNFLAG","EQ","14-Sep-2018","         69.45","         69.85","         71.45","         69.70","         70.10","         70.15","         70.48","     331643","            23374386.30","       1464","     202973","         61.20"
"SUNFLAG","EQ","17-Sep-2018","         70.15","         69.40","         76.30","         68.20","         74.50","         74.55","         72.96","    1116078","            81434191.05","       5477","     488340","         43.76"
"SUNFLAG","EQ","18-Sep-2018","         74.55","         74.55","         75.20","         70.80","         71.50","         71.25","         72.95","     400852","            29241788.60","       2603","     225721","         56.31"
"SUNFLAG","EQ","19-Sep-2018","         71.25","         71.65","         73.70","         70.10","         70.90","         70.90","         71.95","     429868","            30930106.00","       2446","     182999","         42.57"
"SUNFLAG","EQ","21-Sep-2018","         70.90","         72.10","         72.90","         62.50","         66.65","         66.95","         68.20","     870061","            59335444.30","       3794","     426043","         48.97"
"SUNFLAG","EQ","24-Sep-2018","         66.95","         65.35","         67.70","         62.50","         63.65","         63.90","         65.24","     318520","            20780878.25","       1866","     134906","         42.35"
"SUNFLAG","EQ","25-Sep-2018","         63.90","         63.15","         65.35","         61.60","         63.75","         63.70","         63.52","     302344","            19204309.20","       1812","     134346","         44.43"
"SUNFLAG","EQ","26-Sep-2018","         63.70","         63.85","         65.85","         62.55","         64.95","         64.30","         64.22","     190273","            12220140.25","       1227","      78315","         41.16"
"SUNFLAG","EQ","27-Sep-2018","         64.30","         64.80","         65.40","         62.15","         62.75","         62.70","         63.42","     106462","             6752243.35","        750","      63809","         59.94"
"SUNFLAG","EQ","28-Sep-2018","         62.70","         62.50","         63.00","         55.00","         57.25","         56.80","         58.72","     450761","            26469101.75","       3046","     268420","         59.55"
"SUNFLAG","EQ","01-Oct-2018","         56.80","         57.00","         62.00","         53.00","         61.40","         59.85","         56.57","     362647","            20513214.65","       2855","     185954","         51.28"
"SUNFLAG","EQ","03-Oct-2018","         59.85","         60.35","         62.70","         59.65","         60.80","         61.25","         61.37","     241337","            14810523.15","       1792","     119795","         49.64"
"SUNFLAG","EQ","04-Oct-2018","         61.25","         59.80","         62.70","         58.00","         58.50","         59.45","         60.19","     208709","            12561945.10","       1714","     108372","         51.92"
"SUNFLAG","EQ","05-Oct-2018","         59.45","         59.20","         60.40","         57.05","         57.50","         58.00","         59.06","     124516","             7353994.95","       1183","      57928","         46.52"
"SUNFLAG","EQ","08-Oct-2018","         58.00","         57.50","         59.20","         53.55","         54.30","         54.65","         57.24","     570994","            32683143.60","       1886","     472268","         82.71"
"SUNFLAG","EQ","09-Oct-2018","         54.65","         55.05","         56.00","         51.20","         53.00","         51.50","         52.82","     462757","            24443236.55","       2644","     254373","         54.97"
"SUNFLAG","EQ","10-Oct-2018","         51.50","         52.50","         55.25","         52.10","         52.50","         53.00","         53.83","     582604","            31360134.70","       2462","     360335","         61.85"
"SUNFLAG","EQ","11-Oct-2018","         53.00","         48.10","         53.15","         48.00","         52.35","         52.20","         51.59","     299696","            15462756.35","       2353","      98984","         33.03"
"SUNFLAG","EQ","12-Oct-2018","         52.20","         53.40","         55.25","         52.05","         53.05","         53.35","         54.01","     320385","            17302928.05","       1128","     225985","         70.54"
"SUNFLAG","EQ","15-Oct-2018","         53.35","         53.90","         54.60","         52.55","         53.20","         53.05","         53.70","     238806","            12824286.35","       1281","     164283","         68.79"
"SUNFLAG","EQ","16-Oct-2018","         53.05","         53.70","         56.45","         53.70","         56.25","         55.80","         55.39","     225343","            12481997.70","       1732","     105088","         46.63"
"SUNFLAG","EQ","17-Oct-2018","         55.80","         56.90","         60.70","         55.25","         59.50","         59.45","         59.03","    1657360","            97835609.05","       7166","     439791","         26.54"
"SUNFLAG","EQ","19-Oct-2018","         59.45","         58.85","         58.85","         55.70","         57.40","         57.55","         57.13","     782933","            44731815.30","       4224","     268883","         34.34"
"SUNFLAG","EQ","22-Oct-2018","         57.55","         58.70","         59.40","         57.50","         58.00","         58.00","         58.60","     522403","            30612641.65","       2011","     251920","         48.22"
"SUNFLAG","EQ","23-Oct-2018","         58.00","         56.55","         59.25","         56.55","         58.25","         58.40","         58.41","     293593","            17148132.00","       1235","     189109","         64.41"
"SUNFLAG","EQ","24-Oct-2018","         58.40","         58.50","         59.35","         57.25","         57.90","         57.80","         58.15","     247757","            14408000.20","        911","     147995","         59.73"
"SUNFLAG","EQ","25-Oct-2018","         57.80","         56.50","         57.25","         56.00","         56.65","         56.80","         56.88","     152725","             8686388.65","        806","      90331","         59.15"
"SUNFLAG","EQ","26-Oct-2018","         56.80","         56.10","         58.45","         56.10","         57.55","         57.55","         57.35","     194750","            11168954.70","        792","     103673","         53.23"
"SUNFLAG","EQ","29-Oct-2018","         57.55","         57.55","         60.00","         57.50","         59.45","         59.70","         59.15","     167055","             9881193.45","        986","     108012","         64.66"
"SUNFLAG","EQ","30-Oct-2018","         59.70","         59.10","         61.25","         57.85","         58.90","         59.00","         59.54","     331690","            19748711.50","       2428","     194646","         58.68"
"SUNFLAG","EQ","31-Oct-2018","         59.00","         59.45","         61.20","         58.05","         59.70","         60.30","         59.42","     200616","            11921174.70","       1089","     116854","         58.25"
"SUNFLAG","EQ","01-Nov-2018","         60.30","         59.95","         62.50","         58.90","         62.00","         61.45","         61.31","     199552","            12234910.55","       1519","      96182","         48.20"
"SUNFLAG","EQ","02-Nov-2018","         61.45","         61.50","         65.95","         61.50","         63.80","         63.70","         64.01","     331368","            21212112.30","       2273","     197986","         59.75"
"SUNFLAG","EQ","05-Nov-2018","         63.70","         63.90","         66.20","         63.50","         64.95","         64.85","         65.03","     208436","            13554222.55","       1297","      76757","         36.83"
"SUNFLAG","EQ","06-Nov-2018","         64.85","         65.45","         66.30","         65.10","         66.00","         65.80","         65.74","     179446","            11795982.00","        883","     111635","         62.21"
"SUNFLAG","EQ","07-Nov-2018","         65.80","         66.25","         66.90","         66.05","         66.30","         66.20","         66.18","      86835","             5747027.60","        372","      79496","         91.55"
"SUNFLAG","EQ","09-Nov-2018","         66.20","         66.10","         68.50","         65.90","         67.85","         67.95","         67.45","     302546","            20406360.00","       1287","     132322","         43.74"
"SUNFLAG","EQ","12-Nov-2018","         67.95","         68.75","         69.40","         68.00","         68.00","         68.25","         68.55","     280495","            19228298.05","       1623","     159232","         56.77"
"SUNFLAG","EQ","13-Nov-2018","         68.25","         66.55","         66.60","         64.00","         64.75","         64.30","         64.95","     246010","            15979205.90","       2055","     129591","         52.68"
"SUNFLAG","EQ","14-Nov-2018","         64.30","         64.30","         66.45","         63.25","         66.45","         65.95","         65.05","     274549","            17860118.65","       1701","     143354","         52.21"
"SUNFLAG","EQ","15-Nov-2018","         65.95","         67.45","         68.40","         66.30","         66.55","         66.75","         67.24","     558000","            37518573.00","       3541","     225824","         40.47"
"SUNFLAG","EQ","16-Nov-2018","         66.75","         67.15","         67.15","         64.50","         64.70","         64.80","         65.36","     144204","             9425732.85","       1398","      60511","         41.96"
"SUNFLAG","EQ","19-Nov-2018","         64.80","         65.50","         65.50","         63.15","         63.55","         63.95","         64.53","     131759","             8501969.15","       1177","      60952","         46.26"
"SUNFLAG","EQ","20-Nov-2018","         63.95","         63.95","         63.95","         61.35","         61.45","         61.75","         62.62","     187737","            11756496.25","       1240","     115534","         61.54"
"SUNFLAG","EQ","21-Nov-2018","         61.75","         61.95","         62.50","         60.70","         62.30","         61.70","         61.54","     114752","             7061658.90","        924","      51675","         45.03"
"SUNFLAG","EQ","22-Nov-2018","         61.70","         62.50","         63.90","         61.95","         63.60","         62.60","         62.88","     120589","             7582512.70","       1134","      53141","         44.07"
"SUNFLAG","EQ","26-Nov-2018","         62.60","         63.20","         63.20","         60.60","         60.65","         60.90","         61.97","     148236","             9185487.45","        975","      86260","         58.19"
"SUNFLAG","EQ","27-Nov-2018","         60.90","         61.00","         61.25","         59.20","         59.35","         59.65","         59.93","     135306","             8109474.80","        982","      71391","         52.76"
"SUNFLAG","EQ","28-Nov-2018","         59.65","         59.50","         60.00","         57.15","         57.40","         57.60","         58.53","     145030","             8488233.70","       1043","      89439","         61.67"
"SUNFLAG","EQ","29-Nov-2018","         57.60","         58.25","         59.00","         56.90","         58.10","         58.05","         57.98","     141435","             8200112.05","       1324","      64098","         45.32"
"SUNFLAG","EQ","30-Nov-2018","         58.05","         58.30","         58.80","         57.40","         57.60","         57.60","         58.18","      77219","             4492605.70","        701","      42791","         55.42"
"SUNFLAG","EQ","03-Dec-2018","         57.60","         59.60","         60.60","         59.00","         59.20","         59.35","         59.55","     159273","             9484585.75","       1251","      61675","         38.72"
"SUNFLAG","EQ","04-Dec-2018","         59.35","         59.00","         59.20","         58.45","         58.55","         58.70","         58.83","      74160","             4362582.15","        641","      42357","         57.12"
"SUNFLAG","EQ","05-Dec-2018","         58.70","         58.45","         58.45","         57.05","         57.50","         57.20","         57.24","      65867","             3770214.75","        506","      43279","         65.71"
"SUNFLAG","EQ","06-Dec-2018","         57.20","         56.45","         56.90","         55.00","         55.25","         55.50","         55.79","     167573","             9348570.25","        905","     106980","         63.84"
"SUNFLAG","EQ","07-Dec-2018","         55.50","         55.80","         56.00","         54.80","         55.35","         55.50","         55.35","      80179","             4438139.30","        664","      38791","         48.38"
"SUNFLAG","EQ","10-Dec-2018","         55.50","         54.85","         54.90","         53.70","         54.30","         54.20","         54.22","      51919","             2814808.80","        598","      34253","         65.97"
"SUNFLAG","EQ","11-Dec-2018","         54.20","         53.90","         56.50","         53.60","         55.50","         54.60","         54.99","      89017","             4894808.05","      10102","      53340","         59.92"
"SUNFLAG","EQ","12-Dec-2018","         54.60","         54.80","         59.30","         54.80","         58.45","         58.60","         58.00","     141524","             8208328.30","       1616","      71391","         50.44"
"SUNFLAG","EQ","13-Dec-2018","         58.60","         58.75","         59.75","         57.25","         57.50","         57.65","         58.79","     143569","             8440701.95","       1138","      59164","         41.21"
"SUNFLAG","EQ","14-Dec-2018","         57.65","         57.95","         58.60","         57.20","         57.75","         57.75","         57.94","      54769","             3173186.05","        593","      26545","         48.47"
"SUNFLAG","EQ","17-Dec-2018","         57.75","         57.95","         59.15","         57.95","         58.45","         58.70","         58.61","      78097","             4577424.30","        648","      40658","         52.06"
"SUNFLAG","EQ","18-Dec-2018","         58.70","         58.50","         58.85","         57.90","         58.30","         58.45","         58.43","      54632","             3192371.25","        471","      35358","         64.72"
"SUNFLAG","EQ","19-Dec-2018","         58.45","         58.45","         62.00","         58.45","         60.40","         60.55","         60.99","     244084","            14887806.70","       1781","      97905","         40.11"
"SUNFLAG","EQ","20-Dec-2018","         60.55","         59.55","         60.70","         57.95","         58.75","         58.70","         59.04","     140776","             8311876.15","       1780","      93418","         66.36"
"SUNFLAG","EQ","21-Dec-2018","         58.70","         58.25","         59.75","         58.25","         59.00","         58.60","         59.03","     105829","             6246663.75","        705","      55385","         52.33"
"SUNFLAG","EQ","24-Dec-2018","         58.60","         57.55","         59.20","         57.45","         57.70","         57.60","         58.17","      67774","             3942716.35","        493","      48921","         72.18"
"SUNFLAG","EQ","26-Dec-2018","         57.60","         57.15","         58.20","         56.15","         58.20","         57.80","         57.06","      50786","             2897634.55","        578","      25743","         50.69"
"SUNFLAG","EQ","27-Dec-2018","         57.80","         58.20","         58.90","         57.05","         57.40","         57.25","         57.67","      46123","             2659719.55","        473","      36257","         78.61"
"SUNFLAG","EQ","28-Dec-2018","         57.25","         57.50","         58.45","         57.50","         57.90","         58.05","         58.08","      43316","             2515769.30","        505","      27889","         64.38"
"SUNFLAG","EQ","31-Dec-2018","         58.05","         57.90","         59.20","         57.90","         59.20","         58.80","         58.51","      97695","             5716079.15","        745","      66264","         67.83"
"SUNFLAG","EQ","01-Jan-2019","         58.80","         59.05","         59.05","         58.25","         58.70","         58.60","         58.62","      26841","             1573320.25","        332","      13331","         49.67"
"SUNFLAG","EQ","02-Jan-2019","         58.60","         58.45","         58.45","         57.05","         57.05","         57.15","         57.58","      61564","             3544569.80","        669","      39477","         64.12"
"SUNFLAG","EQ","03-Jan-2019","         57.15","         57.40","         57.80","         56.55","         56.70","         56.85","         57.14","      70765","             4043437.75","        675","      27822","         39.32"
"SUNFLAG","EQ","04-Jan-2019","         56.85","         56.80","         57.50","         55.90","         57.50","         56.80","         56.42","      84508","             4767891.95","       1042","      27584","         32.64"
"SUNFLAG","EQ","07-Jan-2019","         56.80","         57.25","         57.75","         53.75","         55.70","         55.20","         55.47","     489918","            27176191.60","       2931","     241096","         49.21"
"SUNFLAG","EQ","08-Jan-2019","         55.20","         56.80","         56.80","         54.05","         54.45","         54.55","         54.82","     577906","            31679304.70","       4165","     203836","         35.27"
"SUNFLAG","EQ","09-Jan-2019","         54.55","         54.95","         55.55","         53.25","         53.30","         53.60","         54.09","     126330","             6832738.35","       1210","      75316","         59.62"
"SUNFLAG","EQ","10-Jan-2019","         53.60","         53.50","         54.40","         52.80","         53.40","         53.25","         53.45","     107509","             5746130.45","        801","      50397","         46.88"
"SUNFLAG","EQ","11-Jan-2019","         53.25","         53.65","         53.90","         52.85","         52.85","         53.20","         53.42","      76753","             4100410.00","       1021","      31102","         40.52"
"SUNFLAG","EQ","14-Jan-2019","         53.20","         52.50","         53.20","         52.20","         52.30","         52.45","         52.59","     163236","             8585073.60","       1721","      62931","         38.55"
"SUNFLAG","EQ","15-Jan-2019","         52.45","         52.55","         53.80","         52.55","         52.95","         53.05","         53.13","     124143","             6595750.80","       1151","      55294","         44.54"
"SUNFLAG","EQ","16-Jan-2019","         53.05","         53.25","         54.35","         53.25","         53.90","         53.75","         53.85","      96628","             5202948.90","        749","      65912","         68.21"
"SUNFLAG","EQ","17-Jan-2019","         53.75","         53.80","         54.30","         53.25","         53.25","         53.35","         53.51","      53595","             2868073.90","        395","      34395","         64.18"
"SUNFLAG","EQ","18-Jan-2019","         53.35","         53.55","         53.90","         53.10","         53.35","         53.35","         53.47","      54595","             2919019.50","        456","      42876","         78.53"
"SUNFLAG","EQ","21-Jan-2019","         53.35","         53.35","         53.80","         51.65","         52.10","         51.85","         52.58","      85223","             4480933.95","        700","      63191","         74.15"
"SUNFLAG","EQ","22-Jan-2019","         51.85","         51.90","         52.35","         49.15","         50.35","         50.05","         50.05","     223120","            11166522.45","       1507","     127759","         57.26"
"SUNFLAG","EQ","23-Jan-2019","         50.05","         50.20","         50.90","         49.50","         49.60","         49.65","         50.17","      76836","             3854540.95","        988","      23413","         30.47"
"SUNFLAG","EQ","24-Jan-2019","         49.65","         50.00","         50.70","         47.10","         47.65","         47.60","         48.56","     275353","            13371008.75","       1607","     140443","         51.00"
"SUNFLAG","EQ","25-Jan-2019","         47.60","         46.80","         46.80","         43.80","         44.20","         44.15","         45.18","     296180","            13380789.20","       2294","     187848","         63.42"
"SUNFLAG","EQ","28-Jan-2019","         44.15","         44.00","         45.75","         43.95","         45.75","         45.15","         44.47","     120648","             5365446.50","        965","      64736","         53.66"
"SUNFLAG","EQ","29-Jan-2019","         45.15","         45.00","         47.75","         44.50","         47.20","         47.05","         46.35","     259220","            12015134.65","       2474","      82493","         31.82"
"SUNFLAG","EQ","30-Jan-2019","         47.05","         47.60","         48.40","         46.50","         46.70","         46.65","         47.31","     166285","             7866112.60","       1751","      78402","         47.15"
"SUNFLAG","EQ","31-Jan-2019","         46.65","         46.20","         48.25","         46.20","         47.95","         47.60","         47.68","     248644","            11856351.35","       1724","     164352","         66.10"
"SUNFLAG","EQ","01-Feb-2019","         47.60","         47.35","         48.05","         46.50","         46.50","         46.70","         47.12","     118100","             5564757.40","       1631","      45432","         38.47"
"SUNFLAG","EQ","04-Feb-2019","         46.70","         47.40","         47.40","         44.35","         45.50","         45.65","         45.45","     177312","             8057985.65","       1910","      47491","         26.78"
"SUNFLAG","EQ","05-Feb-2019","         45.65","         45.65","         46.00","         44.60","         44.60","         44.65","         45.14","      53756","             2426686.95","        910","      15161","         28.20"
"SUNFLAG","EQ","06-Feb-2019","         44.65","         45.05","         45.35","         43.00","         43.95","         44.05","         43.96","     123516","             5429578.50","       1677","      55945","         45.29"
"SUNFLAG","EQ","07-Feb-2019","         44.05","         44.05","         44.85","         42.20","         43.50","         43.40","         43.71","     197468","             8631621.25","       2683","      94929","         48.07"
"SUNFLAG","EQ","08-Feb-2019","         43.40","         43.00","         43.25","         42.00","         42.00","         42.10","         42.46","     133184","             5655485.60","       1845","      66025","         49.57"
"SUNFLAG","EQ","11-Feb-2019","         42.10","         42.70","         42.90","         40.25","         40.80","         41.00","         41.07","     150039","             6161973.55","       1318","      47341","         31.55"
"SUNFLAG","EQ","12-Feb-2019","         41.00","         40.35","         45.50","         40.35","         44.95","         44.15","         42.91","     253539","            10879951.75","       2581","      84069","         33.16"
"SUNFLAG","EQ","13-Feb-2019","         44.15","         44.50","         45.40","         41.75","         42.30","         42.00","         42.96","     138760","             5960888.10","       1868","      65497","         47.20"
"SUNFLAG","EQ","14-Feb-2019","         42.00","         41.15","         43.25","         41.15","         43.15","         42.95","         42.15","     106736","             4498596.80","       1388","      36778","         34.46"
"SUNFLAG","EQ","15-Feb-2019","         42.95","         42.85","         42.90","         41.50","         41.95","         42.15","         42.26","      61775","             2610323.60","        909","      15049","         24.36"
"SUNFLAG","EQ","18-Feb-2019","         42.15","         42.70","         42.70","         41.10","         41.45","         41.40","         41.92","      91407","             3832083.10","       1012","      23667","         25.89"
"SUNFLAG","EQ","19-Feb-2019","         41.40","         41.15","         41.95","         40.90","         41.00","         41.10","         41.44","     112048","             4643275.30","       1301","      35315","         31.52"
"SUNFLAG","EQ","20-Feb-2019","         41.10","         41.35","         42.70","         41.30","         42.50","         42.30","         42.16","     130960","             5521020.45","       1300","      25092","         19.16"
"SUNFLAG","EQ","21-Feb-2019","         42.30","         42.00","         43.90","         41.55","         43.15","         43.25","         42.91","     113030","             4850550.30","       1255","      30432","         26.92"
"SUNFLAG","EQ","22-Feb-2019","         43.25","         43.20","         47.70","         42.95","         47.15","         47.15","         45.25","     330694","            14965506.40","       3155","     138011","         41.73"
"SUNFLAG","EQ","25-Feb-2019","         47.15","         47.25","         49.00","         47.05","         47.25","         47.40","         47.96","     113715","             5454322.35","       1495","      45171","         39.72"
"SUNFLAG","EQ","26-Feb-2019","         47.40","         45.15","         47.60","         44.50","         46.00","         46.45","         45.74","     144116","             6591624.55","       1628","      36020","         24.99"
"SUNFLAG","EQ","27-Feb-2019","         46.45","         46.90","         47.65","         45.40","         45.40","         45.85","         46.67","     133244","             6219041.60","       1456","      51382","         38.56"
"SUNFLAG","EQ","28-Feb-2019","         45.85","         46.25","         46.80","         45.55","         46.20","         45.90","         46.13","      27832","             1283782.65","        428","      11909","         42.79"
"SUNFLAG","EQ","01-Mar-2019","         45.90","         46.75","         49.70","         46.55","         48.00","         48.40","         48.41","     234143","            11335826.85","       1925","     133055","         56.83"
"SUNFLAG","EQ","05-Mar-2019","         48.40","         48.15","         52.40","         47.65","         50.25","         51.10","         50.98","     284161","            14485286.80","       3822","     104330","         36.72"
"SUNFLAG","EQ","06-Mar-2019","         51.10","         51.35","         52.75","         50.05","         50.75","         50.60","         51.32","     245165","            12581160.25","       1574","     164152","         66.96"
"SUNFLAG","EQ","07-Mar-2019","         50.60","         50.40","         52.00","         49.25","         49.60","         49.80","         50.52","     187545","             9475341.95","       1788","      58714","         31.31"
"SUNFLAG","EQ","08-Mar-2019","         49.80","         49.65","         50.40","         47.60","         48.00","         48.25","         48.68","     101030","             4918282.05","       1011","      61472","         60.85"
"SUNFLAG","EQ","11-Mar-2019","         48.25","         48.55","         50.30","         47.85","         49.40","         49.35","         48.90","     327422","            16011280.40","       1326","     182449","         55.72"
"SUNFLAG","EQ","12-Mar-2019","         49.35","         49.80","         50.70","         48.70","         49.40","         49.60","         49.94","     189530","             9464721.80","       1324","     100475","         53.01"
"SUNFLAG","EQ","13-Mar-2019","         49.60","         49.80","         49.80","         48.00","         48.15","         48.10","         48.58","      73264","             3558868.90","        750","      48470","         66.16"
"SUNFLAG","EQ","14-Mar-2019","         48.10","         48.60","         49.15","         47.70","         48.10","         47.95","         48.31","      84833","             4098374.00","        784","      49747","         58.64"
"SUNFLAG","EQ","15-Mar-2019","         47.95","         48.00","         56.60","         47.95","         51.10","         51.10","         52.20","    1622550","            84689700.75","       9446","     435591","         26.85"
"SUNFLAG","EQ","18-Mar-2019","         51.10","         50.60","         51.35","         48.60","         50.35","         50.45","         49.77","     235147","            11703417.25","       1793","     110174","         46.85"
"SUNFLAG","EQ","19-Mar-2019","         50.45","         50.50","         51.90","         50.00","         50.10","         50.25","         50.85","     224508","            11416481.20","       1438","     109028","         48.56"
"SUNFLAG","EQ","20-Mar-2019","         50.25","         50.70","         50.70","         49.00","         49.10","         49.30","         49.81","     141375","             7042207.35","       1684","      94471","         66.82"
"SUNFLAG","EQ","22-Mar-2019","         49.30","         49.50","         50.05","         48.50","         49.00","         49.10","         49.44","     134319","             6640436.75","       1284","      96009","         71.48"
"SUNFLAG","EQ","25-Mar-2019","         49.10","         48.60","         48.60","         47.00","         47.45","         47.65","         48.09","     207007","             9954265.00","        714","     159679","         77.14"
"SUNFLAG","EQ","26-Mar-2019","         47.65","         48.00","         48.25","         46.25","         48.15","         48.05","         47.42","     311342","            14764128.50","       1339","     221334","         71.09"
"SUNFLAG","EQ","27-Mar-2019","         48.05","         50.50","         50.60","         47.55","         48.50","         48.40","         48.38","     436854","            21136012.65","       2496","     173825","         39.79"
"SUNFLAG","EQ","28-Mar-2019","         48.40","         49.00","         49.00","         48.00","         48.20","         48.25","         48.57","      91903","             4463323.90","        692","      51060","         55.56"
"SUNFLAG","EQ","29-Mar-2019","         48.25","         48.60","         50.00","         47.90","         48.60","         48.70","         48.94","     267018","            13067483.15","       1357","     136027","         50.94"
"SUNFLAG","EQ","01-Apr-2019","         48.70","         49.10","         50.00","         48.50","         48.60","         48.70","         49.38","     325356","            16067124.55","       1085","     220758","         67.85"
"SUNFLAG","EQ","02-Apr-2019","         48.70","         49.15","         49.30","         48.10","         48.50","         48.50","         48.56","     112526","             5464353.50","        663","      58504","         51.99"
"SUNFLAG","EQ","03-Apr-2019","         48.50","         48.50","         50.70","         47.50","         47.55","         47.95","         49.09","     425893","            20908017.45","       1618","     204693","         48.06"
"SUNFLAG","EQ","04-Apr-2019","         47.95","         47.95","         48.60","         47.00","         47.35","         47.35","         47.63","     132604","             6315826.10","        778","      78762","         59.40"
"SUNFLAG","EQ","05-Apr-2019","         47.35","         47.80","         48.40","         46.10","         47.75","         47.40","         47.52","     179419","             8525476.60","        743","     102534","         57.15"
"SUNFLAG","EQ","08-Apr-2019","         47.40","         47.25","         48.05","         46.50","         46.55","         46.65","         47.03","     170024","             7995960.20","        807","     113203","         66.58"
"SUNFLAG","EQ","09-Apr-2019","         46.65","         46.70","         46.80","         45.55","         46.00","         45.95","         46.04","     168968","             7779357.10","        717","     123483","         73.08"
"SUNFLAG","EQ","10-Apr-2019","         45.95","         46.00","         46.50","         45.60","         46.10","         46.00","         46.08","      84460","             3892245.20","        872","      40134","         47.52"
"SUNFLAG","EQ","11-Apr-2019","         46.00","         46.05","         46.45","         45.60","         46.20","         46.15","         45.92","      37627","             1727907.10","        391","      21344","         56.73"
