"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNTV","EQ","30-Aug-2018","        768.05","        763.00","        774.50","        760.85","        770.00","        765.00","        768.14","    1246447","           957451556.00","      24727","     460123","         36.91"
"SUNTV","EQ","31-Aug-2018","        765.00","        768.80","        772.80","        761.40","        768.05","        766.20","        766.53","     951479","           729339847.25","      22735","     247435","         26.01"
"SUNTV","EQ","03-Sep-2018","        766.20","        775.00","        791.90","        767.05","        776.60","        778.15","        780.80","    1371446","          1070820060.60","      23750","     230583","         16.81"
"SUNTV","EQ","04-Sep-2018","        778.15","        777.00","        781.05","        715.80","        720.60","        723.55","        737.58","    2733473","          2016153990.25","      52260","     647118","         23.67"
"SUNTV","EQ","05-Sep-2018","        723.55","        720.00","        733.95","        702.45","        720.20","        720.30","        719.31","    2182780","          1570099749.20","      52634","     342111","         15.67"
"SUNTV","EQ","06-Sep-2018","        720.30","        722.00","        727.65","        692.35","        694.90","        697.80","        701.24","    4635427","          3250548555.05","      84279","    1509959","         32.57"
"SUNTV","EQ","07-Sep-2018","        697.80","        693.25","        699.75","        681.05","        692.95","        694.95","        691.41","    2542904","          1758196257.65","      61565","     573122","         22.54"
"SUNTV","EQ","10-Sep-2018","        694.95","        693.00","        702.00","        687.10","        689.25","        691.35","        695.64","    1273816","           886113818.20","      32787","     243485","         19.11"
"SUNTV","EQ","11-Sep-2018","        691.35","        697.95","        697.95","        657.40","        667.00","        666.70","        671.98","    3409869","          2291374790.10","      64373","     663572","         19.46"
"SUNTV","EQ","12-Sep-2018","        666.70","        669.00","        684.35","        655.55","        678.05","        680.35","        670.47","    2350925","          1576223048.35","      48962","     580915","         24.71"
"SUNTV","EQ","14-Sep-2018","        680.35","        682.20","        693.00","        681.00","        685.95","        687.95","        688.08","    1096951","           754786415.30","      29787","     239201","         21.81"
"SUNTV","EQ","17-Sep-2018","        687.95","        685.00","        685.60","        671.25","        675.75","        674.85","        678.05","    1310606","           888653136.45","      46097","     370092","         28.24"
"SUNTV","EQ","18-Sep-2018","        674.85","        678.55","        685.45","        670.25","        673.90","        672.50","        679.09","     918190","           623529676.90","      24547","     228325","         24.87"
"SUNTV","EQ","19-Sep-2018","        672.50","        683.70","        683.70","        649.10","        656.30","        655.15","        659.33","    1840229","          1213321877.90","      38831","     857383","         46.59"
"SUNTV","EQ","21-Sep-2018","        655.15","        660.20","        670.00","        557.00","        662.15","        664.10","        645.68","    2013841","          1300305025.95","      35609","     641569","         31.86"
