"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TAINWALCHM","EQ","30-Aug-2018","         90.00","         90.00","         92.00","         90.00","         90.00","         90.00","         90.74","        301","               27311.70","          7","        301","        100.00"
"TAINWALCHM","EQ","31-Aug-2018","         90.00","         90.00","         97.00","         90.00","         97.00","         94.85","         92.74","       3385","              313914.55","         39","       3243","         95.81"
"TAINWALCHM","EQ","03-Sep-2018","         94.85","         97.00","         97.00","         90.60","         93.05","         93.05","         94.57","        581","               54942.65","         18","        429","         73.84"
"TAINWALCHM","EQ","04-Sep-2018","         93.05","         90.50","         95.40","         90.40","         94.80","         92.60","         92.35","       3673","              339206.00","         65","       1628","         44.32"
"TAINWALCHM","EQ","05-Sep-2018","         92.60","         95.90","         95.90","         91.25","         91.50","         92.20","         91.32","        222","               20272.40","          6","        211","         95.05"
"TAINWALCHM","EQ","06-Sep-2018","         92.20","         86.70","         94.70","         86.00","         93.45","         93.45","         91.58","       2526","              231333.05","         19","       1370","         54.24"
"TAINWALCHM","EQ","07-Sep-2018","         93.45","         90.15","         94.00","         90.15","         93.85","         93.85","         91.03","         65","                5916.75","          3","         65","        100.00"
"TAINWALCHM","EQ","10-Sep-2018","         93.85","         93.50","         93.50","         90.20","         93.30","         93.30","         91.35","       1676","              153099.00","         14","       1410","         84.13"
"TAINWALCHM","EQ","11-Sep-2018","         93.30","         93.15","         93.15","         89.00","         89.00","         89.25","         89.54","         85","                7610.75","          9","         75","         88.24"
"TAINWALCHM","EQ","12-Sep-2018","         89.25","         89.25","         89.25","         89.00","         89.25","         89.25","         89.21","        850","               75831.75","          4","        850","        100.00"
"TAINWALCHM","EQ","14-Sep-2018","         89.25","         89.50","         92.50","         87.00","         91.95","         87.65","         89.70","        539","               48348.90","         15","        372","         69.02"
"TAINWALCHM","EQ","17-Sep-2018","         87.65","         90.00","         91.00","         86.05","         90.95","         90.95","         88.81","       2551","              226543.30","         10","       2347","         92.00"
"TAINWALCHM","EQ","18-Sep-2018","         90.95","         88.40","         92.95","         88.00","         88.00","         88.00","         90.88","        735","               66793.60","         11","        635","         86.39"
"TAINWALCHM","EQ","19-Sep-2018","         88.00","         87.00","         88.10","         86.00","         88.00","         86.45","         86.83","       1984","              172266.20","         28","       1869","         94.20"
"TAINWALCHM","EQ","21-Sep-2018","         86.45","         92.00","         92.00","         80.00","         85.00","         82.80","         84.19","       1397","              117608.50","         43","       1306","         93.49"
"TAINWALCHM","EQ","24-Sep-2018","         82.80","         78.85","         84.50","         75.65","         76.05","         78.05","         78.51","       1528","              119958.60","         42","        768","         50.26"
"TAINWALCHM","EQ","25-Sep-2018","         78.05","         78.05","         78.05","         73.00","         77.95","         77.95","         75.99","        402","               30549.15","         22","        402","        100.00"
"TAINWALCHM","EQ","26-Sep-2018","         77.95","         77.35","         84.40","         76.90","         81.00","         82.50","         80.47","        967","               77812.30","         34","        553","         57.19"
"TAINWALCHM","EQ","27-Sep-2018","         82.50","         79.00","         83.25","         78.00","         83.00","         83.00","         78.81","        198","               15604.25","         11","        183","         92.42"
"TAINWALCHM","EQ","28-Sep-2018","         83.00","         77.00","         91.30","         77.00","         91.00","         89.50","         89.76","       8414","              755233.10","         77","       7121","         84.63"
"TAINWALCHM","EQ","01-Oct-2018","         89.50","         89.00","         89.50","         82.00","         89.35","         85.45","         86.32","       1771","              152881.40","         26","       1115","         62.96"
"TAINWALCHM","EQ","03-Oct-2018","         85.45","         93.90","         93.90","         83.25","         85.55","         85.05","         86.96","       1872","              162796.45","         69","       1206","         64.42"
"TAINWALCHM","EQ","04-Oct-2018","         85.05","         83.00","         91.75","         81.50","         83.00","         85.75","         88.67","      16963","             1504154.00","        207","      10544","         62.16"
"TAINWALCHM","EQ","05-Oct-2018","         85.75","         90.00","         90.00","         81.05","         87.35","         84.75","         84.96","        897","               76206.00","         23","        477","         53.18"
"TAINWALCHM","EQ","08-Oct-2018","         84.75","         86.00","         88.00","         77.85","         84.00","         81.25","         82.13","       1546","              126970.10","         53","       1056","         68.31"
"TAINWALCHM","EQ","09-Oct-2018","         81.25","         83.15","         83.15","         75.00","         76.00","         76.75","         78.46","       4309","              338065.50","         52","       2760","         64.05"
"TAINWALCHM","EQ","10-Oct-2018","         76.75","         79.00","         87.80","         78.00","         85.00","         85.95","         80.49","       1507","              121298.05","         35","       1341","         88.98"
"TAINWALCHM","EQ","11-Oct-2018","         85.95","         84.50","         84.50","         78.10","         81.10","         81.10","         81.54","        150","               12230.60","         21","        126","         84.00"
"TAINWALCHM","EQ","12-Oct-2018","         81.10","         81.10","         86.75","         81.10","         86.40","         82.50","         83.72","       1878","              157218.45","         11","        601","         32.00"
"TAINWALCHM","EQ","15-Oct-2018","         82.50","         86.30","         89.95","         82.05","         88.00","         88.00","         85.64","       2869","              245691.20","         59","       1616","         56.33"
"TAINWALCHM","EQ","16-Oct-2018","         88.00","         87.00","         89.80","         87.00","         89.80","         89.20","         87.81","        951","               83506.90","         17","        949","         99.79"
"TAINWALCHM","EQ","17-Oct-2018","         89.20","         91.00","         91.00","         85.65","         90.00","         90.00","         88.80","       3248","              288424.00","         30","       1607","         49.48"
"TAINWALCHM","EQ","19-Oct-2018","         90.00","         88.00","         88.00","         83.00","         87.80","         86.50","         86.54","       1558","              134830.95","         11","         51","          3.27"
"TAINWALCHM","EQ","22-Oct-2018","         86.50","         85.00","         89.95","         81.40","         88.05","         87.95","         86.93","        591","               51377.50","         26","        366","         61.93"
"TAINWALCHM","EQ","23-Oct-2018","         87.95","         87.95","         88.00","         83.05","         85.00","         85.00","         85.41","        252","               21523.35","          5","        151","         59.92"
"TAINWALCHM","EQ","25-Oct-2018","         85.00","         84.00","         84.00","         77.50","         79.00","         77.60","         79.22","       1265","              100209.05","         26","       1000","         79.05"
"TAINWALCHM","EQ","26-Oct-2018","         77.60","         84.60","         84.60","         78.10","         81.00","         81.00","         81.07","        643","               52126.05","         29","        479","         74.49"
"TAINWALCHM","EQ","29-Oct-2018","         81.00","         79.55","         88.70","         78.05","         80.05","         80.05","         79.25","        734","               58166.35","         21","        690","         94.01"
"TAINWALCHM","EQ","30-Oct-2018","         80.05","         78.05","         81.00","         78.05","         79.50","         79.50","         79.71","        311","               24788.45","         13","        256","         82.32"
"TAINWALCHM","EQ","31-Oct-2018","         79.50","         80.00","         82.85","         77.50","         79.00","         80.90","         80.57","       1052","               84759.50","         27","        829","         78.80"
"TAINWALCHM","EQ","01-Nov-2018","         80.90","         84.95","         84.95","         81.00","         82.00","         81.50","         83.11","        195","               16206.90","         11","        149","         76.41"
"TAINWALCHM","EQ","02-Nov-2018","         81.50","         87.00","         87.90","         83.10","         84.35","         84.35","         85.68","       1090","               93387.25","         40","        605","         55.50"
"TAINWALCHM","EQ","05-Nov-2018","         84.35","         84.35","         89.95","         84.35","         88.95","         87.95","         87.38","       1622","              141736.10","         18","        422","         26.02"
"TAINWALCHM","EQ","06-Nov-2018","         87.95","         90.50","         90.50","         82.50","         87.00","         84.05","         84.04","        171","               14371.00","         14","        151","         88.30"
"TAINWALCHM","EQ","07-Nov-2018","         84.05","         88.80","         88.80","         87.00","         87.00","         87.75","         87.74","         51","                4474.80","          6","         51","        100.00"
"TAINWALCHM","EQ","09-Nov-2018","         87.75","         90.00","         90.00","         90.00","         90.00","         90.00","         90.00","          5","                 450.00","          1","          5","        100.00"
"TAINWALCHM","EQ","12-Nov-2018","         90.00","         91.00","         91.00","         82.45","         82.45","         85.60","         87.79","       2053","              180239.05","         42","       1496","         72.87"
"TAINWALCHM","EQ","13-Nov-2018","         85.60","         92.95","         92.95","         82.50","         86.85","         86.85","         85.14","       1362","              115964.15","         32","       1079","         79.22"
"TAINWALCHM","EQ","14-Nov-2018","         86.85","         85.00","         92.00","         83.00","         85.00","         85.40","         90.48","       1662","              150371.50","         42","       1502","         90.37"
"TAINWALCHM","EQ","15-Nov-2018","         85.40","         85.55","         86.00","         85.55","         86.00","         86.00","         85.85","         30","                2575.50","          3","         20","         66.67"
"TAINWALCHM","EQ","16-Nov-2018","         86.00","         88.00","         91.90","         84.10","         91.50","         90.60","         88.00","       4831","              425131.60","         48","       2264","         46.86"
"TAINWALCHM","EQ","19-Nov-2018","         90.60","         93.95","         93.95","         86.90","         87.95","         87.90","         88.12","       2457","              216510.15","         32","       1280","         52.10"
"TAINWALCHM","EQ","20-Nov-2018","         87.90","         88.85","         88.85","         83.35","         88.00","         88.00","         84.94","        346","               29387.90","         17","        200","         57.80"
"TAINWALCHM","EQ","21-Nov-2018","         88.00","         85.00","         85.45","         82.70","         84.50","         84.30","         84.16","       4176","              351437.00","         43","       1734","         41.52"
"TAINWALCHM","EQ","22-Nov-2018","         84.30","         86.80","         87.00","         84.00","         84.05","         84.05","         86.23","       1905","              164265.40","         23","       1559","         81.84"
"TAINWALCHM","EQ","26-Nov-2018","         84.05","         86.90","         88.00","         84.10","         84.10","         84.10","         85.88","       2123","              182320.95","         23","       1902","         89.59"
"TAINWALCHM","EQ","27-Nov-2018","         84.10","         82.25","         84.00","         82.25","         84.00","         84.00","         83.84","        110","                9222.50","          4","        110","        100.00"
"TAINWALCHM","EQ","28-Nov-2018","         84.00","         84.50","         84.50","         81.50","         82.00","         82.00","         82.06","        770","               63189.00","          9","        540","         70.13"
"TAINWALCHM","EQ","29-Nov-2018","         82.00","         81.00","         85.95","         81.00","         81.25","         81.25","         81.48","        306","               24932.70","          8","        215","         70.26"
"TAINWALCHM","EQ","30-Nov-2018","         81.25","         81.25","         84.95","         67.50","         70.50","         71.60","         72.67","      42203","             3066868.05","        452","      25215","         59.75"
"TAINWALCHM","EQ","03-Dec-2018","         71.60","         77.95","         77.95","         70.60","         73.00","         73.00","         72.87","       4953","              360908.25","        136","       3400","         68.65"
"TAINWALCHM","EQ","04-Dec-2018","         73.00","         72.45","         75.00","         71.10","         75.00","         73.85","         73.78","       4164","              307202.50","         37","       2798","         67.20"
"TAINWALCHM","EQ","05-Dec-2018","         73.85","         76.90","         84.80","         76.55","         80.15","         79.70","         80.23","      35156","             2820596.80","        540","      14880","         42.33"
"TAINWALCHM","EQ","06-Dec-2018","         79.70","         81.50","         81.50","         75.00","         79.45","         79.50","         79.35","       1246","               98871.85","         48","        664","         53.29"
"TAINWALCHM","EQ","07-Dec-2018","         79.50","         77.00","         83.00","         74.50","         82.00","         79.80","         79.71","       6656","              530553.20","         98","       5429","         81.57"
"TAINWALCHM","EQ","10-Dec-2018","         79.80","         77.00","         79.85","         75.05","         75.80","         76.25","         76.80","        878","               67432.95","         18","        682","         77.68"
"TAINWALCHM","EQ","12-Dec-2018","         76.25","         76.25","         82.00","         76.25","         78.00","         78.10","         79.60","       3397","              270415.35","         43","       1952","         57.46"
"TAINWALCHM","EQ","13-Dec-2018","         78.10","         79.80","         81.00","         79.00","         80.00","         80.00","         79.84","       2153","              171904.00","         24","       2060","         95.68"
"TAINWALCHM","EQ","14-Dec-2018","         80.00","         77.05","         79.90","         77.05","         77.30","         77.30","         77.69","        407","               31621.75","          7","        301","         73.96"
"TAINWALCHM","EQ","17-Dec-2018","         77.30","         77.20","         81.00","         74.55","         76.00","         75.20","         76.46","       5226","              399603.85","         70","       4044","         77.38"
