"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TALBROAUTO","EQ","30-Aug-2018","        288.35","        290.90","        294.50","        288.45","        292.50","        292.80","        292.10","      11505","             3360613.90","        445","       7890","         68.58"
"TALBROAUTO","EQ","31-Aug-2018","        292.80","        292.80","        295.55","        288.85","        293.85","        293.60","        293.47","       5136","             1507249.75","        195","       3625","         70.58"
"TALBROAUTO","EQ","03-Sep-2018","        293.60","        293.60","        298.70","        283.10","        285.00","        286.25","        289.72","      16430","             4760152.50","        582","      10388","         63.23"
"TALBROAUTO","EQ","04-Sep-2018","        286.25","        286.25","        289.75","        282.00","        289.00","        286.85","        285.37","      28648","             8175315.50","        631","      17859","         62.34"
"TALBROAUTO","EQ","05-Sep-2018","        286.85","        292.00","        305.80","        285.40","        304.90","        299.20","        294.54","      63382","            18668783.45","       1016","      45778","         72.23"
"TALBROAUTO","EQ","06-Sep-2018","        299.20","        300.10","        305.00","        292.10","        300.00","        302.35","        298.80","      18530","             5536768.10","        637","      10914","         58.90"
"TALBROAUTO","EQ","07-Sep-2018","        302.35","        299.70","        305.00","        297.25","        303.00","        302.50","        302.18","      22791","             6887079.30","        541","      15490","         67.97"
"TALBROAUTO","EQ","10-Sep-2018","        302.50","        303.90","        307.00","        295.00","        296.00","        295.50","        299.61","      13069","             3915582.80","        496","       6282","         48.07"
"TALBROAUTO","EQ","11-Sep-2018","        295.50","        298.75","        298.75","        291.95","        292.00","        292.30","        294.07","       5668","             1666780.40","        257","       3670","         64.75"
"TALBROAUTO","EQ","12-Sep-2018","        292.30","        293.95","        294.00","        281.00","        286.00","        287.90","        286.37","      15555","             4454440.35","        422","       9232","         59.35"
"TALBROAUTO","EQ","14-Sep-2018","        287.90","        291.80","        302.10","        289.15","        295.00","        294.05","        296.22","      13484","             3994230.70","        697","       5441","         40.35"
"TALBROAUTO","EQ","17-Sep-2018","        294.05","        290.00","        293.65","        287.50","        290.95","        291.00","        291.41","       8665","             2525030.25","        328","       4814","         55.56"
"TALBROAUTO","EQ","18-Sep-2018","        291.00","        293.90","        293.90","        287.00","        287.00","        287.65","        289.68","       4736","             1371946.70","        186","       2709","         57.20"
"TALBROAUTO","EQ","19-Sep-2018","        287.65","        292.35","        292.35","        282.45","        283.50","        283.45","        284.97","       5894","             1679616.50","        340","       3153","         53.50"
"TALBROAUTO","EQ","21-Sep-2018","        283.45","        289.55","        289.55","        264.45","        276.90","        275.90","        275.51","      13061","             3598460.55","        432","       7726","         59.15"
"TALBROAUTO","EQ","24-Sep-2018","        275.90","        273.70","        279.95","        265.50","        266.80","        266.10","        272.56","      16434","             4479226.45","        844","      11963","         72.79"
"TALBROAUTO","EQ","25-Sep-2018","        266.10","        260.00","        270.85","        255.40","        260.00","        260.45","        260.43","      19447","             5064629.85","        559","      11724","         60.29"
"TALBROAUTO","EQ","26-Sep-2018","        260.45","        265.65","        267.40","        258.00","        260.50","        261.70","        262.46","       7688","             2017816.75","        520","       3589","         46.68"
"TALBROAUTO","EQ","27-Sep-2018","        261.70","        259.00","        262.00","        254.00","        254.00","        254.25","        256.35","       9196","             2357425.55","        350","       5913","         64.30"
"TALBROAUTO","EQ","28-Sep-2018","        254.25","        257.00","        257.00","        243.00","        244.00","        244.60","        248.04","      13156","             3263242.90","        555","       9480","         72.06"
"TALBROAUTO","EQ","01-Oct-2018","        244.60","        244.95","        245.00","        223.00","        244.95","        242.20","        233.23","      22503","             5248319.30","        689","      13245","         58.86"
"TALBROAUTO","EQ","03-Oct-2018","        242.20","        243.00","        252.00","        242.20","        245.00","        246.05","        246.44","      11644","             2869575.10","        366","       5614","         48.21"
