"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACAPHSG","N2","16-Jan-2020","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","        100","              100000.00","          1","        100","        100.00"
"TATACAPHSG","N6","16-Jan-2020","       1000.00","        999.97","       1000.75","        999.97","       1000.75","       1000.75","       1000.71","        200","              200142.20","          3","        200","        100.00"
"TATACAPHSG","N8","16-Jan-2020","       1000.00","       1000.00","       1002.00","       1000.00","       1000.00","       1000.00","       1000.32","        464","              464150.58","         14","        464","        100.00"
"TATACAPHSG","NA","16-Jan-2020","       1000.00","       1000.40","       1000.40","        999.99","       1000.00","       1000.00","       1000.01","       3916","             3916025.65","         61","       3913","         99.92"
"TATACAPHSG","N2","17-Jan-2020","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","        200","              200000.00","          2","        200","        100.00"
"TATACAPHSG","N6","17-Jan-2020","       1000.75","       1000.75","       1000.75","       1000.00","       1000.00","       1000.00","       1000.00","        161","              161000.75","         10","        161","        100.00"
"TATACAPHSG","N8","17-Jan-2020","       1000.00","       1002.40","       1002.40","       1000.20","       1002.00","       1002.00","       1001.31","        891","              892163.10","         19","        890","         99.89"
"TATACAPHSG","NA","17-Jan-2020","       1000.00","        992.25","       1000.00","        992.25","        999.99","        999.99","        998.27","        895","              893447.60","          7","        495","         55.31"
"TATACAPHSG","NB","17-Jan-2020","       1000.00","       1002.99","       1002.99","        999.00","       1001.45","       1001.16","       1001.87","        333","              333622.90","         21","        333","        100.00"
"TATACAPHSG","N6","20-Jan-2020","       1000.00","        999.89","        999.89","        997.00","        997.00","        997.00","        997.21","        350","              349022.25","         20","        350","        100.00"
"TATACAPHSG","NA","20-Jan-2020","        999.99","       1000.00","       1001.15","        996.50","        999.97","        999.97","        997.17","        996","              993181.06","          9","        963","         96.69"
"TATACAPHSG","NB","20-Jan-2020","       1001.16","       1001.00","       1001.00","       1001.00","       1001.00","       1001.00","       1001.00","         25","               25025.00","          1","         25","        100.00"
"TATACAPHSG","N2","21-Jan-2020","       1000.00","        997.20","        997.20","        995.00","        995.00","        995.00","        995.22","        200","              199044.00","          3","        200","        100.00"
"TATACAPHSG","N4","21-Jan-2020","       1000.00","       1002.50","       1002.50","       1002.00","       1002.00","       1002.00","       1002.02","        140","              140282.50","          4","        140","        100.00"
"TATACAPHSG","N6","21-Jan-2020","        997.00","        999.00","        999.00","        998.00","        998.00","        998.00","        998.03","       1420","             1417205.00","         16","       1418","         99.86"
