"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TFCILTD","EQ","30-Aug-2018","        143.50","        143.65","        143.90","        143.25","        143.50","        143.55","        143.50","      38676","             5550168.45","        412","      33069","         85.50"
"TFCILTD","EQ","31-Aug-2018","        143.55","        143.60","        147.95","        143.60","        146.70","        146.75","        146.97","     388495","            57097434.40","       1535","     273281","         70.34"
"TFCILTD","EQ","03-Sep-2018","        146.75","        146.55","        147.30","        145.25","        145.50","        145.45","        145.96","      84085","            12273049.00","        395","      71152","         84.62"
"TFCILTD","EQ","04-Sep-2018","        145.45","        145.35","        146.30","        144.20","        144.25","        144.55","        145.23","      69011","            10022805.95","        386","      49826","         72.20"
"TFCILTD","EQ","05-Sep-2018","        144.55","        144.10","        144.85","        143.15","        143.25","        143.50","        143.77","      96199","            13830329.05","        451","      62451","         64.92"
"TFCILTD","EQ","06-Sep-2018","        143.50","        143.75","        144.75","        142.70","        144.10","        144.25","        143.50","     117739","            16895922.65","        480","      97326","         82.66"
"TFCILTD","EQ","07-Sep-2018","        144.25","        143.80","        145.00","        143.80","        145.00","        144.70","        144.59","      44282","             6402759.90","        387","      25248","         57.02"
"TFCILTD","EQ","10-Sep-2018","        144.70","        143.55","        144.70","        143.10","        143.50","        143.25","        143.35","      58541","             8391561.35","        292","      49686","         84.87"
"TFCILTD","EQ","11-Sep-2018","        143.25","        143.80","        144.50","        140.10","        140.70","        141.10","        141.68","     166833","            23637528.50","        509","     143826","         86.21"
"TFCILTD","EQ","12-Sep-2018","        141.10","        141.85","        142.50","        137.60","        141.90","        140.95","        139.97","     431716","            60427410.65","       3411","     202765","         46.97"
"TFCILTD","EQ","14-Sep-2018","        140.95","        141.25","        141.80","        138.65","        139.35","        139.00","        139.67","      83691","            11688829.95","        592","      57751","         69.01"
"TFCILTD","EQ","17-Sep-2018","        139.00","        138.90","        139.30","        137.50","        139.15","        138.95","        138.18","     107176","            14809093.50","        395","      87495","         81.64"
"TFCILTD","EQ","18-Sep-2018","        138.95","        138.10","        138.80","        138.10","        138.35","        138.30","        138.36","      66988","             9268371.45","        325","      51179","         76.40"
"TFCILTD","EQ","19-Sep-2018","        138.30","        138.35","        139.00","        138.20","        138.40","        138.65","        138.38","     136092","            18833038.85","        374","     118602","         87.15"
"TFCILTD","EQ","21-Sep-2018","        138.65","        140.00","        140.00","        132.60","        133.95","        133.25","        134.25","     367075","            49278707.20","       1039","     316979","         86.35"
"TFCILTD","EQ","24-Sep-2018","        133.25","        132.05","        133.00","        129.20","        132.00","        130.65","        130.80","     223706","            29261586.65","        769","     189408","         84.67"
"TFCILTD","EQ","25-Sep-2018","        130.65","        130.05","        130.65","        126.00","        126.85","        127.00","        128.39","     282387","            36254648.65","       1255","     215101","         76.17"
"TFCILTD","EQ","26-Sep-2018","        127.00","        128.05","        128.85","        124.05","        124.85","        125.00","        125.82","     272916","            34339419.50","        912","     234314","         85.86"
"TFCILTD","EQ","27-Sep-2018","        125.00","        125.00","        127.05","        123.40","        126.00","        126.10","        125.74","     338685","            42584626.50","       3281","     252463","         74.54"
"TFCILTD","EQ","28-Sep-2018","        126.10","        124.80","        125.60","        118.10","        118.75","        120.75","        122.84","     493497","            60621489.35","       4318","     284963","         57.74"
"TFCILTD","EQ","01-Oct-2018","        120.75","        118.30","        125.80","        115.60","        125.00","        124.40","        119.86","     469594","            56283515.65","       4920","     314415","         66.95"
"TFCILTD","EQ","03-Oct-2018","        124.40","        125.00","        126.60","        122.55","        124.50","        124.45","        124.91","     132887","            16598373.80","        672","     115309","         86.77"
"TFCILTD","EQ","04-Oct-2018","        124.45","        123.00","        126.50","        121.70","        123.95","        124.30","        124.23","     297222","            36923947.15","       1877","     237761","         79.99"
"TFCILTD","EQ","05-Oct-2018","        124.30","        123.65","        124.30","        114.55","        118.20","        118.60","        119.96","     265644","            31866090.50","        952","     181868","         68.46"
"TFCILTD","EQ","08-Oct-2018","        118.60","        118.60","        119.80","        113.05","        119.60","        118.70","        117.32","     227441","            26682678.70","       1986","     135718","         59.67"
"TFCILTD","EQ","09-Oct-2018","        118.70","        118.30","        123.70","        116.15","        123.70","        120.75","        118.74","     174645","            20737251.90","       2583","     109507","         62.70"
"TFCILTD","EQ","10-Oct-2018","        120.75","        120.50","        126.90","        120.15","        125.05","        125.85","        124.39","     227327","            28277026.75","       6546","     138153","         60.77"
"TFCILTD","EQ","11-Oct-2018","        125.85","        123.90","        123.90","        118.55","        120.50","        120.85","        120.66","     107726","            12998623.70","       3350","      33855","         31.43"
"TFCILTD","EQ","12-Oct-2018","        120.85","        121.95","        128.70","        121.45","        128.70","        127.65","        125.15","     222841","            27888303.90","       2004","     151591","         68.03"
"TFCILTD","EQ","15-Oct-2018","        127.65","        128.70","        128.70","        125.30","        128.25","        128.30","        127.31","      37625","             4790041.20","       1263","      15130","         40.21"
