"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIMESGTY","BE","30-Aug-2018","         36.65","         35.45","         37.90","         35.45","         37.90","         36.30","         35.80","       1100","               39383.05","         13","-","-"
"TIMESGTY","BE","31-Aug-2018","         36.30","         37.00","         37.70","         35.05","         37.70","         37.70","         36.14","        451","               16300.70","          8","-","-"
"TIMESGTY","BE","03-Sep-2018","         37.70","         39.10","         39.55","         36.05","         37.95","         37.95","         38.99","       1560","               60829.75","         15","-","-"
"TIMESGTY","BE","04-Sep-2018","         37.95","         38.95","         38.95","         37.00","         37.00","         37.00","         38.88","        362","               14074.00","          7","-","-"
"TIMESGTY","BE","05-Sep-2018","         37.00","         35.85","         37.95","         35.85","         35.85","         35.85","         36.35","        946","               34388.10","         11","-","-"
"TIMESGTY","BE","06-Sep-2018","         35.85","         36.80","         37.50","         34.80","         35.00","         35.00","         36.86","         88","                3243.70","          5","-","-"
"TIMESGTY","BE","07-Sep-2018","         35.00","         35.35","         36.70","         35.35","         36.70","         36.70","         35.90","        213","                7646.75","          8","-","-"
"TIMESGTY","BE","10-Sep-2018","         36.70","         38.35","         38.40","         35.05","         35.35","         35.35","         36.98","        641","               23701.10","         11","-","-"
"TIMESGTY","BE","11-Sep-2018","         35.35","         35.05","         35.05","         35.05","         35.05","         35.05","         35.05","        100","                3505.00","          1","-","-"
"TIMESGTY","BE","12-Sep-2018","         35.05","         35.00","         36.00","         35.00","         36.00","         36.00","         35.10","        200","                7020.00","          4","-","-"
"TIMESGTY","BE","14-Sep-2018","         36.00","         36.00","         37.70","         34.50","         37.70","         37.70","         35.20","        301","               10594.25","         10","-","-"
"TIMESGTY","BE","18-Sep-2018","         37.70","         38.60","         38.60","         38.60","         38.60","         38.60","         38.60","        100","                3860.00","          1","-","-"
"TIMESGTY","BE","19-Sep-2018","         38.60","         38.15","         38.15","         38.00","         38.00","         38.00","         38.14","        218","                8314.00","          2","-","-"
"TIMESGTY","BE","21-Sep-2018","         38.00","         38.00","         38.00","         37.70","         37.70","         37.70","         37.73","        550","               20750.00","          3","-","-"
"TIMESGTY","BE","24-Sep-2018","         37.70","         35.90","         36.25","         35.90","         36.25","         36.25","         36.08","        400","               14430.00","          2","-","-"
"TIMESGTY","BE","25-Sep-2018","         36.25","         34.50","         34.60","         34.45","         34.60","         34.60","         34.52","        600","               20710.00","          5","-","-"
"TIMESGTY","BE","26-Sep-2018","         34.60","         32.90","         36.00","         32.90","         36.00","         36.00","         32.99","        620","               20451.10","          8","-","-"
"TIMESGTY","BE","27-Sep-2018","         36.00","         37.65","         37.65","         35.05","         36.85","         36.85","         36.16","        562","               20321.30","         13","-","-"
"TIMESGTY","BE","28-Sep-2018","         36.85","         35.05","         35.05","         35.05","         35.05","         35.05","         35.05","         60","                2103.00","          3","-","-"
"TIMESGTY","BE","01-Oct-2018","         35.05","         35.95","         36.70","         33.30","         36.70","         36.70","         35.70","       2180","               77826.75","         29","-","-"
"TIMESGTY","BE","03-Oct-2018","         36.70","         35.00","         35.95","         34.90","         35.95","         35.95","         35.20","        941","               33121.75","         12","-","-"
"TIMESGTY","BE","04-Oct-2018","         35.95","         34.25","         35.20","         34.20","         34.20","         34.20","         34.25","        415","               14215.25","          5","-","-"
"TIMESGTY","BE","05-Oct-2018","         34.20","         35.50","         35.50","         32.50","         34.80","         34.80","         34.89","        270","                9421.00","          3","-","-"
"TIMESGTY","BE","09-Oct-2018","         34.80","         34.45","         34.50","         33.15","         34.00","         33.90","         33.95","        467","               15855.75","         13","-","-"
"TIMESGTY","BE","11-Oct-2018","         33.90","         33.10","         33.10","         33.10","         33.10","         33.10","         33.10","        151","                4998.10","          3","-","-"
"TIMESGTY","BE","12-Oct-2018","         33.10","         34.65","         34.65","         31.55","         31.80","         31.80","         31.76","        561","               17820.00","         10","-","-"
"TIMESGTY","BE","15-Oct-2018","         31.80","         33.25","         33.25","         30.80","         30.80","         30.80","         31.02","       1468","               45534.15","         12","-","-"
"TIMESGTY","EQ","17-Oct-2018","         30.80","         30.20","         31.50","         30.20","         31.50","         31.50","         30.31","        452","               13700.60","          4","        452","        100.00"
"TIMESGTY","EQ","19-Oct-2018","         31.50","         32.85","         32.85","         30.00","         30.05","         30.75","         30.42","       2130","               64785.40","         26","       1830","         85.92"
"TIMESGTY","EQ","22-Oct-2018","         30.75","         30.75","         30.75","         29.25","         29.95","         29.95","         29.69","        494","               14666.15","          9","        494","        100.00"
"TIMESGTY","EQ","23-Oct-2018","         29.95","         31.40","         31.40","         28.50","         28.50","         28.50","         29.80","       1125","               33523.10","         11","        931","         82.76"
"TIMESGTY","EQ","24-Oct-2018","         28.50","         27.20","         29.45","         27.10","         27.25","         27.25","         27.29","       1289","               35180.60","         10","       1239","         96.12"
"TIMESGTY","EQ","25-Oct-2018","         27.25","         27.20","         28.45","         27.05","         27.05","         27.30","         27.23","        620","               16880.00","          6","        620","        100.00"
"TIMESGTY","EQ","26-Oct-2018","         27.30","         28.60","         28.60","         27.10","         28.55","         28.55","         28.08","        300","                8423.50","          6","        210","         70.00"
"TIMESGTY","EQ","29-Oct-2018","         28.55","         28.00","         28.95","         27.40","         28.90","         28.20","         28.33","       2640","               74799.75","         21","       2240","         84.85"
"TIMESGTY","EQ","30-Oct-2018","         28.20","         28.75","         28.85","         28.75","         28.85","         28.80","         28.78","        289","                8316.15","          9","        220","         76.12"
"TIMESGTY","EQ","31-Oct-2018","         28.80","         28.90","         28.90","         27.55","         27.55","         27.55","         28.06","        263","                7380.75","          6","        156","         59.32"
"TIMESGTY","EQ","01-Nov-2018","         27.55","         28.55","         28.75","         26.25","         26.90","         27.15","         27.04","       1491","               40322.25","         16","       1295","         86.85"
"TIMESGTY","EQ","02-Nov-2018","         27.15","         26.45","         28.35","         26.45","         26.80","         26.80","         26.79","        282","                7553.50","          7","        242","         85.82"
"TIMESGTY","EQ","05-Nov-2018","         26.80","         28.00","         28.10","         28.00","         28.10","         28.10","         28.02","       1302","               36482.20","         10","       1249","         95.93"
