"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIMKEN","EQ","30-Aug-2018","        691.15","        696.70","        720.00","        683.50","        686.00","        688.45","        701.61","      57597","            40410768.00","       3847","      21738","         37.74"
"TIMKEN","EQ","31-Aug-2018","        688.45","        692.90","        711.00","        685.95","        690.75","        692.65","        692.35","      70937","            49113203.55","       3307","      49146","         69.28"
"TIMKEN","EQ","03-Sep-2018","        692.65","        695.00","        702.90","        655.05","        660.90","        658.90","        670.32","     175209","           117446808.05","       3444","     152937","         87.29"
"TIMKEN","EQ","04-Sep-2018","        658.90","        661.00","        667.00","        629.00","        636.00","        636.75","        648.15","     100605","            65207295.25","       2722","      78567","         78.09"
"TIMKEN","EQ","05-Sep-2018","        636.75","        630.15","        641.95","        614.05","        632.05","        633.85","        629.30","      29571","            18609005.75","       1620","      16507","         55.82"
"TIMKEN","EQ","06-Sep-2018","        633.85","        637.35","        665.00","        633.00","        657.50","        660.75","        656.30","      73418","            48184303.15","       4304","      17300","         23.56"
"TIMKEN","EQ","07-Sep-2018","        660.75","        661.00","        676.55","        650.00","        670.00","        663.70","        665.32","      29125","            19377530.85","       1726","      12567","         43.15"
"TIMKEN","EQ","10-Sep-2018","        663.70","        664.00","        668.45","        652.10","        657.00","        655.00","        658.79","      11632","             7663073.95","        958","       6170","         53.04"
"TIMKEN","EQ","11-Sep-2018","        655.00","        660.35","        660.35","        645.00","        649.00","        651.20","        652.20","      10632","             6934137.95","        599","       7399","         69.59"
"TIMKEN","EQ","12-Sep-2018","        651.20","        645.15","        654.80","        635.60","        650.00","        646.90","        642.88","       9986","             6419804.95","       1078","       5157","         51.64"
"TIMKEN","EQ","14-Sep-2018","        646.90","        645.30","        656.75","        645.25","        651.00","        652.50","        651.66","       9786","             6377118.05","        713","       5429","         55.48"
"TIMKEN","EQ","17-Sep-2018","        652.50","        646.10","        663.40","        640.05","        647.00","        648.55","        652.62","      14082","             9190208.05","        792","       7012","         49.79"
"TIMKEN","EQ","18-Sep-2018","        648.55","        645.10","        657.00","        637.00","        637.00","        639.10","        645.73","       9803","             6330138.35","        703","       5073","         51.75"
"TIMKEN","EQ","19-Sep-2018","        639.10","        638.05","        655.00","        635.00","        636.00","        636.60","        642.23","      14658","             9413867.95","        995","      10494","         71.59"
"TIMKEN","EQ","21-Sep-2018","        636.60","        642.35","        649.45","        610.00","        628.00","        618.80","        624.23","      50620","            31598695.10","       4038","      40453","         79.92"
"TIMKEN","EQ","24-Sep-2018","        618.80","        618.90","        627.50","        611.00","        612.00","        618.10","        619.13","      10807","             6690918.30","       1096","       7290","         67.46"
"TIMKEN","EQ","25-Sep-2018","        618.10","        610.00","        624.70","        607.50","        609.00","        611.55","        613.94","      14629","             8981344.00","       2196","       8417","         57.54"
"TIMKEN","EQ","26-Sep-2018","        611.55","        612.00","        624.80","        597.00","        597.00","        602.10","        607.40","     101640","            61735908.85","       2811","      81469","         80.15"
"TIMKEN","EQ","27-Sep-2018","        602.10","        602.95","        604.75","        596.00","        597.65","        599.20","        599.31","       4783","             2866491.65","        598","       2916","         60.97"
"TIMKEN","EQ","28-Sep-2018","        599.20","        597.10","        604.75","        585.95","        599.90","        600.65","        599.87","      33924","            20350015.70","       1612","      30332","         89.41"
"TIMKEN","EQ","01-Oct-2018","        600.65","        595.45","        595.45","        570.10","        578.00","        580.70","        578.73","      16072","             9301350.90","        806","       9805","         61.01"
"TIMKEN","EQ","03-Oct-2018","        580.70","        588.80","        591.00","        571.00","        591.00","        584.70","        579.34","      17879","            10357938.80","       2259","       9790","         54.76"
"TIMKEN","EQ","04-Oct-2018","        584.70","        587.05","        587.05","        574.10","        574.10","        578.55","        579.08","       8254","             4779703.25","        634","       5898","         71.46"
"TIMKEN","EQ","05-Oct-2018","        578.55","        578.55","        581.65","        557.00","        557.00","        565.75","        569.88","       7357","             4192581.55","        522","       5745","         78.09"
"TIMKEN","EQ","08-Oct-2018","        565.75","        565.95","        580.00","        549.00","        559.00","        553.50","        556.68","      15639","             8705848.90","       1050","      10528","         67.32"
"TIMKEN","EQ","09-Oct-2018","        553.50","        565.00","        565.35","        550.10","        557.00","        554.45","        557.06","       5480","             3052690.80","        367","       4234","         77.26"
"TIMKEN","EQ","10-Oct-2018","        554.45","        554.25","        565.00","        548.05","        549.00","        551.60","        558.08","      14704","             8205990.95","        642","      11354","         77.22"
"TIMKEN","EQ","11-Oct-2018","        551.60","        548.00","        560.00","        544.95","        548.20","        549.60","        551.76","       7754","             4278336.25","        460","       5364","         69.18"
"TIMKEN","EQ","12-Oct-2018","        549.60","        550.55","        563.50","        548.00","        560.00","        556.60","        558.45","       8102","             4524566.60","        532","       5157","         63.65"
"TIMKEN","EQ","15-Oct-2018","        556.60","        562.10","        564.65","        550.60","        560.00","        559.60","        557.03","      19461","            10840271.65","        542","      16879","         86.73"
"TIMKEN","EQ","16-Oct-2018","        559.60","        562.95","        582.00","        553.00","        558.00","        559.10","        565.94","      36260","            20521150.80","       1908","      25200","         69.50"
"TIMKEN","EQ","17-Oct-2018","        559.10","        560.00","        571.30","        545.00","        548.00","        549.70","        551.48","      28879","            15926255.75","        814","      26012","         90.07"
"TIMKEN","EQ","19-Oct-2018","        549.70","        555.00","        555.00","        540.00","        545.70","        545.85","        545.54","       8648","             4717850.10","        793","       5920","         68.46"
"TIMKEN","EQ","22-Oct-2018","        545.85","        546.95","        559.90","        531.80","        535.00","        537.10","        542.32","       7226","             3918828.70","        463","       5791","         80.14"
"TIMKEN","EQ","23-Oct-2018","        537.10","        542.00","        542.00","        530.65","        535.00","        534.90","        536.29","       5793","             3106712.70","        540","       4172","         72.02"
"TIMKEN","EQ","24-Oct-2018","        534.90","        534.00","        542.00","        530.00","        536.05","        535.75","        534.53","       6793","             3631089.00","        570","       3754","         55.26"
"TIMKEN","EQ","25-Oct-2018","        535.75","        535.75","        536.00","        525.50","        528.00","        529.15","        530.25","       7721","             4094042.25","        710","       6168","         79.89"
"TIMKEN","EQ","26-Oct-2018","        529.15","        525.55","        528.00","        517.10","        518.00","        518.60","        520.28","       8696","             4524354.05","        886","       5994","         68.93"
"TIMKEN","EQ","29-Oct-2018","        518.60","        517.00","        522.75","        512.20","        514.00","        514.70","        516.61","      12369","             6389924.65","        856","       8612","         69.63"
"TIMKEN","EQ","30-Oct-2018","        514.70","        518.00","        519.95","        511.00","        515.00","        513.40","        514.46","      28423","            14622502.55","       2555","      22199","         78.10"
"TIMKEN","EQ","31-Oct-2018","        513.40","        512.00","        529.75","        512.00","        525.00","        523.60","        521.85","      46267","            24144623.00","       1714","      37581","         81.23"
"TIMKEN","EQ","01-Nov-2018","        523.60","        528.45","        531.95","        517.00","        520.00","        520.55","        524.50","      14646","             7681851.90","       1630","       9870","         67.39"
"TIMKEN","EQ","02-Nov-2018","        520.55","        523.40","        538.80","        522.05","        523.85","        527.10","        529.16","      66099","            34976934.00","       1703","      51439","         77.82"
"TIMKEN","EQ","05-Nov-2018","        527.10","        530.00","        540.00","        522.00","        522.10","        526.45","        531.27","      15419","             8191685.85","       2706","      10104","         65.53"
"TIMKEN","EQ","06-Nov-2018","        526.45","        527.00","        539.90","        525.00","        530.00","        529.80","        533.36","      26409","            14085430.65","       1178","      18935","         71.70"
"TIMKEN","EQ","07-Nov-2018","        529.80","        534.90","        536.95","        530.00","        534.00","        533.75","        533.91","       3548","             1894327.20","        204","       3081","         86.84"
"TIMKEN","EQ","09-Nov-2018","        533.75","        538.00","        538.00","        526.10","        526.10","        528.25","        530.47","      11244","             5964614.10","        878","       8909","         79.23"
"TIMKEN","EQ","12-Nov-2018","        528.25","        537.00","        537.00","        517.10","        519.90","        519.95","        526.50","      22359","            11771944.80","       1210","      15738","         70.39"
"TIMKEN","EQ","13-Nov-2018","        519.95","        519.95","        525.05","        512.00","        518.00","        521.20","        518.87","       8484","             4402113.30","       1170","       5331","         62.84"
"TIMKEN","EQ","14-Nov-2018","        521.20","        518.05","        534.05","        517.00","        519.15","        518.25","        522.99","      79297","            41471530.15","       1766","      59088","         74.51"
"TIMKEN","EQ","15-Nov-2018","        518.25","        519.10","        538.00","        519.00","        525.00","        524.65","        525.45","      52167","            27411076.65","        955","      45223","         86.69"
"TIMKEN","EQ","16-Nov-2018","        524.65","        520.75","        530.00","        515.00","        525.05","        527.80","        526.83","      20937","            11030244.10","        728","      16766","         80.08"
"TIMKEN","EQ","19-Nov-2018","        527.80","        527.05","        529.35","        523.35","        527.00","        526.55","        527.23","       8384","             4420315.95","        310","       7078","         84.42"
"TIMKEN","EQ","20-Nov-2018","        526.55","        527.95","        527.95","        516.80","        520.00","        521.15","        521.44","      10425","             5436043.40","        828","       6746","         64.71"
"TIMKEN","EQ","21-Nov-2018","        521.15","        526.00","        528.00","        517.30","        519.55","        519.45","        520.85","       8829","             4598603.65","        662","       5645","         63.94"
"TIMKEN","EQ","22-Nov-2018","        519.45","        519.55","        520.00","        501.00","        505.10","        506.05","        510.00","     360249","           183728322.90","       1844","     322243","         89.45"
"TIMKEN","EQ","26-Nov-2018","        506.05","        511.05","        511.85","        502.90","        505.40","        507.00","        505.93","      17097","             8649894.85","       1087","      13339","         78.02"
"TIMKEN","EQ","27-Nov-2018","        507.00","        510.00","        526.70","        504.00","        519.00","        517.90","        519.82","     102106","            53077096.95","       6003","      84080","         82.35"
"TIMKEN","EQ","28-Nov-2018","        517.90","        522.90","        525.00","        515.00","        515.05","        517.25","        521.32","       8343","             4349413.45","        498","       5388","         64.58"
"TIMKEN","EQ","29-Nov-2018","        517.25","        517.25","        532.00","        517.25","        518.00","        521.40","        524.37","      31794","            16671718.55","       1244","      25575","         80.44"
"TIMKEN","EQ","30-Nov-2018","        521.40","        521.15","        538.95","        516.80","        528.15","        531.75","        531.85","      42213","            22450902.55","       2967","      22776","         53.95"
"TIMKEN","EQ","03-Dec-2018","        531.75","        531.75","        543.80","        531.75","        535.25","        536.10","        535.38","      11968","             6407394.80","        896","       6836","         57.12"
"TIMKEN","EQ","04-Dec-2018","        536.10","        536.75","        542.00","        517.50","        525.00","        521.55","        527.11","      20890","            11011312.90","       1304","      13900","         66.54"
"TIMKEN","EQ","05-Dec-2018","        521.55","        521.30","        522.95","        511.00","        513.00","        516.60","        515.93","       9365","             4831664.10","       1053","       5326","         56.87"
"TIMKEN","EQ","06-Dec-2018","        516.60","        515.00","        517.90","        500.75","        503.00","        501.90","        507.14","      16063","             8146233.90","       2712","      11183","         69.62"
"TIMKEN","EQ","07-Dec-2018","        501.90","        501.00","        518.40","        501.00","        508.10","        512.15","        511.82","      16599","             8495723.80","       1334","       9467","         57.03"
"TIMKEN","EQ","10-Dec-2018","        512.15","        501.30","        512.20","        500.00","        510.05","        509.70","        507.46","       8765","             4447844.40","       1469","       5603","         63.92"
"TIMKEN","EQ","11-Dec-2018","        509.70","        510.00","        528.95","        505.60","        526.90","        527.00","        520.11","      16244","             8448616.30","       1342","      12246","         75.39"
"TIMKEN","EQ","12-Dec-2018","        527.00","        535.00","        540.00","        524.00","        540.00","        536.75","        533.31","      11585","             6178371.20","        586","       9295","         80.23"
"TIMKEN","EQ","13-Dec-2018","        536.75","        535.95","        587.10","        535.95","        587.05","        583.05","        574.23","     128919","            74028525.30","       5075","      49369","         38.29"
"TIMKEN","EQ","14-Dec-2018","        583.05","        585.00","        593.45","        573.00","        582.00","        581.80","        583.76","      26128","            15252588.60","       1512","      12877","         49.28"
"TIMKEN","EQ","17-Dec-2018","        581.80","        580.00","        587.00","        570.25","        584.35","        584.10","        580.67","      13867","             8052154.20","       1641","       9909","         71.46"
"TIMKEN","EQ","18-Dec-2018","        584.10","        582.80","        591.45","        569.60","        585.95","        579.60","        579.32","      15952","             9241353.90","       1041","       8733","         54.75"
"TIMKEN","EQ","19-Dec-2018","        579.60","        585.35","        591.80","        577.05","        581.75","        581.10","        583.56","      12195","             7116470.55","        838","       6457","         52.95"
"TIMKEN","EQ","20-Dec-2018","        581.10","        582.00","        588.90","        576.00","        581.50","        582.70","        582.82","       5773","             3364600.15","        488","       3116","         53.98"
"TIMKEN","EQ","21-Dec-2018","        582.70","        582.75","        585.95","        563.00","        570.00","        567.65","        573.10","       9528","             5460526.20","        858","       5880","         61.71"
"TIMKEN","EQ","24-Dec-2018","        567.65","        563.00","        572.70","        545.00","        545.20","        545.90","        555.48","      15389","             8548285.85","       1681","       8997","         58.46"
"TIMKEN","EQ","26-Dec-2018","        545.90","        549.00","        565.10","        530.30","        547.00","        548.65","        550.27","      15592","             8579761.85","       1484","       4800","         30.79"
"TIMKEN","EQ","27-Dec-2018","        548.65","        548.00","        563.00","        548.00","        559.90","        557.50","        557.29","       8460","             4714681.60","       1151","       5734","         67.78"
"TIMKEN","EQ","28-Dec-2018","        557.50","        559.40","        572.00","        556.55","        567.80","        567.65","        564.75","       8025","             4532081.55","        618","       5310","         66.17"
"TIMKEN","EQ","31-Dec-2018","        567.65","        565.45","        585.00","        564.25","        580.00","        581.00","        576.07","      14474","             8338052.60","       1136","       9757","         67.41"
"TIMKEN","EQ","01-Jan-2019","        581.00","        580.75","        617.40","        575.00","        612.10","        610.90","        609.68","      68617","            41834726.40","       3194","      15064","         21.95"
"TIMKEN","EQ","02-Jan-2019","        610.90","        610.90","        625.00","        601.00","        604.65","        605.85","        613.42","      40758","            25001582.55","       2328","      16311","         40.02"
"TIMKEN","EQ","03-Jan-2019","        605.85","        607.95","        614.85","        596.00","        596.00","        599.85","        605.53","      14298","             8657852.45","       1722","       6729","         47.06"
"TIMKEN","EQ","04-Jan-2019","        599.85","        597.55","        601.00","        588.00","        591.80","        590.75","        591.21","      11338","             6703144.75","        597","       6720","         59.27"
"TIMKEN","EQ","07-Jan-2019","        590.75","        591.10","        602.40","        585.10","        585.10","        587.00","        592.82","       6271","             3717600.20","        559","       3175","         50.63"
"TIMKEN","EQ","08-Jan-2019","        587.00","        587.00","        608.25","        579.75","        586.20","        598.50","        594.01","      16433","             9761408.35","       1169","       8092","         49.24"
"TIMKEN","EQ","09-Jan-2019","        598.50","        597.25","        598.50","        587.50","        591.05","        590.60","        591.53","      15631","             9246161.90","       1787","      11383","         72.82"
"TIMKEN","EQ","10-Jan-2019","        590.60","        588.35","        610.00","        584.95","        590.00","        590.50","        599.10","      48677","            29162620.70","       4220","      19931","         40.95"
"TIMKEN","EQ","11-Jan-2019","        590.50","        594.90","        600.00","        588.00","        591.15","        592.30","        594.37","      17560","            10437133.25","        827","      12836","         73.10"
"TIMKEN","EQ","14-Jan-2019","        592.30","        592.05","        600.95","        590.50","        595.00","        595.70","        598.40","      21719","            12996677.20","       1453","      13148","         60.54"
"TIMKEN","EQ","15-Jan-2019","        595.70","        595.05","        599.20","        577.00","        581.00","        580.75","        586.05","       9001","             5275080.00","        932","       5750","         63.88"
"TIMKEN","EQ","16-Jan-2019","        580.75","        580.75","        591.70","        575.00","        578.30","        579.00","        581.83","      10185","             5925910.70","        835","       6142","         60.30"
"TIMKEN","EQ","17-Jan-2019","        579.00","        582.00","        588.50","        569.25","        580.00","        576.20","        582.05","      22920","            13340658.50","       2093","      12481","         54.45"
"TIMKEN","EQ","18-Jan-2019","        576.20","        581.00","        584.90","        575.55","        576.00","        578.35","        581.09","       9424","             5476176.20","        738","       5138","         54.52"
"TIMKEN","EQ","21-Jan-2019","        578.35","        583.35","        585.05","        565.05","        566.30","        568.20","        572.11","       6871","             3930938.45","        800","       4094","         59.58"
"TIMKEN","EQ","22-Jan-2019","        568.20","        564.40","        565.90","        558.10","        558.10","        560.10","        561.09","      13060","             7327876.60","        561","      10418","         79.77"
