"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TINPLATE","EQ","30-Aug-2018","        201.35","        201.80","        213.60","        198.10","        206.50","        206.50","        208.27","    3683393","           767128477.30","      51002","     560338","         15.21"
"TINPLATE","EQ","31-Aug-2018","        206.50","        206.65","        209.40","        201.25","        204.85","        205.60","        205.35","    1038736","           213302070.70","      16452","     190319","         18.32"
"TINPLATE","EQ","03-Sep-2018","        205.60","        205.80","        209.90","        202.65","        203.85","        203.80","        206.21","    1018813","           210091577.65","      15013","     223952","         21.98"
"TINPLATE","EQ","04-Sep-2018","        203.80","        205.05","        205.45","        191.40","        193.40","        193.75","        198.72","     801289","           159232098.25","      14829","     247765","         30.92"
"TINPLATE","EQ","05-Sep-2018","        193.75","        191.80","        196.40","        186.25","        192.20","        192.45","        191.93","     778833","           149483326.50","      13604","     181954","         23.36"
"TINPLATE","EQ","06-Sep-2018","        192.45","        194.00","        196.45","        190.60","        192.00","        192.75","        193.61","     568937","           110150642.45","      10132","     109822","         19.30"
"TINPLATE","EQ","07-Sep-2018","        192.75","        192.75","        206.40","        191.20","        200.95","        201.35","        199.67","    1746971","           348825602.10","      27486","     303418","         17.37"
"TINPLATE","EQ","10-Sep-2018","        201.35","        201.00","        204.70","        193.50","        193.60","        194.15","        198.31","     941443","           186699559.10","      16010","     334163","         35.49"
"TINPLATE","EQ","11-Sep-2018","        194.15","        194.65","        196.70","        188.70","        189.60","        190.10","        193.33","     724724","           140112091.20","      12725","     160769","         22.18"
"TINPLATE","EQ","12-Sep-2018","        190.10","        190.00","        190.60","        181.75","        185.70","        185.70","        186.33","     654719","           121991642.05","      13935","     133534","         20.40"
"TINPLATE","EQ","14-Sep-2018","        185.70","        187.25","        192.75","        187.25","        188.90","        188.90","        189.81","     561506","           106576959.80","      13482","     123097","         21.92"
"TINPLATE","EQ","17-Sep-2018","        188.90","        187.50","        201.25","        183.70","        197.50","        196.95","        195.75","    1367553","           267700649.75","      22671","     348762","         25.50"
"TINPLATE","EQ","18-Sep-2018","        196.95","        198.30","        201.25","        192.55","        193.00","        193.10","        196.07","     597837","           117217038.90","      10772","     165358","         27.66"
"TINPLATE","EQ","19-Sep-2018","        193.10","        194.10","        198.30","        187.55","        190.70","        190.40","        192.97","     717622","           138481065.85","      12704","     133261","         18.57"
"TINPLATE","EQ","21-Sep-2018","        190.40","        193.05","        197.25","        152.55","        184.50","        184.10","        184.91","    1017603","           188164494.70","      17870","     265775","         26.12"
"TINPLATE","EQ","24-Sep-2018","        184.10","        183.50","        184.90","        172.65","        173.00","        174.05","        177.36","     432376","            76686918.85","       8621","     141697","         32.77"
"TINPLATE","EQ","25-Sep-2018","        174.05","        172.30","        175.30","        163.00","        168.70","        168.95","        169.43","     647920","           109775981.25","      11716","     134125","         20.70"
"TINPLATE","EQ","26-Sep-2018","        168.95","        170.00","        173.30","        168.05","        169.95","        170.80","        170.70","     397477","            67847530.90","       7561","      89470","         22.51"
"TINPLATE","EQ","27-Sep-2018","        170.80","        170.00","        172.80","        161.45","        163.25","        163.20","        167.52","     413059","            69196776.50","       7126","     116157","         28.12"
"TINPLATE","EQ","28-Sep-2018","        163.20","        165.00","        165.65","        146.10","        151.95","        151.60","        155.31","     596292","            92609945.90","      10747","     206619","         34.65"
"TINPLATE","EQ","01-Oct-2018","        151.60","        151.00","        153.00","        143.70","        152.25","        152.35","        149.41","     528674","            78989852.95","       9270","     105895","         20.03"
"TINPLATE","EQ","03-Oct-2018","        152.35","        151.80","        165.50","        149.05","        162.00","        163.20","        159.51","    1530451","           244117397.15","      21097","     316328","         20.67"
"TINPLATE","EQ","04-Oct-2018","        163.20","        162.25","        169.80","        158.25","        159.10","        161.45","        165.05","    1453600","           239922992.65","      24821","     296083","         20.37"
"TINPLATE","EQ","05-Oct-2018","        161.45","        161.00","        162.65","        151.60","        154.00","        153.95","        157.85","     440779","            69576319.70","       9299","     113178","         25.68"
"TINPLATE","EQ","08-Oct-2018","        153.95","        153.95","        156.35","        145.00","        148.90","        149.15","        151.14","     460868","            69654598.45","      10114","     121185","         26.29"
"TINPLATE","EQ","09-Oct-2018","        149.15","        150.00","        153.15","        147.00","        148.35","        148.70","        149.46","     404663","            60481181.35","       7537","      89998","         22.24"
"TINPLATE","EQ","10-Oct-2018","        148.70","        150.20","        158.60","        149.90","        156.80","        156.45","        155.50","     628169","            97678729.05","       9439","     124089","         19.75"
"TINPLATE","EQ","11-Oct-2018","        156.45","        146.10","        154.30","        146.10","        151.15","        151.70","        151.43","     425652","            64455949.25","       7306","     100064","         23.51"
"TINPLATE","EQ","12-Oct-2018","        151.70","        153.60","        163.00","        153.60","        158.35","        158.55","        158.63","     721715","           114484872.65","      12174","     134377","         18.62"
"TINPLATE","EQ","15-Oct-2018","        158.55","        159.20","        162.80","        158.30","        161.50","        161.40","        160.62","     305028","            48994636.05","       6068","      81098","         26.59"
"TINPLATE","EQ","16-Oct-2018","        161.40","        162.50","        167.40","        161.70","        164.05","        164.05","        164.49","     446439","            73435843.85","       8140","      96272","         21.56"
