"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TPLPLASTEH","EQ","30-Aug-2018","        338.60","        336.60","        339.80","        335.00","        337.30","        336.70","        336.57","       1141","              384023.25","         78","        883","         77.39"
"TPLPLASTEH","EQ","31-Aug-2018","        336.70","        343.95","        344.00","        331.15","        334.30","        333.15","        334.03","       2345","              783291.15","        207","       1916","         81.71"
"TPLPLASTEH","EQ","03-Sep-2018","        333.15","        334.45","        337.70","        325.00","        327.70","        327.00","        328.87","       2631","              865254.25","        141","       1920","         72.98"
"TPLPLASTEH","EQ","04-Sep-2018","        327.00","        329.70","        329.70","        320.00","        320.50","        321.60","        323.19","       4512","             1458222.20","        179","       3414","         75.66"
"TPLPLASTEH","EQ","05-Sep-2018","        321.60","        324.95","        324.95","        310.05","        320.45","        318.25","        316.41","       3841","             1215347.90","        188","       1798","         46.81"
"TPLPLASTEH","EQ","06-Sep-2018","        318.25","        321.00","        324.00","        315.40","        319.00","        320.95","        320.34","       1392","              445911.95","         82","        958","         68.82"
"TPLPLASTEH","EQ","07-Sep-2018","        320.95","        320.00","        323.95","        319.00","        319.00","        319.35","        320.58","       1007","              322827.30","         50","        811","         80.54"
"TPLPLASTEH","EQ","10-Sep-2018","        319.35","        317.05","        325.00","        317.00","        318.60","        319.45","        319.53","       1865","              595922.75","         94","       1334","         71.53"
"TPLPLASTEH","EQ","11-Sep-2018","        319.45","        319.00","        365.00","        294.00","        294.00","        298.20","        316.68","     181760","            57559843.10","       2358","      39118","         21.52"
"TPLPLASTEH","EQ","12-Sep-2018","        298.20","        305.00","        305.00","        262.10","        264.50","        266.85","        278.86","      82376","            22971415.45","       1530","      33147","         40.24"
"TPLPLASTEH","EQ","14-Sep-2018","        266.85","        269.95","        294.85","        260.25","        264.00","        264.05","        269.49","      80394","            21665430.80","       1704","      31662","         39.38"
