"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UCALFUEL","EQ","30-Aug-2018","        222.55","        221.25","        230.95","        220.05","        229.25","        229.15","        227.17","      55168","            12532312.95","       1849","      32651","         59.18"
"UCALFUEL","EQ","31-Aug-2018","        229.15","        231.85","        239.95","        230.00","        237.90","        238.20","        235.46","     113332","            26685169.80","       2875","      50737","         44.77"
"UCALFUEL","EQ","03-Sep-2018","        238.20","        239.90","        254.40","        236.65","        247.00","        246.50","        247.22","     180623","            44654286.10","       3699","      69424","         38.44"
"UCALFUEL","EQ","04-Sep-2018","        246.50","        247.90","        251.45","        242.50","        244.30","        245.65","        246.77","      76359","            18842830.70","       1810","      38791","         50.80"
"UCALFUEL","EQ","05-Sep-2018","        245.65","        245.50","        247.00","        236.05","        242.90","        243.45","        241.91","      46138","            11161029.65","       1112","      26405","         57.23"
"UCALFUEL","EQ","06-Sep-2018","        243.45","        245.00","        246.90","        242.05","        243.30","        243.30","        244.45","      25968","             6347972.40","        672","      15114","         58.20"
"UCALFUEL","EQ","07-Sep-2018","        243.30","        243.05","        247.40","        241.00","        241.20","        241.85","        243.69","      56144","            13681881.85","       1193","      32280","         57.50"
"UCALFUEL","EQ","10-Sep-2018","        241.85","        240.90","        246.00","        239.50","        241.90","        241.00","        242.58","      40520","             9829250.05","        924","      20238","         49.95"
"UCALFUEL","EQ","11-Sep-2018","        241.00","        241.00","        242.60","        235.05","        235.05","        236.30","        239.22","      33121","             7923046.40","        967","      20364","         61.48"
"UCALFUEL","EQ","12-Sep-2018","        236.30","        236.00","        236.45","        232.05","        235.20","        234.90","        234.65","      27857","             6536613.60","        830","      14252","         51.16"
"UCALFUEL","EQ","14-Sep-2018","        234.90","        237.95","        244.20","        236.05","        244.00","        243.55","        241.60","      38398","             9276816.30","        936","      22435","         58.43"
"UCALFUEL","EQ","17-Sep-2018","        243.55","        248.80","        253.40","        244.05","        251.45","        251.60","        250.54","     102739","            25740434.65","       2414","      49693","         48.37"
"UCALFUEL","EQ","18-Sep-2018","        251.60","        253.95","        255.50","        243.10","        244.90","        244.55","        246.97","     111738","            27596146.30","       2435","      63024","         56.40"
"UCALFUEL","EQ","19-Sep-2018","        244.55","        233.95","        233.95","        226.55","        229.00","        227.95","        230.53","      62979","            14518822.95","       1224","      37020","         58.78"
"UCALFUEL","EQ","21-Sep-2018","        227.95","        228.90","        228.90","        205.00","        212.95","        211.85","        216.86","      61286","            13290224.05","       1491","      32113","         52.40"
"UCALFUEL","EQ","24-Sep-2018","        211.85","        212.00","        216.75","        201.05","        203.95","        203.10","        207.16","      29091","             6026605.40","        713","      17929","         61.63"
"UCALFUEL","EQ","25-Sep-2018","        203.10","        203.90","        205.95","        196.05","        199.00","        198.95","        201.03","      27448","             5517767.70","       1028","      15040","         54.79"
"UCALFUEL","EQ","26-Sep-2018","        198.95","        201.00","        204.40","        197.00","        197.00","        198.45","        200.48","      23778","             4767075.55","       1153","       9289","         39.07"
"UCALFUEL","EQ","27-Sep-2018","        198.45","        197.10","        200.00","        193.20","        195.50","        194.35","        195.73","      24573","             4809598.75","        793","      15284","         62.20"
"UCALFUEL","EQ","28-Sep-2018","        194.35","        194.20","        195.45","        185.05","        187.50","        186.40","        189.14","      25815","             4882534.45","        760","      13934","         53.98"
"UCALFUEL","EQ","01-Oct-2018","        186.40","        185.00","        185.00","        175.15","        183.00","        182.80","        180.40","      30414","             5486779.60","        822","      17813","         58.57"
"UCALFUEL","EQ","03-Oct-2018","        182.80","        183.20","        186.35","        180.00","        183.25","        183.70","        183.15","      33700","             6172196.65","        841","      17883","         53.07"
"UCALFUEL","EQ","04-Oct-2018","        183.70","        181.00","        184.70","        180.00","        182.95","        181.70","        182.21","      12008","             2187936.20","        468","       7250","         60.38"
"UCALFUEL","EQ","05-Oct-2018","        181.70","        180.35","        182.95","        170.50","        170.50","        174.30","        176.84","      25353","             4483324.60","        742","      16574","         65.37"
"UCALFUEL","EQ","08-Oct-2018","        174.30","        172.40","        177.00","        167.65","        168.55","        169.00","        172.27","      14843","             2557056.10","        832","       8237","         55.49"
"UCALFUEL","EQ","09-Oct-2018","        169.00","        167.00","        173.15","        167.00","        171.05","        171.60","        170.89","      11625","             1986558.60","        435","       6526","         56.14"
"UCALFUEL","EQ","10-Oct-2018","        171.60","        171.15","        183.00","        171.15","        182.90","        181.85","        179.40","      21663","             3886340.30","        673","      11909","         54.97"
"UCALFUEL","EQ","11-Oct-2018","        181.85","        174.00","        182.00","        174.00","        178.25","        178.85","        178.84","      12168","             2176133.90","        460","       7204","         59.20"
"UCALFUEL","EQ","12-Oct-2018","        178.85","        176.80","        188.70","        176.80","        183.95","        183.45","        183.58","      13701","             2515258.75","        492","       8978","         65.53"
"UCALFUEL","EQ","15-Oct-2018","        183.45","        183.95","        200.00","        183.95","        195.25","        194.60","        192.30","      31211","             6002002.70","       1336","      16584","         53.14"
"UCALFUEL","EQ","16-Oct-2018","        194.60","        197.90","        198.55","        195.05","        195.25","        195.60","        197.20","       9638","             1900623.50","        451","       5134","         53.27"
"UCALFUEL","EQ","17-Oct-2018","        195.60","        196.20","        205.40","        195.10","        196.50","        196.65","        201.11","      27866","             5604252.70","        900","      13606","         48.83"
"UCALFUEL","EQ","19-Oct-2018","        196.65","        190.00","        198.80","        190.00","        191.90","        190.80","        193.30","      14989","             2897382.10","        642","       6448","         43.02"
"UCALFUEL","EQ","22-Oct-2018","        190.80","        191.00","        193.05","        186.00","        186.00","        187.05","        189.01","       8617","             1628665.90","        494","       5144","         59.70"
"UCALFUEL","EQ","23-Oct-2018","        187.05","        186.40","        186.40","        180.20","        180.40","        180.75","        182.94","      10051","             1838742.40","        416","       7118","         70.82"
"UCALFUEL","EQ","24-Oct-2018","        180.75","        182.95","        185.00","        181.05","        185.00","        184.15","        182.93","       3205","              586306.40","        262","       1612","         50.30"
"UCALFUEL","EQ","25-Oct-2018","        184.15","        185.70","        185.70","        178.35","        178.65","        179.05","        179.55","       7390","             1326895.30","        594","       2775","         37.55"
"UCALFUEL","EQ","26-Oct-2018","        179.05","        179.05","        182.95","        175.00","        176.05","        176.75","        178.47","      11988","             2139451.35","        535","       6956","         58.02"
"UCALFUEL","EQ","29-Oct-2018","        176.75","        177.20","        184.90","        177.20","        183.05","        183.35","        181.94","       8148","             1482425.80","        515","       3690","         45.29"
"UCALFUEL","EQ","30-Oct-2018","        183.35","        184.95","        188.70","        184.00","        184.05","        185.10","        186.02","       9742","             1812198.35","        489","       4829","         49.57"
"UCALFUEL","EQ","31-Oct-2018","        185.10","        184.20","        190.20","        184.20","        188.70","        189.15","        187.49","       7071","             1325709.05","        395","       3779","         53.44"
"UCALFUEL","EQ","01-Nov-2018","        189.15","        191.25","        193.00","        188.40","        189.05","        189.65","        190.65","       7246","             1381433.30","        408","       4233","         58.42"
"UCALFUEL","EQ","02-Nov-2018","        189.65","        191.85","        196.00","        190.60","        196.00","        195.10","        194.16","      17105","             3321187.35","        552","      10036","         58.67"
"UCALFUEL","EQ","05-Nov-2018","        195.10","        197.50","        201.70","        185.20","        186.80","        187.10","        190.50","      77939","            14847382.90","       1511","      41781","         53.61"
"UCALFUEL","EQ","06-Nov-2018","        187.10","        188.35","        190.35","        184.10","        184.15","        184.55","        186.91","      12777","             2388113.45","        420","       8017","         62.75"
"UCALFUEL","EQ","07-Nov-2018","        184.55","        186.70","        190.95","        186.25","        188.00","        188.20","        188.56","       5122","              965785.20","        126","       3493","         68.20"
"UCALFUEL","EQ","09-Nov-2018","        188.20","        189.95","        190.20","        183.80","        185.50","        185.80","        187.00","       9484","             1773471.65","        397","       5614","         59.19"
"UCALFUEL","EQ","12-Nov-2018","        185.80","        186.90","        188.90","        183.25","        184.00","        183.90","        185.89","       9381","             1743799.40","        388","       5667","         60.41"
"UCALFUEL","EQ","13-Nov-2018","        183.90","        183.00","        189.15","        183.00","        184.05","        185.20","        185.79","       8749","             1625505.50","        614","       3184","         36.39"
"UCALFUEL","EQ","14-Nov-2018","        185.20","        185.05","        193.00","        184.65","        186.75","        187.25","        189.36","      20504","             3882663.50","       1565","       7497","         36.56"
"UCALFUEL","EQ","15-Nov-2018","        187.25","        188.50","        189.00","        183.95","        184.00","        184.35","        185.70","       6858","             1273509.80","        270","       5333","         77.76"
"UCALFUEL","EQ","16-Nov-2018","        184.35","        188.70","        189.50","        184.00","        184.00","        186.80","        186.74","      25291","             4722840.20","        834","       6639","         26.25"
"UCALFUEL","EQ","19-Nov-2018","        186.80","        187.10","        188.70","        184.05","        184.05","        184.90","        185.18","      14397","             2666040.15","        317","       6250","         43.41"
"UCALFUEL","EQ","20-Nov-2018","        184.90","        184.50","        185.90","        181.30","        183.60","        183.25","        183.84","       8318","             1529217.40","        335","       3608","         43.38"
"UCALFUEL","EQ","21-Nov-2018","        183.25","        182.90","        184.70","        179.10","        179.15","        179.85","        180.77","      11532","             2084663.45","        553","       6793","         58.91"
"UCALFUEL","EQ","22-Nov-2018","        179.85","        180.00","        191.00","        180.00","        180.60","        180.90","        184.91","      44334","             8197968.05","       1494","      10961","         24.72"
"UCALFUEL","EQ","26-Nov-2018","        180.90","        182.00","        182.90","        177.30","        179.00","        177.80","        179.52","      10210","             1832908.80","        305","       6487","         63.54"
"UCALFUEL","EQ","27-Nov-2018","        177.80","        179.00","        181.00","        177.10","        178.55","        179.00","        178.82","      12131","             2169265.75","        426","       7799","         64.29"
"UCALFUEL","EQ","28-Nov-2018","        179.00","        179.85","        181.50","        177.10","        177.10","        177.75","        179.05","       7317","             1310084.65","        379","       3915","         53.51"
"UCALFUEL","EQ","29-Nov-2018","        177.75","        178.35","        179.90","        175.00","        177.95","        178.15","        177.73","       6477","             1151142.35","        326","       4235","         65.39"
"UCALFUEL","EQ","30-Nov-2018","        178.15","        180.50","        182.50","        177.00","        179.25","        179.95","        178.96","      17800","             3185536.00","        828","       4762","         26.75"
"UCALFUEL","EQ","03-Dec-2018","        179.95","        184.35","        184.35","        178.00","        178.75","        179.10","        179.30","       6162","             1104829.95","        367","       2827","         45.88"
"UCALFUEL","EQ","04-Dec-2018","        179.10","        180.35","        180.35","        177.00","        178.20","        177.75","        178.07","       4601","              819291.85","        245","       2772","         60.25"
