"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UJJIVANSFB","EQ","12-Dec-2019","         37.00","         58.75","         62.80","         53.05","         55.30","         55.95","         57.42","  251414527","         14435934776.90","     642222","   87916072","         34.97"
"UJJIVANSFB","EQ","13-Dec-2019","         55.95","         55.40","         55.40","         51.10","         52.55","         52.00","         52.39","   40886357","          2142050815.30","     132278","    9712168","         23.75"
"UJJIVANSFB","EQ","16-Dec-2019","         52.00","         52.00","         59.65","         51.25","         59.05","         58.45","         56.08","   75723164","          4246222746.65","     195397","   11652554","         15.39"
"UJJIVANSFB","EQ","17-Dec-2019","         58.45","         60.35","         61.10","         57.50","         58.90","         58.65","         59.63","   59177594","          3528718465.00","     150099","    8866516","         14.98"
"UJJIVANSFB","EQ","18-Dec-2019","         58.65","         58.55","         58.90","         56.75","         57.60","         57.80","         57.63","   16440516","           947515006.65","      78642","    3247997","         19.76"
"UJJIVANSFB","EQ","19-Dec-2019","         57.80","         57.10","         59.40","         56.65","         58.85","         59.10","         58.33","   16846660","           982613961.25","      76824","    4559627","         27.07"
"UJJIVANSFB","EQ","20-Dec-2019","         59.10","         58.80","         59.70","         57.60","         57.65","         58.10","         58.86","    9016461","           530697687.65","      39830","    2839215","         31.49"
"UJJIVANSFB","EQ","23-Dec-2019","         58.10","         57.75","         58.60","         56.20","         56.35","         56.40","         57.40","    6044590","           346931927.35","      39310","    1940453","         32.10"
"UJJIVANSFB","EQ","24-Dec-2019","         56.40","         56.50","         56.95","         55.30","         55.55","         55.55","         55.79","    5209932","           290640288.45","      29936","    1329320","         25.52"
"UJJIVANSFB","EQ","26-Dec-2019","         55.55","         55.55","         55.90","         53.20","         53.50","         53.60","         54.16","    6485440","           351253078.30","      31807","    2862751","         44.14"
"UJJIVANSFB","EQ","27-Dec-2019","         53.60","         53.90","         55.40","         53.15","         53.30","         53.55","         54.12","    8207009","           444198584.05","      33034","    2547129","         31.04"
"UJJIVANSFB","EQ","30-Dec-2019","         53.55","         53.40","         54.70","         53.30","         54.10","         54.05","         54.08","    5161631","           279123062.35","      22963","    1598796","         30.97"
"UJJIVANSFB","EQ","31-Dec-2019","         54.05","         54.00","         54.80","         53.75","         53.80","         53.85","         54.14","    2608305","           141216147.10","      14667","    1048641","         40.20"
"UJJIVANSFB","EQ","01-Jan-2020","         53.85","         53.85","         54.20","         52.90","         52.95","         53.05","         53.36","    3369319","           179795730.25","      13576","    1584289","         47.02"
"UJJIVANSFB","EQ","02-Jan-2020","         53.05","         53.30","         57.25","         52.90","         55.80","         55.60","         55.29","   10788226","           596509439.50","      36485","    3208500","         29.74"
"UJJIVANSFB","EQ","03-Jan-2020","         55.60","         55.60","         56.20","         54.65","         54.90","         54.90","         55.27","    3802527","           210181198.70","      13900","    1238629","         32.57"
"UJJIVANSFB","EQ","06-Jan-2020","         54.90","         54.80","         54.80","         53.00","         53.25","         53.20","         53.37","    2878675","           153642265.60","      14302","    1255990","         43.63"
"UJJIVANSFB","EQ","07-Jan-2020","         53.20","         53.50","         54.30","         53.25","         53.85","         53.60","         53.69","    2223498","           119369842.15","       9936","     792357","         35.64"
"UJJIVANSFB","EQ","08-Jan-2020","         53.60","         52.70","         54.40","         52.10","         54.00","         54.05","         53.37","    2992351","           159705855.10","      14766","    1060419","         35.44"
"UJJIVANSFB","EQ","09-Jan-2020","         54.05","         55.00","         55.00","         52.90","         53.25","         53.15","         53.59","    5424010","           290667039.00","      38713","    3399704","         62.68"
"UJJIVANSFB","EQ","10-Jan-2020","         53.15","         53.30","         53.75","         51.80","         52.20","         52.20","         52.94","    4962166","           262686119.30","      21016","    2642698","         53.26"
