"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UTINIFTETF","EQ","30-Aug-2018","       1232.00","       1232.00","       1232.00","       1232.00","       1232.00","       1232.00","       1232.00","         40","               49280.00","          2","         40","        100.00"
"UTINIFTETF","EQ","31-Aug-2018","       1232.00","       1220.05","       1224.20","       1219.80","       1224.20","       1224.20","       1220.26","         75","               91519.15","          5","         75","        100.00"
"UTINIFTETF","EQ","03-Sep-2018","       1224.20","       1227.95","       1227.95","       1213.30","       1213.30","       1214.13","       1225.42","         45","               55143.75","          8","         42","         93.33"
"UTINIFTETF","EQ","04-Sep-2018","       1214.13","       1236.00","       1256.00","       1209.95","       1209.95","       1209.95","       1217.41","         21","               25565.55","          7","         19","         90.48"
"UTINIFTETF","EQ","05-Sep-2018","       1209.95","       1215.00","       1404.00","       1151.00","       1151.00","       1178.35","       1288.56","      10610","            13671603.48","        444","       3742","         35.27"
"UTINIFTETF","EQ","06-Sep-2018","       1178.35","       1202.15","       1208.60","       1200.00","       1207.50","       1207.50","       1204.99","         81","               97604.35","         14","         64","         79.01"
"UTINIFTETF","EQ","07-Sep-2018","       1207.50","       1206.00","       1212.40","       1205.85","       1212.40","       1212.40","       1209.58","        105","              127005.60","          4","        105","        100.00"
"UTINIFTETF","EQ","10-Sep-2018","       1212.40","       1210.00","       1210.00","       1197.50","       1207.00","       1207.00","       1203.50","         12","               14442.00","          7","         12","        100.00"
"UTINIFTETF","EQ","11-Sep-2018","       1207.00","       1204.20","       1204.20","       1187.00","       1187.00","       1187.06","       1189.13","         73","               86806.75","          4","         73","        100.00"
"UTINIFTETF","EQ","12-Sep-2018","       1187.06","       1391.00","       1391.00","       1176.50","       1188.00","       1188.00","       1218.81","         35","               42658.25","          8","         26","         74.29"
"UTINIFTETF","EQ","14-Sep-2018","       1188.00","       1196.05","       1196.05","       1196.05","       1196.05","       1196.05","       1196.05","          1","                1196.05","          1","          1","        100.00"
"UTINIFTETF","EQ","17-Sep-2018","       1196.05","       1195.15","       1195.25","       1190.00","       1190.00","       1190.00","       1193.47","        190","              226760.10","         11","        190","        100.00"
"UTINIFTETF","EQ","18-Sep-2018","       1190.00","       1190.00","       1191.15","       1183.70","       1183.70","       1183.70","       1184.71","         98","              116101.15","          4","         98","        100.00"
"UTINIFTETF","EQ","19-Sep-2018","       1183.70","       1181.00","       1181.00","       1170.15","       1170.15","       1170.15","       1180.42","        110","              129845.85","          4","        100","         90.91"
"UTINIFTETF","EQ","21-Sep-2018","       1170.15","       1185.75","       1210.00","       1150.00","       1160.00","       1160.00","       1174.90","       1616","             1898630.45","         64","        834","         51.61"
"UTINIFTETF","EQ","24-Sep-2018","       1160.00","       1210.00","       1210.00","       1150.00","       1151.30","       1151.30","       1158.68","        470","              544578.80","         14","        470","        100.00"
"UTINIFTETF","EQ","25-Sep-2018","       1151.30","       1148.00","       1152.99","       1142.95","       1147.55","       1147.55","       1147.24","        221","              253540.75","         12","        210","         95.02"
"UTINIFTETF","EQ","26-Sep-2018","       1147.55","       1155.00","       1157.00","       1150.20","       1157.00","       1157.00","       1152.20","         46","               53001.20","          4","         36","         78.26"
"UTINIFTETF","EQ","27-Sep-2018","       1157.00","       1160.00","       1160.00","       1150.20","       1150.20","       1150.20","       1151.92","         61","               70267.00","          3","         51","         83.61"
"UTINIFTETF","EQ","28-Sep-2018","       1150.20","       1148.05","       1148.05","       1138.00","       1146.75","       1145.16","       1147.84","        109","              125114.35","          5","        108","         99.08"
"UTINIFTETF","EQ","01-Oct-2018","       1145.16","       1144.10","       1145.00","       1131.60","       1144.00","       1144.00","       1143.87","        379","              433527.30","          5","        370","         97.63"
"UTINIFTETF","EQ","03-Oct-2018","       1144.00","       1146.55","       1146.55","       1141.00","       1141.00","       1141.00","       1141.88","        131","              149586.55","          4","        121","         92.37"
"UTINIFTETF","EQ","04-Oct-2018","       1141.00","       1128.00","       1128.00","       1112.00","       1112.00","       1114.46","       1117.34","        407","              454756.05","         20","        403","         99.02"
"UTINIFTETF","EQ","05-Oct-2018","       1114.46","       1106.60","       1190.10","       1088.00","       1088.00","       1089.53","       1112.66","        583","              648678.10","         32","        452","         77.53"
"UTINIFTETF","EQ","08-Oct-2018","       1089.53","       1080.00","       1113.80","       1041.00","       1081.40","       1089.04","       1103.77","        146","              161150.66","         25","        122","         83.56"
"UTINIFTETF","EQ","09-Oct-2018","       1089.04","       1098.45","       1109.90","       1073.65","       1073.65","       1088.52","       1089.48","        207","              225523.25","         10","         58","         28.02"
"UTINIFTETF","EQ","10-Oct-2018","       1088.52","       1113.00","       1113.00","       1071.00","       1092.50","       1092.50","       1091.83","        107","              116826.20","         13","         98","         91.59"
"UTINIFTETF","EQ","11-Oct-2018","       1092.50","       1070.00","       1202.00","       1059.08","       1089.90","       1090.20","       1109.35","         90","               99841.88","         28","         66","         73.33"
"UTINIFTETF","EQ","12-Oct-2018","       1090.20","       1109.00","       1110.00","       1090.65","       1090.65","       1090.71","       1100.19","        172","              189232.10","          5","         86","         50.00"
"UTINIFTETF","EQ","15-Oct-2018","       1090.71","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","         16","               17760.00","          4","         16","        100.00"
"UTINIFTETF","EQ","16-Oct-2018","       1110.00","       1100.15","       1104.05","       1100.15","       1100.20","       1100.20","       1101.52","         50","               55076.00","          4","         20","         40.00"
"UTINIFTETF","EQ","17-Oct-2018","       1100.20","       1102.40","       1102.40","       1086.00","       1091.95","       1090.22","       1098.41","         46","               50526.65","         10","         26","         56.52"
"UTINIFTETF","EQ","19-Oct-2018","       1090.22","       1105.90","       1105.90","       1079.00","       1085.15","       1085.15","       1090.22","       2421","             2639426.26","         16","       2418","         99.88"
"UTINIFTETF","EQ","22-Oct-2018","       1085.15","       1096.10","       1096.10","       1096.10","       1096.10","       1096.10","       1096.10","          2","                2192.20","          1","          2","        100.00"
"UTINIFTETF","EQ","23-Oct-2018","       1096.10","       1070.00","       1070.00","       1038.90","       1058.55","       1058.55","       1052.44","        118","              124187.65","         35","         60","         50.85"
"UTINIFTETF","EQ","24-Oct-2018","       1058.55","       1079.80","       1079.80","       1077.15","       1077.15","       1077.15","       1077.29","         19","               20468.50","          2","         19","        100.00"
"UTINIFTETF","EQ","25-Oct-2018","       1077.15","       1069.50","       1073.00","       1069.50","       1073.00","       1073.00","       1071.34","         21","               22498.10","          6","         21","        100.00"
"UTINIFTETF","EQ","26-Oct-2018","       1073.00","       1060.00","       1070.95","       1047.00","       1047.00","       1048.30","       1067.10","        680","              725629.20","          9","        524","         77.06"
