"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UVSL","BE","30-Aug-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","    6476123","              613115.60","        317","-","-"
"UVSL","BE","31-Aug-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","    7900653","              713631.40","        374","-","-"
"UVSL","BE","03-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","    7330102","              714220.15","        346","-","-"
"UVSL","BE","04-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","   12250473","             1208646.20","        367","-","-"
"UVSL","BE","05-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.08","    5026774","              416452.25","        182","-","-"
"UVSL","BE","06-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","    4800566","              449479.25","        196","-","-"
"UVSL","BE","07-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","   15415920","             1435623.30","        507","-","-"
"UVSL","BE","10-Sep-2018","          0.10","          0.10","          0.15","          0.05","          0.10","          0.10","          0.10","   95356830","             9525038.90","       1598","-","-"
"UVSL","BE","11-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","   21253618","             2114018.70","        546","-","-"
"UVSL","BE","12-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","    7488614","              721775.00","        244","-","-"
"UVSL","BE","14-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","   10390470","             1023706.85","        353","-","-"
"UVSL","BE","17-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","    8476087","              826646.15","        338","-","-"
"UVSL","BE","18-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.10","    5949125","              573716.80","        252","-","-"
"UVSL","BE","19-Sep-2018","          0.10","          0.05","          0.10","          0.05","          0.10","          0.10","          0.10","    4262735","              406809.15","        236","-","-"
"UVSL","BE","21-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","   14925583","             1394505.05","        335","-","-"
"UVSL","BE","24-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","    2892652","              269753.75","        213","-","-"
"UVSL","BE","25-Sep-2018","          0.10","          0.10","          0.10","          0.05","          0.10","          0.10","          0.09","    5990452","              568009.70","        283","-","-"
