"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VENUSREM","EQ","30-Aug-2018","         56.75","         56.80","         57.40","         55.20","         55.25","         55.65","         56.16","      18627","             1046167.30","        433","      10907","         58.55"
"VENUSREM","EQ","31-Aug-2018","         55.65","         57.55","         58.40","         55.80","         56.00","         56.25","         57.02","      40993","             2337578.35","        989","      18282","         44.60"
"VENUSREM","EQ","03-Sep-2018","         56.25","         56.25","         59.40","         56.20","         57.95","         57.60","         58.06","      50086","             2907991.50","        743","      25283","         50.48"
"VENUSREM","EQ","04-Sep-2018","         57.60","         57.95","         58.05","         55.50","         56.15","         56.05","         56.78","      16920","              960649.70","        414","       9546","         56.42"
"VENUSREM","EQ","05-Sep-2018","         56.05","         56.60","         57.00","         53.30","         54.30","         54.55","         54.96","      20870","             1146920.65","        564","      11691","         56.02"
"VENUSREM","EQ","06-Sep-2018","         54.55","         54.45","         56.35","         54.45","         55.50","         55.75","         55.78","      18402","             1026462.80","        314","       7835","         42.58"
"VENUSREM","EQ","07-Sep-2018","         55.75","         55.55","         56.05","         52.65","         54.80","         54.90","         54.83","      16528","              906224.65","        363","       8737","         52.86"
"VENUSREM","EQ","10-Sep-2018","         54.90","         54.70","         59.40","         54.00","         57.35","         56.95","         57.53","      73584","             4233470.30","       1338","      26069","         35.43"
"VENUSREM","EQ","11-Sep-2018","         56.95","         57.00","         60.55","         55.80","         56.15","         56.35","         58.41","      67768","             3958195.00","       1371","      22196","         32.75"
"VENUSREM","EQ","12-Sep-2018","         56.35","         56.05","         57.75","         54.35","         55.10","         55.35","         55.49","      19876","             1102994.65","        749","       8905","         44.80"
"VENUSREM","EQ","14-Sep-2018","         55.35","         56.10","         57.70","         54.20","         55.20","         55.45","         56.11","      13729","              770382.30","        362","       6483","         47.22"
"VENUSREM","EQ","17-Sep-2018","         55.45","         54.55","         56.80","         54.55","         55.75","         55.65","         55.60","      16814","              934938.65","        437","       7864","         46.77"
