"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VHL","EQ","30-Aug-2018","       2756.00","       2798.80","       2800.05","       2745.00","       2745.00","       2745.55","       2767.22","        333","              921483.05","         84","        233","         69.97"
"VHL","EQ","31-Aug-2018","       2745.55","       2703.00","       2777.95","       2703.00","       2750.00","       2754.55","       2749.12","        340","              934701.70","         85","        301","         88.53"
"VHL","EQ","03-Sep-2018","       2754.55","       2785.00","       2785.00","       2723.00","       2750.00","       2756.10","       2744.40","        313","              858998.00","         83","        251","         80.19"
"VHL","EQ","04-Sep-2018","       2756.10","       2725.00","       2755.00","       2650.00","       2655.00","       2703.75","       2717.00","        504","             1369367.40","        142","        461","         91.47"
"VHL","EQ","05-Sep-2018","       2703.75","       2762.00","       2762.00","       2680.00","       2724.95","       2694.80","       2702.00","        676","             1826550.15","        144","        623","         92.16"
"VHL","EQ","06-Sep-2018","       2694.80","       2652.00","       2748.00","       2652.00","       2724.60","       2706.75","       2706.23","         92","              248973.35","         31","         78","         84.78"
"VHL","EQ","07-Sep-2018","       2706.75","       2700.05","       2749.00","       2666.15","       2666.15","       2708.45","       2709.91","        277","              750645.65","         66","        210","         75.81"
"VHL","EQ","10-Sep-2018","       2708.45","       2748.00","       2798.80","       2650.00","       2654.05","       2670.85","       2688.27","        427","             1147891.25","        113","        338","         79.16"
"VHL","EQ","11-Sep-2018","       2670.85","       2621.00","       2727.80","       2621.00","       2660.00","       2658.20","       2665.84","        209","              557159.65","         82","        159","         76.08"
"VHL","EQ","12-Sep-2018","       2658.20","       2660.00","       2699.90","       2650.00","       2660.00","       2658.85","       2668.04","        170","              453566.80","         62","        130","         76.47"
"VHL","EQ","14-Sep-2018","       2658.85","       2660.15","       2700.00","       2608.00","       2644.00","       2618.85","       2642.64","        594","             1569727.60","        213","        478","         80.47"
"VHL","EQ","17-Sep-2018","       2618.85","       2618.85","       2659.75","       2615.00","       2630.00","       2641.70","       2632.79","        178","              468636.45","         63","        134","         75.28"
"VHL","EQ","18-Sep-2018","       2641.70","       2610.05","       2655.00","       2610.00","       2615.00","       2617.85","       2623.39","        250","              655846.50","         70","        211","         84.40"
"VHL","EQ","19-Sep-2018","       2617.85","       2610.00","       2669.60","       2610.00","       2617.00","       2624.45","       2638.62","        137","              361490.75","         63","         97","         70.80"
"VHL","EQ","21-Sep-2018","       2624.45","       2577.20","       2769.25","       2577.20","       2629.85","       2607.05","       2611.15","        731","             1908750.10","        224","        551","         75.38"
"VHL","EQ","24-Sep-2018","       2607.05","       2590.00","       2629.85","       2350.25","       2475.00","       2458.45","       2467.99","       1021","             2519816.65","        221","        844","         82.66"
"VHL","EQ","25-Sep-2018","       2458.45","       2519.95","       2519.95","       2350.75","       2365.10","       2397.50","       2402.13","        588","             1412454.70","        149","        459","         78.06"
"VHL","EQ","26-Sep-2018","       2397.50","       2357.00","       2405.80","       2272.25","       2306.00","       2327.70","       2313.53","        594","             1374234.55","        194","        421","         70.88"
"VHL","EQ","27-Sep-2018","       2327.70","       2301.00","       2375.00","       2300.00","       2361.70","       2345.20","       2328.75","        231","              537942.15","        102","        135","         58.44"
"VHL","EQ","28-Sep-2018","       2345.20","       2301.00","       2350.05","       2272.00","       2272.00","       2275.15","       2288.03","        346","              791657.00","         94","        281","         81.21"
"VHL","EQ","01-Oct-2018","       2275.15","       2280.00","       2348.90","       2105.25","       2253.00","       2241.55","       2174.94","        633","             1376735.10","        188","        491","         77.57"
"VHL","EQ","03-Oct-2018","       2241.55","       2250.10","       2282.00","       2201.10","       2281.95","       2263.40","       2240.93","        253","              566955.05","         58","        191","         75.49"
"VHL","EQ","04-Oct-2018","       2263.40","       2174.65","       2239.95","       2112.00","       2200.00","       2199.65","       2173.19","        394","              856237.95","        123","        302","         76.65"
