"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VMART","EQ","30-Aug-2018","       3146.65","       3189.95","       3189.95","       3046.65","       3050.00","       3056.80","       3073.36","       5776","            17751714.20","       1069","       3645","         63.11"
"VMART","EQ","31-Aug-2018","       3056.80","       3050.00","       3195.00","       3050.00","       3160.00","       3182.85","       3161.85","      35558","           112428904.00","       4176","      30673","         86.26"
"VMART","EQ","03-Sep-2018","       3182.85","       3201.00","       3290.00","       3185.05","       3219.90","       3229.70","       3255.36","      13554","            44123117.55","       2009","       7768","         57.31"
"VMART","EQ","04-Sep-2018","       3229.70","       3286.90","       3299.00","       3068.25","       3069.05","       3072.60","       3173.08","      11280","            35792375.25","       2124","       7158","         63.46"
"VMART","EQ","05-Sep-2018","       3072.60","       3110.00","       3110.00","       2921.45","       2960.10","       2953.00","       2971.45","       9005","            26757926.05","       2115","       5589","         62.07"
"VMART","EQ","06-Sep-2018","       2953.00","       2962.00","       3044.00","       2805.35","       2805.35","       2809.45","       2865.94","      18535","            53120288.70","       2289","      14809","         79.90"
"VMART","EQ","07-Sep-2018","       2809.45","       2838.70","       2838.70","       2720.05","       2790.00","       2777.70","       2762.33","      11352","            31357925.10","       2080","       6188","         54.51"
"VMART","EQ","10-Sep-2018","       2777.70","       2784.70","       2900.00","       2762.05","       2850.00","       2853.80","       2869.54","      17055","            48939935.90","       1757","      13360","         78.33"
"VMART","EQ","11-Sep-2018","       2853.80","       2899.00","       2955.00","       2865.00","       2880.00","       2892.85","       2925.05","      11300","            33053052.50","       2639","       7158","         63.35"
"VMART","EQ","12-Sep-2018","       2892.85","       2900.00","       2900.00","       2777.10","       2819.90","       2805.65","       2860.28","      11932","            34128808.95","       1373","       9798","         82.12"
"VMART","EQ","14-Sep-2018","       2805.65","       2847.70","       2900.00","       2747.45","       2751.05","       2773.25","       2844.41","      12964","            36874928.85","       2067","       7884","         60.81"
"VMART","EQ","17-Sep-2018","       2773.25","       2770.00","       2793.75","       2673.40","       2680.00","       2691.10","       2751.40","     100030","           275222208.70","       3193","      91545","         91.52"
