"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZODIACLOTH","EQ","30-Aug-2018","        150.55","        151.95","        152.70","        147.50","        152.70","        152.10","        151.02","       1290","              194814.70","         53","        788","         61.09"
"ZODIACLOTH","EQ","31-Aug-2018","        152.10","        150.10","        152.60","        148.70","        152.00","        152.00","        150.48","        814","              122492.45","         57","        790","         97.05"
"ZODIACLOTH","EQ","03-Sep-2018","        152.00","        150.05","        154.50","        150.05","        150.80","        153.60","        153.14","       3287","              503373.35","        102","       2431","         73.96"
"ZODIACLOTH","EQ","04-Sep-2018","        153.60","        150.85","        151.70","        147.00","        150.90","        149.25","        148.90","       1610","              239730.10","        113","        874","         54.29"
"ZODIACLOTH","EQ","05-Sep-2018","        149.25","        145.00","        152.95","        144.50","        150.50","        150.80","        147.22","       2334","              343614.00","         83","       1474","         63.15"
"ZODIACLOTH","EQ","06-Sep-2018","        150.80","        148.00","        152.40","        145.10","        149.00","        147.15","        148.83","       1116","              166099.40","         91","        594","         53.23"
"ZODIACLOTH","EQ","07-Sep-2018","        147.15","        148.70","        154.95","        147.60","        149.70","        148.50","        150.05","       1748","              262289.25","         80","        921","         52.69"
"ZODIACLOTH","EQ","10-Sep-2018","        148.50","        148.00","        149.90","        144.60","        144.60","        144.90","        145.78","        829","              120850.55","         74","        579","         69.84"
"ZODIACLOTH","EQ","11-Sep-2018","        144.90","        146.40","        150.00","        143.40","        144.90","        143.85","        145.29","       2647","              384576.75","        117","       1520","         57.42"
"ZODIACLOTH","EQ","12-Sep-2018","        143.85","        145.40","        146.80","        139.90","        145.70","        143.40","        142.89","       3185","              455116.50","        147","       2035","         63.89"
"ZODIACLOTH","EQ","14-Sep-2018","        143.40","        144.90","        151.60","        143.15","        145.10","        146.90","        149.31","      15101","             2254728.30","        129","      13603","         90.08"
"ZODIACLOTH","EQ","17-Sep-2018","        146.90","        146.90","        176.25","        144.00","        176.25","        176.15","        170.47","     334532","            57028109.95","       4804","      33209","          9.93"
"ZODIACLOTH","EQ","18-Sep-2018","        176.15","        179.80","        182.80","        158.20","        159.15","        160.25","        170.06","      52776","             8975053.75","       1596","      28446","         53.90"
"ZODIACLOTH","EQ","19-Sep-2018","        160.25","        160.25","        163.80","        151.00","        152.50","        153.75","        155.39","       9488","             1474372.15","        437","       5289","         55.74"
"ZODIACLOTH","EQ","21-Sep-2018","        153.75","        152.40","        154.80","        145.05","        147.00","        147.75","        150.88","       9175","             1384349.00","        319","       5278","         57.53"
"ZODIACLOTH","EQ","24-Sep-2018","        147.75","        143.00","        152.75","        143.00","        143.60","        145.20","        144.85","       3470","              502615.45","        141","       2248","         64.78"
"ZODIACLOTH","EQ","25-Sep-2018","        145.20","        142.05","        148.50","        141.05","        142.00","        143.05","        143.01","       4172","              596640.20","        122","       1895","         45.42"
"ZODIACLOTH","EQ","26-Sep-2018","        143.05","        143.10","        146.90","        141.50","        144.00","        143.35","        143.33","       1981","              283932.65","         62","       1235","         62.34"
"ZODIACLOTH","EQ","27-Sep-2018","        143.35","        140.30","        146.85","        140.30","        142.00","        142.60","        143.13","       4843","              693197.10","        162","       2786","         57.53"
"ZODIACLOTH","EQ","28-Sep-2018","        142.60","        141.50","        144.00","        131.30","        143.85","        139.05","        139.20","       3659","              509345.25","        259","       2748","         75.10"
"ZODIACLOTH","EQ","01-Oct-2018","        139.05","        138.00","        141.00","        130.20","        139.80","        138.05","        136.70","       8329","             1138563.40","        175","       7622","         91.51"
"ZODIACLOTH","EQ","03-Oct-2018","        138.05","        132.50","        140.45","        132.50","        138.95","        135.70","        135.72","       2240","              304020.00","        177","       1878","         83.84"
"ZODIACLOTH","EQ","04-Oct-2018","        135.70","        135.70","        142.00","        135.70","        136.40","        138.05","        138.13","        278","               38399.70","         63","        194","         69.78"
"ZODIACLOTH","EQ","05-Oct-2018","        138.05","        138.00","        141.30","        136.75","        136.75","        138.95","        138.74","       1264","              175373.45","         43","       1209","         95.65"
"ZODIACLOTH","EQ","08-Oct-2018","        138.95","        136.05","        147.70","        133.05","        135.00","        134.75","        136.25","       2785","              379455.25","        113","       2375","         85.28"
"ZODIACLOTH","EQ","09-Oct-2018","        134.75","        134.80","        139.95","        134.80","        136.00","        138.00","        137.21","        691","               94815.05","         31","        552","         79.88"
"ZODIACLOTH","EQ","10-Oct-2018","        138.00","        136.00","        144.25","        136.00","        143.50","        143.45","        142.74","       2208","              315161.05","         38","       2006","         90.85"
"ZODIACLOTH","EQ","11-Oct-2018","        143.45","        139.15","        150.00","        128.70","        135.45","        136.65","        139.51","       5953","              830503.20","        338","       2406","         40.42"
"ZODIACLOTH","EQ","12-Oct-2018","        136.65","        138.20","        148.50","        138.20","        142.55","        144.35","        144.75","       1774","              256792.50","         65","       1470","         82.86"
"ZODIACLOTH","EQ","15-Oct-2018","        144.35","        143.85","        143.85","        140.00","        141.10","        141.10","        141.21","         83","               11720.40","         14","         64","         77.11"
"ZODIACLOTH","EQ","16-Oct-2018","        141.10","        142.60","        148.00","        142.60","        144.90","        144.75","        145.23","        901","              130853.10","         28","        531","         58.93"
"ZODIACLOTH","EQ","17-Oct-2018","        144.75","        142.00","        143.40","        137.95","        142.70","        138.60","        140.54","       2259","              317489.70","         63","       1796","         79.50"
"ZODIACLOTH","EQ","19-Oct-2018","        138.60","        148.50","        148.50","        135.30","        137.60","        138.35","        138.67","       1075","              149074.05","         36","        748","         69.58"
"ZODIACLOTH","EQ","22-Oct-2018","        138.35","        138.40","        147.00","        138.40","        143.00","        139.60","        142.26","       1529","              217520.40","        167","        743","         48.59"
"ZODIACLOTH","EQ","23-Oct-2018","        139.60","        139.60","        144.35","        136.10","        136.10","        137.15","        139.18","       2892","              402499.45","         48","       2698","         93.29"
"ZODIACLOTH","EQ","24-Oct-2018","        137.15","        137.20","        142.00","        137.20","        140.70","        140.70","        138.79","        301","               41776.75","         24","        241","         80.07"
"ZODIACLOTH","EQ","25-Oct-2018","        140.70","        140.00","        140.00","        135.70","        139.70","        139.65","        138.37","         77","               10654.45","         24","         56","         72.73"
"ZODIACLOTH","EQ","26-Oct-2018","        139.65","        141.70","        144.00","        137.15","        139.00","        139.00","        140.02","        558","               78132.70","         24","        456","         81.72"
"ZODIACLOTH","EQ","29-Oct-2018","        139.00","        139.35","        143.75","        139.05","        143.75","        143.40","        142.99","        636","               90942.65","         58","        317","         49.84"
"ZODIACLOTH","EQ","30-Oct-2018","        143.40","        143.75","        147.25","        139.10","        144.50","        144.50","        143.27","        828","              118629.90","         63","        502","         60.63"
"ZODIACLOTH","EQ","31-Oct-2018","        144.50","        144.50","        144.50","        141.00","        144.15","        144.15","        141.35","        227","               32086.70","          9","        216","         95.15"
